H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H15N_onMeter_2,H25S_onMeter_1,H25S_onMeter_2
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1552.7593287229522,1800.0,1800.0
1800.0,1768.4842536622136,1800.0,893.8561601305125,1800.0,1800.0
1800.0,1246.3584126377784,1800.0,566.062032241542,1800.0,1659.7378957234207
1800.0,724.2532115127442,1800.0,200.0,1800.0,825.8811993946682
1800.0,200.0,1648.5534160248976,246.72213020483366,1800.0,200.0
1800.0,200.0,1733.8931854647244,200.0,1800.0,200.0
1800.0,200.0,1302.1007665140648,461.01123099984795,1800.0,200.0
1800.0,200.0,1464.5487311900085,826.8756380449066,1800.0,200.0
1800.0,200.0,1632.3528786743295,200.0,1800.0,200.0
1800.0,749.4947313429211,1685.3899117781998,232.39438281170834,1800.0,200.0
1800.0,609.917534249593,984.6558301050537,376.4579215421859,1800.0,200.0
1800.0,439.69654640649094,1379.375900013902,409.28518334753846,1655.808257376287,200.0
1800.0,200.0,1447.5017693568523,200.0,1326.0837057401761,200.0
1800.0,200.0,1399.0692625447712,200.0,200.0,200.0
1800.0,200.0,1428.2606441042046,200.0,200.0,200.0
1800.0,200.0,1444.217999364915,200.0,200.0,200.0
1800.0,297.76763801757016,1511.4647404798845,418.4872934558761,200.0,200.0
1800.0,324.7198043165784,1563.7412272492984,200.0,200.0,200.0
1800.0,303.20760146679083,1688.3048429262021,310.0392125715253,200.0,200.0
1800.0,268.25101104460134,662.0513170697895,502.3641196341356,200.0,200.0
1800.0,200.0,200.0,581.7447662026301,200.0,200.0
1800.0,1021.2665125272451,200.0,686.6028992054884,200.0,200.0
1800.0,1064.077757812183,259.37215385719054,875.2451681634439,200.0,200.0
1800.0,953.8267768621646,397.4605661869423,518.6538545311529,200.0,200.0
1800.0,200.0,586.5467146584805,484.43749271825016,200.0,200.0
1532.2667732505033,200.0,291.51493465167965,200.0,200.0,200.0
1039.190670895783,200.0,200.0,200.0,200.0,200.0
1570.289044779316,200.0,391.9289710719321,326.9169297058333,200.0,200.0
1800.0,200.0,484.40970327990783,200.0,200.0,200.0
1800.0,200.0,450.53552152224506,200.0,200.0,200.0
1800.0,200.0,200.0,371.8360576339478,200.0,200.0
1800.0,200.0,200.0,617.7338423038918,200.0,200.0
1632.4058302531248,274.36863207572435,454.70676198940134,564.0571234274388,200.0,200.0
1793.5035092144922,200.0,296.9390386964052,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1618.4028630843472,200.0,692.1425269058988,337.33393291832715,200.0,200.0
1687.660099144394,200.0,1143.4165322062236,200.0,200.0,200.0
1800.0,200.0,1609.709291478042,200.0,200.0,200.0
1800.0,200.0,1522.4797141522872,200.0,200.0,200.0
1800.0,200.0,977.6259207993041,200.0,200.0,200.0
1800.0,200.0,1223.2180481393111,200.0,200.0,200.0
1800.0,200.0,1428.6237207425297,200.0,200.0,200.0
1800.0,200.0,1419.7488472108548,200.0,200.0,200.0
1800.0,200.0,1262.8629337814468,664.2020486722155,200.0,200.0
1800.0,200.0,1100.286003458611,784.8673058515209,200.0,200.0
1800.0,200.0,200.0,775.3703073271089,762.0155021508481,200.0
1800.0,200.0,200.0,314.95356678888515,945.7701673863983,200.0
1800.0,200.0,620.2268552650014,200.0,626.3467118306078,200.0
1800.0,200.0,200.0,200.0,691.0530715277331,200.0
1800.0,200.0,200.0,351.5009861411715,649.5786871230266,200.0
1800.0,200.0,361.6713532313738,516.9285912535543,1220.8845708073768,200.0
1800.0,200.0,608.1834273982977,200.0,1718.4384885787556,200.0
