H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H15N_onMeter_2,H25S_onMeter_1,H25S_onMeter_2
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1605.6172026545446,1800.0,1485.4792155506625,1800.0,1800.0
1800.0,1667.863427190446,1800.0,1143.795909096237,1800.0,1800.0
1800.0,1374.3614306315944,1723.89815027105,994.2407825849069,1800.0,1510.1498976187368
1800.0,1260.5870635324852,1800.0,517.3118604892579,1800.0,810.8826828792916
1800.0,869.4501799832917,1800.0,234.2437135495751,1800.0,200.0
1800.0,599.5160126847727,1800.0,200.0,1800.0,200.0
1800.0,241.9056306877681,1800.0,200.0,1800.0,200.0
1800.0,200.0,1800.0,323.3819036672796,1800.0,200.0
1800.0,200.0,1748.7454884617955,703.8469744070629,1735.3030965487487,200.0
1800.0,200.0,1800.0,760.1476693681902,1800.0,200.0
1800.0,200.0,1800.0,446.55598320682003,1800.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,1541.0,200.0,200.0,200.0
1800.0,200.0,1502.0,355.0,200.0,200.0
1800.0,200.0,790.0,281.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,1000.0,200.0,200.0,200.0
1800.0,200.0,647.0,200.0,200.0,200.0
1800.0,200.0,504.0,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,1303.0,230.0,200.0,200.0
1800.0,200.0,483.0,231.0,200.0,200.0
1800.0,528.0,1122.0,200.0,200.0,200.0
1800.0,1147.0,200.0,200.0,200.0,200.0
1800.0,1356.0,200.0,202.0,200.0,200.0
1800.0,200.0,808.0,200.0,200.0,200.0
1800.0,200.0,566.0,200.0,200.0,200.0
1668.0,482.0,1800.0,200.0,200.0,200.0
1800.0,425.0,1800.0,200.0,200.0,200.0
1800.0,200.0,1293.0,200.0,200.0,200.0
1800.0,1376.0,546.0,200.0,200.0,200.0
1800.0,833.0,1527.0,200.0,200.0,200.0
1800.0,911.0,200.0,200.0,200.0,200.0
1800.0,200.0,395.0,200.0,200.0,200.0
1800.0,271.0,1800.0,200.0,200.0,200.0
1321.0,402.0,1800.0,200.0,200.0,200.0
1173.0,838.0,1800.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1738.0,292.0,1800.0,200.0,200.0,200.0
1711.0,1028.0,1800.0,200.0,200.0,200.0
1800.0,214.0,1800.0,200.0,200.0,200.0
1800.0,200.0,792.0,200.0,200.0,200.0
1714.0,566.0,1800.0,200.0,200.0,200.0
1800.0,1339.0,1800.0,458.0,200.0,200.0
1800.0,974.0,1542.0,314.0,230.0,200.0
1800.0,1410.0,620.0,285.0,865.0,200.0
1800.0,1407.0,509.0,200.0,766.0,200.0
1800.0,543.0,1422.0,271.0,463.0,200.0
1800.0,601.0,721.0,239.0,200.0,200.0
1800.0,1234.0,1800.0,563.0,200.0,200.0
1800.0,234.0,1800.0,231.0,200.0,200.0
1800.0,694.0,1800.0,456.0,200.0,200.0
1800.0,392.0,1800.0,262.0,200.0,200.0
1800.0,1519.0,344.0,200.0,550.0,200.0
