H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H15N_onMeter_2,H25S_onMeter_1,H25S_onMeter_2
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,200.0,1800.0,200.0,1800.0,1560.0
1800.0,1800.0,200.0,200.0,1800.0,1800.0
1800.0,1800.0,1800.0,200.0,1800.0,200.0
1800.0,200.0,1800.0,1800.0,1800.0,200.0
1800.0,200.0,200.0,200.0,1800.0,200.0
1800.0,1800.0,200.0,200.0,1800.0,200.0
1800.0,200.0,200.0,200.0,1800.0,200.0
1800.0,1800.0,200.0,200.0,1800.0,200.0
1800.0,200.0,1800.0,1190.0,1800.0,200.0
1800.0,200.0,200.0,1800.0,1800.0,200.0
1800.0,200.0,1800.0,1800.0,1800.0,200.0
1800.0,200.0,200.0,1800.0,1800.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1800.0,1800.0,200.0,200.0,200.0,200.0
1800.0,1800.0,200.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,1800.0,1800.0,200.0,200.0
1800.0,1800.0,200.0,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1800.0,200.0,1800.0,1490.0,200.0,200.0
1800.0,200.0,200.0,1800.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,1800.0,1280.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,1550.0,1800.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
1800.0,200.0,1800.0,1800.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,1800.0,200.0,1800.0,200.0
1800.0,200.0,1800.0,1800.0,1800.0,200.0
1800.0,200.0,200.0,1800.0,1800.0,200.0
1800.0,200.0,200.0,200.0,1800.0,200.0
1800.0,200.0,200.0,1800.0,200.0,200.0
1800.0,200.0,1550.0,200.0,1800.0,200.0
1800.0,200.0,1790.0,1800.0,1800.0,200.0
1800.0,1800.0,200.0,200.0,1800.0,200.0
1800.0,200.0,1800.0,200.0,200.0,200.0
