H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H15N_onMeter_2,H25S_onMeter_1,H25S_onMeter_2
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1552.7593287229522,1800.0,1800.0
1800.0,1768.4842536622136,1800.0,893.8561601305125,1800.0,1800.0
1800.0,1246.3584126377784,1800.0,566.062032241542,1800.0,1659.7378957234207
1800.0,724.2532115127442,1800.0,200.0,1800.0,825.8811993946682
1800.0,200.0,1648.5534160248976,246.72213020483366,1800.0,200.0
1800.0,200.0,1733.8931854647244,200.0,1800.0,200.0
1800.0,200.0,1302.1007665140648,461.01123099984795,1800.0,200.0
1800.0,200.0,1464.5487311900085,826.8756380449066,1800.0,200.0
1800.0,200.0,1632.3528786743295,200.0,1800.0,200.0
1800.0,749.4947313429211,1685.3899117781998,232.39438281170834,1800.0,200.0
1800.0,609.917534249593,984.6558301050537,376.4579215421859,1800.0,200.0
1523.0,200.0,200.0,289.0,267.0,200.0
1800.0,200.0,470.0,321.0,412.0,200.0
1800.0,250.0,236.0,200.0,200.0,200.0
1451.0,277.0,200.0,369.0,200.0,200.0
1546.0,339.0,557.0,453.0,200.0,200.0
1668.0,335.0,950.0,634.0,200.0,200.0
1598.0,395.0,563.0,495.0,200.0,200.0
1632.0,289.0,229.0,446.0,200.0,229.0
1558.0,345.0,477.0,512.0,200.0,200.0
1522.0,283.0,530.0,415.0,200.0,200.0
1800.0,315.0,433.0,442.0,267.0,217.0
1591.0,292.0,489.0,483.0,200.0,208.0
1727.0,287.0,200.0,597.0,200.0,228.0
1785.0,286.0,1143.0,246.0,200.0,200.0
1650.0,232.0,200.0,285.0,435.0,204.0
1581.0,315.0,200.0,200.0,212.0,238.0
1638.0,703.0,200.0,450.0,245.0,202.0
1625.0,822.0,200.0,392.0,251.0,227.0
1800.0,834.0,356.0,535.0,447.0,269.0
1460.0,717.0,200.0,369.0,475.0,232.0
1800.0,864.0,200.0,529.0,467.0,268.0
1635.0,793.0,200.0,417.0,364.0,248.0
1800.0,852.0,358.0,482.0,702.0,271.0
1800.0,760.0,744.0,589.0,1275.0,260.0
1800.0,859.0,314.0,497.0,467.0,264.0
1800.0,826.0,285.0,507.0,484.0,257.0
1800.0,848.0,497.0,521.0,873.0,277.0
1740.0,903.0,309.0,478.0,347.0,273.0
1800.0,863.0,537.0,615.0,978.0,279.0
1800.0,887.0,314.0,515.0,701.0,275.0
1800.0,857.0,317.0,600.0,862.0,283.0
1664.0,819.0,335.0,561.0,383.0,255.0
1800.0,1219.0,314.0,762.0,829.0,296.0
1800.0,841.0,367.0,564.0,774.0,279.0
1800.0,771.0,339.0,436.0,571.0,251.0
1394.0,566.0,200.0,337.0,200.0,200.0
1702.0,763.0,200.0,488.0,200.0,228.0
1619.0,832.0,200.0,565.0,200.0,240.0
1800.0,797.0,452.0,504.0,603.0,277.0
1800.0,1002.0,536.0,689.0,935.0,296.0
1652.0,744.0,383.0,447.0,324.0,236.0
1800.0,894.0,608.0,606.0,1221.0,292.0
1800.0,777.0,1171.0,708.0,1800.0,269.0
1800.0,665.0,823.0,619.0,1338.0,279.0
