H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H15N_onMeter_2,H25S_onMeter_1,H25S_onMeter_2
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1552.7593287229522,1800.0,1800.0
1800.0,1768.4842536622136,1800.0,893.8561601305125,1800.0,1800.0
1800.0,1246.3584126377784,1800.0,566.062032241542,1800.0,1659.7378957234207
1800.0,724.2532115127442,1800.0,200.0,1800.0,825.8811993946682
1800.0,200.0,1648.5534160248976,246.72213020483366,1800.0,200.0
1800.0,200.0,1733.8931854647244,200.0,1800.0,200.0
1800.0,200.0,1302.1007665140648,461.01123099984795,1800.0,200.0
1800.0,200.0,1464.5487311900085,826.8756380449066,1800.0,200.0
1800.0,200.0,1632.3528786743295,200.0,1800.0,200.0
1800.0,749.4947313429211,1685.3899117781998,232.39438281170834,1800.0,200.0
1800.0,609.917534249593,984.6558301050537,376.4579215421859,1800.0,200.0
1435.0,200.0,388.0,716.0,200.0,221.0
1723.0,200.0,367.0,456.0,268.0,200.0
1494.0,224.0,200.0,200.0,256.0,200.0
1517.0,229.0,200.0,590.0,200.0,200.0
1369.0,262.0,200.0,279.0,200.0,200.0
1604.0,222.0,397.0,339.0,200.0,202.0
1634.0,291.0,378.0,496.0,200.0,201.0
1797.0,258.0,200.0,462.0,200.0,238.0
1592.0,303.0,409.0,458.0,200.0,200.0
1673.0,236.0,281.0,385.0,200.0,207.0
1534.0,280.0,515.0,437.0,200.0,200.0
1800.0,237.0,200.0,413.0,228.0,221.0
1556.0,266.0,200.0,290.0,200.0,204.0
1747.0,240.0,337.0,328.0,200.0,200.0
1512.0,222.0,676.0,416.0,200.0,200.0
1659.0,237.0,1800.0,466.0,200.0,200.0
1800.0,235.0,561.0,435.0,200.0,216.0
1726.0,261.0,480.0,481.0,200.0,207.0
1578.0,240.0,915.0,344.0,200.0,200.0
1767.0,243.0,1214.0,618.0,200.0,203.0
1800.0,231.0,1222.0,200.0,475.0,202.0
1604.0,203.0,200.0,280.0,224.0,200.0
1775.0,245.0,1253.0,200.0,200.0,200.0
1800.0,207.0,510.0,291.0,200.0,200.0
1746.0,223.0,496.0,413.0,200.0,227.0
1481.0,200.0,800.0,271.0,200.0,200.0
1769.0,226.0,1800.0,306.0,200.0,200.0
1645.0,200.0,1800.0,445.0,276.0,206.0
1679.0,257.0,1800.0,474.0,266.0,200.0
1568.0,200.0,1800.0,428.0,330.0,200.0
1632.0,200.0,1800.0,312.0,232.0,200.0
1800.0,200.0,1800.0,536.0,436.0,260.0
1694.0,200.0,1800.0,433.0,276.0,217.0
1782.0,200.0,1800.0,430.0,240.0,229.0
1800.0,200.0,1800.0,200.0,200.0,216.0
1761.0,200.0,1800.0,442.0,323.0,241.0
1758.0,200.0,1800.0,370.0,214.0,220.0
1800.0,200.0,1800.0,472.0,435.0,262.0
1800.0,200.0,1800.0,354.0,200.0,221.0
1097.0,200.0,1800.0,200.0,332.0,214.0
1175.0,200.0,1800.0,200.0,433.0,200.0
1800.0,200.0,1800.0,283.0,243.0,231.0
1604.0,200.0,1800.0,439.0,511.0,239.0
1800.0,200.0,1800.0,550.0,418.0,245.0
