H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H15N_onMeter_2,H25S_onMeter_1,H25S_onMeter_2
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1552.7593287229522,1800.0,1800.0
1800.0,1768.4842536622136,1800.0,893.8561601305125,1800.0,1800.0
1800.0,1246.3584126377784,1800.0,566.062032241542,1800.0,1659.7378957234207
1800.0,724.2532115127442,1800.0,200.0,1800.0,825.8811993946682
1800.0,200.0,1648.5534160248976,246.72213020483366,1800.0,200.0
1800.0,200.0,1733.8931854647244,200.0,1800.0,200.0
1800.0,200.0,1302.1007665140648,461.01123099984795,1800.0,200.0
1800.0,200.0,1464.5487311900085,826.8756380449066,1800.0,200.0
1800.0,200.0,1632.3528786743295,200.0,1800.0,200.0
1800.0,749.4947313429211,1685.3899117781998,232.39438281170834,1800.0,200.0
1800.0,609.917534249593,984.6558301050537,376.4579215421859,1800.0,200.0
1397.0,212.0,200.0,220.0,454.0,200.0
1397.0,234.0,200.0,200.0,539.0,200.0
1585.0,218.0,200.0,200.0,200.0,200.0
1339.0,483.0,200.0,238.0,289.0,200.0
1777.0,714.0,406.0,484.0,258.0,208.0
1546.0,677.0,200.0,379.0,200.0,225.0
1577.0,730.0,200.0,447.0,200.0,202.0
1438.0,578.0,200.0,207.0,321.0,235.0
1624.0,745.0,200.0,435.0,221.0,213.0
1518.0,705.0,200.0,555.0,200.0,203.0
1578.0,742.0,200.0,411.0,278.0,209.0
1355.0,535.0,200.0,200.0,265.0,215.0
1461.0,692.0,200.0,392.0,200.0,209.0
1661.0,955.0,200.0,743.0,200.0,242.0
1688.0,766.0,250.0,470.0,235.0,229.0
1591.0,759.0,200.0,565.0,200.0,220.0
1648.0,759.0,200.0,559.0,200.0,218.0
1576.0,741.0,219.0,368.0,357.0,232.0
1800.0,891.0,641.0,695.0,1165.0,268.0
1800.0,835.0,1043.0,730.0,1800.0,229.0
1800.0,853.0,1050.0,743.0,1800.0,214.0
1800.0,823.0,680.0,678.0,1344.0,246.0
1800.0,878.0,526.0,573.0,923.0,257.0
1800.0,903.0,979.0,804.0,1800.0,206.0
1800.0,730.0,1277.0,708.0,1800.0,211.0
1800.0,693.0,1311.0,620.0,1800.0,213.0
1800.0,991.0,364.0,666.0,883.0,285.0
1800.0,1019.0,324.0,651.0,702.0,298.0
1800.0,939.0,310.0,531.0,480.0,310.0
1312.0,614.0,200.0,317.0,360.0,220.0
680.0,275.0,266.0,200.0,402.0,206.0
436.0,347.0,270.0,219.0,200.0,273.0
409.0,393.0,357.0,222.0,200.0,263.0
447.0,200.0,380.0,202.0,200.0,200.0
579.0,291.0,220.0,289.0,200.0,200.0
949.0,362.0,200.0,200.0,236.0,311.0
697.0,335.0,200.0,205.0,200.0,200.0
787.0,372.0,465.0,200.0,200.0,200.0
1800.0,999.0,200.0,520.0,780.0,298.0
1626.0,786.0,200.0,410.0,430.0,248.0
1800.0,839.0,320.0,528.0,438.0,251.0
1800.0,730.0,552.0,408.0,566.0,253.0
1800.0,917.0,349.0,505.0,553.0,275.0
1800.0,894.0,518.0,604.0,916.0,279.0
