H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H15N_onMeter_2,H25S_onMeter_1,H25S_onMeter_2
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1552.7593287229522,1800.0,1800.0
1800.0,1768.4842536622136,1800.0,893.8561601305125,1800.0,1800.0
1800.0,1246.3584126377784,1800.0,566.062032241542,1800.0,1659.7378957234207
1800.0,724.2532115127442,1800.0,200.0,1800.0,825.8811993946682
1800.0,200.0,1648.5534160248976,246.72213020483366,1800.0,200.0
1800.0,200.0,1733.8931854647244,200.0,1800.0,200.0
1800.0,200.0,1302.1007665140648,461.01123099984795,1800.0,200.0
1800.0,200.0,1464.5487311900085,826.8756380449066,1800.0,200.0
1800.0,200.0,1632.3528786743295,200.0,1800.0,200.0
1800.0,749.4947313429211,1685.3899117781998,232.39438281170834,1800.0,200.0
1800.0,609.917534249593,984.6558301050537,376.4579215421859,1800.0,200.0
1486.0,200.0,497.0,754.0,200.0,200.0
1800.0,200.0,316.0,495.0,278.0,200.0
1663.0,230.0,200.0,200.0,200.0,201.0
1800.0,254.0,200.0,676.0,506.0,222.0
1667.0,312.0,806.0,286.0,200.0,200.0
1552.0,294.0,717.0,508.0,200.0,200.0
1645.0,311.0,767.0,351.0,200.0,200.0
1455.0,242.0,200.0,388.0,200.0,207.0
1732.0,313.0,709.0,594.0,200.0,200.0
1800.0,312.0,200.0,399.0,200.0,250.0
1607.0,221.0,200.0,395.0,200.0,220.0
1587.0,236.0,370.0,524.0,200.0,203.0
1676.0,287.0,538.0,546.0,200.0,220.0
1499.0,253.0,200.0,421.0,200.0,206.0
1800.0,287.0,504.0,520.0,200.0,217.0
1429.0,208.0,283.0,382.0,200.0,200.0
1392.0,236.0,215.0,380.0,200.0,201.0
1800.0,247.0,363.0,544.0,200.0,219.0
1665.0,304.0,336.0,645.0,200.0,234.0
1736.0,222.0,200.0,468.0,200.0,235.0
1447.0,282.0,288.0,496.0,200.0,211.0
1668.0,299.0,507.0,465.0,200.0,231.0
1404.0,249.0,200.0,200.0,278.0,201.0
1569.0,256.0,200.0,348.0,200.0,223.0
1510.0,236.0,200.0,426.0,200.0,214.0
1601.0,279.0,236.0,487.0,200.0,223.0
1800.0,247.0,282.0,605.0,200.0,200.0
1671.0,303.0,200.0,543.0,200.0,242.0
1800.0,225.0,200.0,611.0,200.0,204.0
1552.0,247.0,200.0,366.0,200.0,216.0
1580.0,247.0,200.0,248.0,739.0,200.0
1576.0,244.0,200.0,348.0,675.0,200.0
1800.0,200.0,200.0,291.0,921.0,200.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1678.0,223.0,200.0,365.0,437.0,200.0
1800.0,264.0,200.0,507.0,200.0,201.0
1646.0,287.0,200.0,511.0,200.0,251.0
1800.0,258.0,200.0,494.0,200.0,205.0
1531.0,308.0,200.0,423.0,200.0,243.0
1800.0,259.0,200.0,491.0,200.0,200.0
1800.0,257.0,200.0,622.0,200.0,230.0
1647.0,279.0,200.0,473.0,200.0,239.0
1800.0,234.0,200.0,586.0,200.0,220.0
1588.0,274.0,200.0,355.0,646.0,200.0
