H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H15N_onMeter_2,H25S_onMeter_1,H25S_onMeter_2
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1605.6172026545446,1800.0,1485.4792155506627,1800.0,1800.0
1800.0,1585.2288643396535,1800.0,1600.4196896044205,1800.0,1800.0
1800.0,1679.031159511734,1615.5512838016912,1652.2767375799417,1800.0,1340.28872226699
1800.0,1800.0,723.1255453999374,432.541708198071,1800.0,1059.6312965712987
1800.0,446.1645107325112,200.0,211.82433655001353,1800.0,297.7759219826369
1800.0,297.29631809959085,605.0106267019162,200.0,1800.0,200.0
1800.0,200.0,928.5787909657483,200.0,1800.0,200.0
1800.0,200.0,544.4325084585726,200.0,1800.0,200.0
1800.0,200.0,492.33020849288664,200.0,1800.0,200.0
1800.0,200.0,792.0684933289587,235.60218949928708,1800.0,200.0
1800.0,200.0,642.847447149602,200.0,1800.0,200.0
1800.0,200.0,200.0,200.0,650.5608316229886,200.0
1800.0,366.2828738354291,200.0,200.0,200.0,200.0
1800.0,728.7351137583237,552.3970969224123,200.0,200.0,200.0
1800.0,460.8695683775307,511.29516814766544,202.63949465714694,200.0,200.0
1800.0,444.6560148916545,200.0,200.0,200.0,200.0
1800.0,905.5332260873986,232.10551515786182,200.0,200.0,200.0
1800.0,1103.1885098813068,500.0173016710835,505.2640695054941,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,200.0,305.4670375305591,200.0,200.0
1800.0,200.0,200.0,551.4750495355019,200.0,200.0
1800.0,200.0,200.0,803.4173079187283,200.0,200.0
1800.0,813.5095033933321,200.0,1013.6521499510144,200.0,200.0
1345.2931122826753,344.6322570034274,456.0727842154101,303.24893745489476,200.0,200.0
1023.2346276400565,200.0,733.5409371008803,200.0,200.0,200.0
200.0,200.0,892.4744065661563,200.0,200.0,200.0
200.0,200.0,1027.4117449872642,473.4813458002305,200.0,200.0
200.0,200.0,856.9817472320206,611.943799679764,200.0,200.0
200.0,200.0,565.2353447903934,1033.4445500312195,200.0,200.0
562.052547774849,200.0,386.87034358363695,572.8844821506473,200.0,200.0
1263.130183300968,452.8024277841294,353.01355717019726,200.0,200.0,200.0
1800.0,814.2593006803259,364.4820804287581,358.5084361042745,200.0,200.0
1800.0,200.0,200.0,280.365731161021,200.0,200.0
1800.0,200.0,626.7738593544196,200.0,200.0,200.0
1658.1677835679188,200.0,659.6526560417806,200.0,200.0,200.0
1488.0561007843944,200.0,200.0,200.0,200.0,200.0
1508.0159604861024,200.0,200.0,560.5789809141557,200.0,200.0
1697.108086874247,200.0,200.0,554.9085527451992,200.0,200.0
1800.0,200.0,297.40118655007063,200.0,200.0,200.0
1800.0,200.0,307.32868425642835,393.9057912406663,200.0,200.0
1800.0,200.0,200.0,471.44113921284065,200.0,200.0
1707.6232478514944,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,523.4885064252871,200.0,200.0,200.0
1800.0,200.0,700.4752117644797,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,541.3474444229691,232.974633124167,200.0,200.0
1800.0,200.0,944.9244482266599,367.578888276695,200.0,200.0
1800.0,200.0,1049.951635819342,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,200.0,200.0,200.0,200.0,200.0
1533.312713508805,200.0,591.2128110627564,200.0,200.0,200.0
1800.0,200.0,723.5546270732975,200.0,236.56571983879326,200.0
