begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_2_1,55,1650.00,8.80,26.19,26.05,5.00,55
120.00,240.00,H10E_2_1,68,2040.00,14.60,20.00,19.40,5.00,68
240.00,360.00,H10E_2_1,56,1680.00,22.81,11.21,10.59,5.00,58
360.00,480.00,H10E_2_1,50,1500.00,25.30,9.69,8.08,5.00,49
480.00,600.00,H10E_2_1,28,840.00,59.62,6.17,4.63,5.00,30
600.00,720.00,H10E_2_1,29,870.00,29.80,6.25,4.04,5.00,29
720.00,840.00,H10E_2_1,40,1200.00,47.11,10.32,7.37,5.00,40
840.00,960.00,H10E_2_1,32,960.00,44.28,6.99,3.55,5.00,32
960.00,1080.00,H10E_2_1,13,390.00,70.22,3.09,1.09,5.00,15
1080.00,1200.00,H10E_2_1,25,750.00,46.38,3.01,1.65,5.00,26
1200.00,1320.00,H10E_2_1,13,390.00,41.77,2.87,1.49,5.00,13
1320.00,1440.00,H10E_2_1,14,420.00,29.89,3.36,1.85,5.00,14
1440.00,1560.00,H10E_2_1,27,810.00,48.78,3.54,2.50,5.00,28
1560.00,1680.00,H10E_2_1,35,1050.00,10.03,16.35,14.54,5.00,35
1680.00,1800.00,H10E_2_1,23,690.00,42.62,7.06,2.25,5.00,23
1800.00,1920.00,H10E_2_1,37,1110.00,41.88,5.20,3.76,5.00,38
1920.00,2040.00,H10E_2_1,25,750.00,57.22,4.15,1.79,5.00,24
2040.00,2160.00,H10E_2_1,18,540.00,64.34,2.95,1.18,5.00,19
2160.00,2280.00,H10E_2_1,26,780.00,54.41,3.79,1.96,5.00,26
2280.00,2400.00,H10E_2_1,19,570.00,33.41,3.84,2.36,5.00,18
2400.00,2520.00,H10E_2_1,20,600.00,34.54,3.89,2.41,5.00,20
2520.00,2640.00,H10E_2_1,39,1170.00,37.53,5.66,4.33,5.00,39
2640.00,2760.00,H10E_2_1,16,480.00,33.48,3.10,1.99,5.00,16
2760.00,2880.00,H10E_2_1,12,360.00,15.28,5.98,3.27,5.00,12
2880.00,3000.00,H10E_2_1,1,30.00,85.48,0.05,0.05,5.00,2
3000.00,3120.00,H10E_2_1,1,30.00,6.97,0.60,0.60,5.00,1
3120.00,3240.00,H10E_2_1,0,0.00,0.00,-1.00,-1.00,-1.00,0
3240.00,3360.00,H10E_2_1,13,390.00,25.00,4.60,2.18,5.00,14
3360.00,3480.00,H10E_2_1,27,810.00,49.70,4.03,2.27,5.00,27
3480.00,3600.00,H10E_2_1,34,1020.00,46.66,4.95,3.01,5.00,33
3600.00,3720.00,H10E_2_1,33,990.00,42.03,3.99,3.36,5.00,35
3720.00,3840.00,H10E_2_1,22,660.00,51.37,4.60,1.76,5.00,21
3840.00,3960.00,H10E_2_1,3,90.00,27.45,0.69,0.50,5.00,4
3960.00,4080.00,H10E_2_1,12,360.00,39.24,3.14,1.20,5.00,12
4080.00,4200.00,H10E_2_1,25,750.00,43.73,4.44,2.38,5.00,24
4200.00,4320.00,H10E_2_1,26,780.00,40.96,4.37,2.69,5.00,28
4320.00,4440.00,H10E_2_1,4,120.00,50.05,4.16,2.52,5.00,6
4440.00,4560.00,H10E_2_1,12,360.00,65.67,2.53,0.89,5.00,14
4560.00,4680.00,H10E_2_1,1,30.00,94.47,1.17,1.17,5.00,1
4680.00,4800.00,H10E_2_1,15,450.00,73.22,4.94,0.38,5.00,15
4800.00,4920.00,H10E_2_1,9,270.00,35.38,3.11,1.17,5.00,9
4920.00,5040.00,H10E_2_1,7,210.00,33.98,3.73,0.86,5.00,7
5040.00,5160.00,H10E_2_1,36,1080.00,37.86,6.56,3.96,5.00,36
5160.00,5280.00,H10E_2_1,1,30.00,94.45,0.11,0.11,5.00,3
5280.00,5400.00,H10E_2_1,11,330.00,61.99,1.95,0.61,5.00,11
5400.00,5520.00,H10E_2_1,15,450.00,67.85,2.04,0.89,5.00,14
5520.00,5640.00,H10E_2_1,42,1260.00,35.78,6.27,4.89,5.00,42
5640.00,5760.00,H10E_2_1,35,1050.00,42.71,5.20,3.76,5.00,36
5760.00,5880.00,H10E_2_1,4,120.00,56.05,1.00,0.85,5.00,5
5880.00,6000.00,H10E_2_1,13,390.00,73.54,4.39,1.07,5.00,14
6000.00,6120.00,H10E_2_1,13,390.00,64.47,2.10,0.54,5.00,13
6120.00,6240.00,H10E_2_1,20,600.00,46.96,3.47,1.60,5.00,20
6240.00,6360.00,H10E_2_1,16,480.00,39.29,3.31,2.12,5.00,17
6360.00,6480.00,H10E_2_1,19,570.00,55.76,2.30,1.27,5.00,18
6480.00,6600.00,H10E_2_1,33,990.00,40.97,5.47,3.51,5.00,34
6600.00,6720.00,H10E_2_1,17,510.00,62.85,4.35,1.52,5.00,17
6720.00,6840.00,H10E_2_1,11,330.00,30.67,3.24,1.53,5.00,12
6840.00,6960.00,H10E_2_1,9,270.00,47.98,3.30,0.78,5.00,9
6960.00,7080.00,H10E_2_1,36,1080.00,32.04,12.08,4.62,5.00,35
7080.00,7200.00,H10E_2_1,25,750.00,52.69,6.72,2.12,5.00,26
