begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H15N_2_5,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,240.00,H15N_2_5,0,0.00,0.00,-1.00,-1.00,-1.00,0
240.00,360.00,H15N_2_5,34,1020.00,4.80,29.56,29.52,5.00,34
360.00,480.00,H15N_2_5,55,1650.00,8.02,28.61,28.59,5.00,55
480.00,600.00,H15N_2_5,58,1740.00,8.04,30.12,30.06,5.00,58
600.00,720.00,H15N_2_5,55,1650.00,7.84,29.28,29.22,5.00,55
720.00,840.00,H15N_2_5,60,1800.00,8.62,29.10,29.02,5.00,60
840.00,960.00,H15N_2_5,58,1740.00,8.35,29.03,28.96,5.00,58
960.00,1080.00,H15N_2_5,57,1710.00,8.23,29.44,29.37,5.00,58
1080.00,1200.00,H15N_2_5,58,1740.00,8.17,29.14,29.07,5.00,57
1200.00,1320.00,H15N_2_5,54,1620.00,7.73,29.15,29.11,5.00,54
1320.00,1440.00,H15N_2_5,65,1950.00,9.46,28.71,28.64,5.00,65
1440.00,1560.00,H15N_2_5,55,1650.00,7.90,29.07,29.01,5.00,55
1560.00,1680.00,H15N_2_5,65,1950.00,10.16,27.38,26.66,5.00,65
1680.00,1800.00,H15N_2_5,56,1680.00,8.12,28.76,28.72,5.00,56
1800.00,1920.00,H15N_2_5,65,1950.00,9.32,29.10,29.06,5.00,65
1920.00,2040.00,H15N_2_5,63,1890.00,9.16,28.73,28.67,5.00,63
2040.00,2160.00,H15N_2_5,51,1530.00,7.29,29.19,29.16,5.00,51
2160.00,2280.00,H15N_2_5,54,1620.00,7.71,29.25,29.19,5.00,54
2280.00,2400.00,H15N_2_5,61,1830.00,8.75,29.10,29.05,5.00,61
2400.00,2520.00,H15N_2_5,53,1590.00,7.58,29.19,29.15,5.00,53
2520.00,2640.00,H15N_2_5,58,1740.00,8.53,28.45,28.37,5.00,59
2640.00,2760.00,H15N_2_5,60,1800.00,8.89,28.14,28.07,5.00,59
2760.00,2880.00,H15N_2_5,54,1620.00,7.99,28.27,28.16,5.00,54
2880.00,3000.00,H15N_2_5,58,1740.00,8.46,28.60,28.56,5.00,58
3000.00,3120.00,H15N_2_5,49,1470.00,6.97,29.44,29.29,5.00,49
3120.00,3240.00,H15N_2_5,65,1950.00,9.15,29.65,29.60,5.00,65
3240.00,3360.00,H15N_2_5,60,1800.00,8.71,28.78,28.72,5.00,60
3360.00,3480.00,H15N_2_5,61,1830.00,8.82,28.89,28.83,5.00,61
3480.00,3600.00,H15N_2_5,61,1830.00,8.73,29.15,29.10,5.00,61
3600.00,3720.00,H15N_2_5,53,1590.00,7.81,28.35,28.26,5.00,53
3720.00,3840.00,H15N_2_5,57,1710.00,8.32,28.77,28.71,5.00,58
3840.00,3960.00,H15N_2_5,54,1620.00,7.64,29.33,29.27,5.00,53
3960.00,4080.00,H15N_2_5,56,1680.00,7.81,29.95,29.87,5.00,56
4080.00,4200.00,H15N_2_5,50,1500.00,7.34,28.42,28.37,5.00,50
4200.00,4320.00,H15N_2_5,62,1860.00,9.10,28.44,28.39,5.00,62
4320.00,4440.00,H15N_2_5,54,1620.00,7.66,29.46,29.37,5.00,54
4440.00,4560.00,H15N_2_5,52,1560.00,7.59,29.10,29.05,5.00,53
4560.00,4680.00,H15N_2_5,60,1800.00,8.47,29.16,29.09,5.00,59
4680.00,4800.00,H15N_2_5,64,1920.00,9.38,28.52,28.42,5.00,64
4800.00,4920.00,H15N_2_5,56,1680.00,8.04,29.07,29.01,5.00,56
4920.00,5040.00,H15N_2_5,56,1680.00,7.84,29.79,29.75,5.00,56
5040.00,5160.00,H15N_2_5,53,1590.00,7.61,29.35,29.31,5.00,54
5160.00,5280.00,H15N_2_5,53,1590.00,7.48,29.31,29.25,5.00,52
5280.00,5400.00,H15N_2_5,57,1710.00,8.15,29.19,29.14,5.00,57
5400.00,5520.00,H15N_2_5,58,1740.00,8.31,29.11,29.07,5.00,58
5520.00,5640.00,H15N_2_5,67,2010.00,9.54,29.30,29.26,5.00,67
5640.00,5760.00,H15N_2_5,57,1710.00,8.19,29.07,28.99,5.00,57
5760.00,5880.00,H15N_2_5,52,1560.00,7.36,29.53,29.44,5.00,52
5880.00,6000.00,H15N_2_5,66,1980.00,9.56,29.02,28.96,5.00,67
6000.00,6120.00,H15N_2_5,62,1860.00,8.68,29.58,29.56,5.00,61
6120.00,6240.00,H15N_2_5,50,1500.00,7.13,29.29,29.24,5.00,50
6240.00,6360.00,H15N_2_5,56,1680.00,8.15,28.66,28.62,5.00,56
6360.00,6480.00,H15N_2_5,60,1800.00,8.59,29.15,29.10,5.00,60
6480.00,6600.00,H15N_2_5,53,1590.00,7.62,29.06,28.97,5.00,53
6600.00,6720.00,H15N_2_5,64,1920.00,9.37,28.53,28.45,5.00,64
6720.00,6840.00,H15N_2_5,62,1860.00,8.81,29.38,29.32,5.00,62
6840.00,6960.00,H15N_2_5,57,1710.00,8.42,28.40,28.20,5.00,57
6960.00,7080.00,H15N_2_5,51,1530.00,7.27,29.26,29.21,5.00,51
7080.00,7200.00,H15N_2_5,66,1980.00,9.51,28.96,28.92,5.00,66
