begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H25S_3_1,45,1350.00,16.20,18.37,12.04,5.00,48
120.00,240.00,H25S_3_1,35,1050.00,13.74,12.32,11.11,5.00,36
240.00,360.00,H25S_3_1,34,1020.00,15.44,9.75,9.16,5.00,34
360.00,480.00,H25S_3_1,38,1140.00,20.51,9.79,8.64,5.00,38
480.00,600.00,H25S_3_1,38,1140.00,37.32,6.40,4.58,5.00,40
600.00,720.00,H25S_3_1,33,990.00,19.44,8.09,7.26,5.00,34
720.00,840.00,H25S_3_1,32,960.00,17.07,8.94,7.86,5.00,33
840.00,960.00,H25S_3_1,29,870.00,20.56,7.62,6.31,5.00,33
960.00,1080.00,H25S_3_1,23,690.00,50.93,5.77,3.49,5.00,26
1080.00,1200.00,H25S_3_1,31,930.00,32.77,6.91,2.50,5.00,31
1200.00,1320.00,H25S_3_1,32,960.00,32.53,6.84,5.62,5.00,37
1320.00,1440.00,H25S_3_1,20,600.00,52.71,7.27,1.61,5.00,22
1440.00,1560.00,H25S_3_1,31,930.00,29.23,6.17,4.52,5.00,34
1560.00,1680.00,H25S_3_1,4,120.00,84.58,8.53,7.42,5.00,6
1680.00,1800.00,H25S_3_1,31,930.00,50.60,6.24,1.01,5.00,33
1800.00,1920.00,H25S_3_1,33,990.00,26.62,7.68,5.97,5.00,36
1920.00,2040.00,H25S_3_1,25,750.00,43.14,6.69,2.67,5.00,28
2040.00,2160.00,H25S_3_1,28,840.00,27.93,6.33,4.92,5.00,31
2160.00,2280.00,H25S_3_1,30,900.00,19.74,7.60,6.50,5.00,31
2280.00,2400.00,H25S_3_1,34,1020.00,25.03,8.01,6.95,5.00,40
2400.00,2520.00,H25S_3_1,27,810.00,31.83,6.69,3.82,5.00,30
2520.00,2640.00,H25S_3_1,29,870.00,23.45,6.68,5.55,5.00,32
2640.00,2760.00,H25S_3_1,28,840.00,14.09,9.45,8.93,5.00,29
2760.00,2880.00,H25S_3_1,36,1080.00,25.52,7.68,5.95,5.00,37
2880.00,3000.00,H25S_3_1,35,1050.00,24.36,8.47,7.64,5.00,40
3000.00,3120.00,H25S_3_1,28,840.00,35.39,6.64,3.88,5.00,33
3120.00,3240.00,H25S_3_1,36,1080.00,18.17,9.44,8.28,5.00,37
3240.00,3360.00,H25S_3_1,34,1020.00,19.78,9.09,8.31,5.00,37
3360.00,3480.00,H25S_3_1,31,930.00,28.42,7.28,5.64,5.00,34
3480.00,3600.00,H25S_3_1,31,930.00,18.92,9.23,8.33,5.00,33
3600.00,3720.00,H25S_3_1,33,990.00,20.69,7.81,7.00,5.00,33
3720.00,3840.00,H25S_3_1,37,1110.00,16.75,10.31,9.67,5.00,41
3840.00,3960.00,H25S_3_1,15,450.00,40.84,7.30,1.81,5.00,20
3960.00,4080.00,H25S_3_1,34,1020.00,25.68,7.25,5.86,5.00,36
4080.00,4200.00,H25S_3_1,36,1080.00,27.73,7.98,5.90,5.00,40
4200.00,4320.00,H25S_3_1,33,990.00,26.60,7.61,5.96,5.00,36
4320.00,4440.00,H25S_3_1,33,990.00,35.12,7.27,6.24,5.00,38
4440.00,4560.00,H25S_3_1,31,930.00,19.58,9.26,8.38,5.00,33
4560.00,4680.00,H25S_3_1,33,990.00,29.49,6.82,4.86,5.00,36
4680.00,4800.00,H25S_3_1,35,1050.00,25.50,7.82,7.03,5.00,41
4800.00,4920.00,H25S_3_1,33,990.00,25.59,8.18,7.24,5.00,40
4920.00,5040.00,H25S_3_1,38,1140.00,32.49,6.88,6.15,5.00,42
5040.00,5160.00,H25S_3_1,32,960.00,18.45,9.42,8.45,5.00,35
5160.00,5280.00,H25S_3_1,34,1020.00,28.05,8.12,7.13,5.00,41
5280.00,5400.00,H25S_3_1,34,1020.00,30.08,8.14,4.72,5.00,35
5400.00,5520.00,H25S_3_1,26,780.00,25.66,6.22,4.59,5.00,29
5520.00,5640.00,H25S_3_1,27,810.00,27.48,7.41,4.55,5.00,30
5640.00,5760.00,H25S_3_1,34,1020.00,24.91,8.54,6.51,5.00,38
5760.00,5880.00,H25S_3_1,31,930.00,24.44,7.14,6.12,5.00,32
5880.00,6000.00,H25S_3_1,31,930.00,15.29,9.33,8.66,5.00,34
6000.00,6120.00,H25S_3_1,32,960.00,24.81,7.65,6.61,5.00,38
6120.00,6240.00,H25S_3_1,36,1080.00,22.68,8.69,6.57,5.00,38
6240.00,6360.00,H25S_3_1,32,960.00,21.46,9.13,8.02,5.00,40
6360.00,6480.00,H25S_3_1,31,930.00,18.52,9.02,7.79,5.00,34
6480.00,6600.00,H25S_3_1,36,1080.00,16.27,9.86,9.22,5.00,36
6600.00,6720.00,H25S_3_1,36,1080.00,18.65,10.01,8.23,5.00,38
6720.00,6840.00,H25S_3_1,33,990.00,17.73,9.99,8.56,5.00,34
6840.00,6960.00,H25S_3_1,35,1050.00,15.39,10.51,9.61,5.00,36
6960.00,7080.00,H25S_3_1,36,1080.00,23.85,8.26,6.76,5.00,37
7080.00,7200.00,H25S_3_1,31,930.00,17.60,9.13,8.06,5.00,34
