begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_1_4,2,60.00,0.28,30.18,30.11,5.00,2
120.00,240.00,H10E_1_4,27,810.00,3.80,29.65,29.61,5.00,27
240.00,360.00,H10E_1_4,31,930.00,4.38,29.68,29.48,5.00,31
360.00,480.00,H10E_1_4,32,960.00,4.56,29.34,29.23,5.00,32
480.00,600.00,H10E_1_4,37,1110.00,5.16,30.07,29.90,5.00,37
600.00,720.00,H10E_1_4,29,870.00,4.08,29.65,29.59,5.00,29
720.00,840.00,H10E_1_4,39,1170.00,5.69,28.76,28.54,5.00,39
840.00,960.00,H10E_1_4,33,990.00,4.69,29.39,29.33,5.00,33
960.00,1080.00,H10E_1_4,29,870.00,4.02,30.19,30.06,5.00,29
1080.00,1200.00,H10E_1_4,37,1110.00,5.97,29.13,25.81,5.00,37
1200.00,1320.00,H10E_1_4,33,990.00,4.80,29.10,28.91,5.00,34
1320.00,1440.00,H10E_1_4,32,960.00,4.51,29.70,29.61,5.00,33
1440.00,1560.00,H10E_1_4,30,900.00,4.24,29.60,29.47,5.00,29
1560.00,1680.00,H10E_1_4,35,1050.00,4.95,29.58,29.47,5.00,35
1680.00,1800.00,H10E_1_4,31,930.00,4.35,29.77,29.66,5.00,31
1800.00,1920.00,H10E_1_4,33,990.00,4.67,29.50,29.45,5.00,33
1920.00,2040.00,H10E_1_4,35,1050.00,4.92,29.74,29.64,5.00,35
2040.00,2160.00,H10E_1_4,30,900.00,4.38,28.63,28.55,5.00,30
2160.00,2280.00,H10E_1_4,28,840.00,4.01,29.22,29.12,5.00,28
2280.00,2400.00,H10E_1_4,34,1020.00,4.76,29.94,29.77,5.00,34
2400.00,2520.00,H10E_1_4,36,1080.00,6.00,28.15,25.01,5.00,36
2520.00,2640.00,H10E_1_4,34,1020.00,4.76,29.83,29.73,5.00,34
2640.00,2760.00,H10E_1_4,34,1020.00,4.75,29.92,29.82,5.00,34
2760.00,2880.00,H10E_1_4,32,960.00,4.57,29.34,29.15,5.00,32
2880.00,3000.00,H10E_1_4,32,960.00,4.45,30.12,29.97,5.00,32
3000.00,3120.00,H10E_1_4,34,1020.00,5.54,29.51,25.57,5.00,34
3120.00,3240.00,H10E_1_4,28,840.00,3.90,30.01,29.88,5.00,28
3240.00,3360.00,H10E_1_4,33,990.00,4.57,30.36,30.32,5.00,34
3360.00,3480.00,H10E_1_4,38,1140.00,6.01,29.14,26.18,5.00,37
3480.00,3600.00,H10E_1_4,28,840.00,4.75,28.83,24.59,5.00,28
3600.00,3720.00,H10E_1_4,41,1230.00,5.74,29.83,29.78,5.00,41
3720.00,3840.00,H10E_1_4,40,1200.00,6.41,28.30,26.06,5.00,41
3840.00,3960.00,H10E_1_4,46,1380.00,7.83,27.88,24.49,5.00,46
3960.00,4080.00,H10E_1_4,37,1110.00,5.30,29.23,29.07,5.00,37
4080.00,4200.00,H10E_1_4,26,780.00,3.73,29.91,29.85,5.00,27
4200.00,4320.00,H10E_1_4,33,990.00,4.81,28.75,28.59,5.00,33
4320.00,4440.00,H10E_1_4,31,930.00,4.47,29.05,28.93,5.00,31
4440.00,4560.00,H10E_1_4,30,900.00,4.19,29.87,29.82,5.00,30
4560.00,4680.00,H10E_1_4,42,1260.00,5.99,29.37,29.21,5.00,42
4680.00,4800.00,H10E_1_4,45,1350.00,8.40,26.75,22.31,5.00,45
4800.00,4920.00,H10E_1_4,48,1440.00,12.81,19.22,15.97,5.00,50
4920.00,5040.00,H10E_1_4,47,1410.00,7.25,27.43,26.73,5.00,46
5040.00,5160.00,H10E_1_4,43,1290.00,6.92,28.50,25.90,5.00,43
5160.00,5280.00,H10E_1_4,50,1500.00,7.15,29.23,29.14,5.00,50
5280.00,5400.00,H10E_1_4,53,1590.00,7.85,28.40,28.24,5.00,54
5400.00,5520.00,H10E_1_4,35,1050.00,5.10,28.78,28.61,5.00,35
5520.00,5640.00,H10E_1_4,40,1200.00,5.76,29.02,28.92,5.00,40
5640.00,5760.00,H10E_1_4,37,1110.00,5.14,30.04,29.98,5.00,37
5760.00,5880.00,H10E_1_4,41,1230.00,6.90,28.04,24.77,5.00,42
5880.00,6000.00,H10E_1_4,36,1080.00,6.01,28.52,24.98,5.00,36
6000.00,6120.00,H10E_1_4,28,840.00,3.95,29.59,29.51,5.00,28
6120.00,6240.00,H10E_1_4,27,810.00,3.89,29.03,28.90,5.00,27
6240.00,6360.00,H10E_1_4,33,990.00,4.52,30.48,30.40,5.00,33
6360.00,6480.00,H10E_1_4,31,930.00,5.13,28.92,25.19,5.00,31
6480.00,6600.00,H10E_1_4,40,1200.00,5.82,29.33,28.65,5.00,40
6600.00,6720.00,H10E_1_4,32,960.00,4.44,30.15,30.04,5.00,32
6720.00,6840.00,H10E_1_4,38,1140.00,5.35,29.69,29.62,5.00,38
6840.00,6960.00,H10E_1_4,30,900.00,4.09,30.62,30.58,5.00,30
6960.00,7080.00,H10E_1_4,35,1050.00,4.89,29.93,29.80,5.00,35
7080.00,7200.00,H10E_1_4,38,1140.00,5.26,30.24,30.11,5.00,38
