begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H15N_1_1,14,420.00,3.08,24.25,18.96,5.00,14
120.00,240.00,H15N_1_1,36,1080.00,6.45,25.59,23.26,5.00,36
240.00,360.00,H15N_1_1,46,1380.00,9.31,23.87,20.58,5.00,46
360.00,480.00,H15N_1_1,56,1680.00,10.00,23.45,23.34,5.00,56
480.00,600.00,H15N_1_1,51,1530.00,8.57,24.92,24.81,5.00,51
600.00,720.00,H15N_1_1,50,1500.00,8.56,24.45,24.35,5.00,50
720.00,840.00,H15N_1_1,53,1590.00,10.76,23.38,20.61,5.00,54
840.00,960.00,H15N_1_1,56,1680.00,9.47,24.68,24.58,5.00,56
960.00,1080.00,H15N_1_1,51,1530.00,9.78,23.35,21.70,5.00,50
1080.00,1200.00,H15N_1_1,49,1470.00,8.24,24.89,24.79,5.00,49
1200.00,1320.00,H15N_1_1,50,1500.00,9.75,23.16,21.36,5.00,50
1320.00,1440.00,H15N_1_1,51,1530.00,8.65,24.74,24.58,5.00,51
1440.00,1560.00,H15N_1_1,52,1560.00,9.11,23.89,23.77,5.00,52
1560.00,1680.00,H15N_1_1,45,1350.00,8.60,24.18,22.20,5.00,46
1680.00,1800.00,H15N_1_1,47,1410.00,10.20,22.88,18.92,5.00,46
1800.00,1920.00,H15N_1_1,52,1560.00,9.04,24.10,23.97,5.00,52
1920.00,2040.00,H15N_1_1,53,1590.00,9.43,24.01,23.74,5.00,54
2040.00,2160.00,H15N_1_1,50,1500.00,10.23,22.23,20.71,5.00,51
2160.00,2280.00,H15N_1_1,50,1500.00,8.67,24.11,24.02,5.00,50
2280.00,2400.00,H15N_1_1,46,1380.00,8.80,23.48,21.92,5.00,47
2400.00,2520.00,H15N_1_1,53,1590.00,9.79,24.08,22.55,5.00,53
2520.00,2640.00,H15N_1_1,50,1500.00,8.72,24.74,24.57,5.00,52
2640.00,2760.00,H15N_1_1,50,1500.00,9.45,24.07,22.39,5.00,51
2760.00,2880.00,H15N_1_1,52,1560.00,8.96,24.35,24.19,5.00,52
2880.00,3000.00,H15N_1_1,50,1500.00,10.42,22.94,19.99,5.00,50
3000.00,3120.00,H15N_1_1,48,1440.00,9.05,23.91,22.09,5.00,48
3120.00,3240.00,H15N_1_1,52,1560.00,11.59,22.98,18.90,5.00,53
3240.00,3360.00,H15N_1_1,50,1500.00,9.59,23.47,21.71,5.00,50
3360.00,3480.00,H15N_1_1,48,1440.00,8.99,24.00,22.24,5.00,48
3480.00,3600.00,H15N_1_1,54,1620.00,11.63,23.25,19.35,5.00,54
3600.00,3720.00,H15N_1_1,48,1440.00,9.12,23.78,22.13,5.00,49
3720.00,3840.00,H15N_1_1,49,1470.00,8.34,24.80,24.72,5.00,50
3840.00,3960.00,H15N_1_1,49,1470.00,9.28,23.49,21.81,5.00,48
3960.00,4080.00,H15N_1_1,42,1260.00,7.13,24.65,24.53,5.00,42
4080.00,4200.00,H15N_1_1,51,1530.00,8.82,24.22,24.09,5.00,51
4200.00,4320.00,H15N_1_1,51,1530.00,8.95,23.89,23.75,5.00,51
4320.00,4440.00,H15N_1_1,48,1440.00,8.45,23.78,23.67,5.00,48
4440.00,4560.00,H15N_1_1,51,1530.00,9.29,23.13,22.86,5.00,51
4560.00,4680.00,H15N_1_1,54,1620.00,9.99,24.11,22.52,5.00,54
4680.00,4800.00,H15N_1_1,43,1290.00,7.47,24.30,24.19,5.00,44
4800.00,4920.00,H15N_1_1,48,1440.00,8.52,23.78,23.48,5.00,48
4920.00,5040.00,H15N_1_1,49,1470.00,8.67,23.86,23.70,5.00,50
5040.00,5160.00,H15N_1_1,48,1440.00,8.61,23.63,23.29,5.00,49
5160.00,5280.00,H15N_1_1,54,1620.00,9.35,24.23,24.05,5.00,54
5280.00,5400.00,H15N_1_1,52,1560.00,8.87,24.57,24.46,5.00,53
5400.00,5520.00,H15N_1_1,49,1470.00,9.42,23.36,21.66,5.00,49
5520.00,5640.00,H15N_1_1,49,1470.00,8.35,24.57,24.45,5.00,49
5640.00,5760.00,H15N_1_1,48,1440.00,9.23,24.14,23.94,5.00,50
5760.00,5880.00,H15N_1_1,51,1530.00,9.07,23.31,21.80,5.00,51
5880.00,6000.00,H15N_1_1,50,1500.00,8.77,23.53,23.33,5.00,49
6000.00,6120.00,H15N_1_1,48,1440.00,9.16,23.60,21.83,5.00,48
6120.00,6240.00,H15N_1_1,53,1590.00,10.54,23.81,20.95,5.00,53
6240.00,6360.00,H15N_1_1,48,1440.00,9.27,23.38,21.58,5.00,48
6360.00,6480.00,H15N_1_1,48,1440.00,8.46,24.06,23.79,5.00,49
6480.00,6600.00,H15N_1_1,51,1530.00,10.94,22.15,19.42,5.00,51
6600.00,6720.00,H15N_1_1,46,1380.00,8.00,24.10,23.97,5.00,46
6720.00,6840.00,H15N_1_1,46,1380.00,9.75,22.60,19.66,5.00,46
6840.00,6960.00,H15N_1_1,51,1530.00,8.62,24.74,24.65,5.00,51
6960.00,7080.00,H15N_1_1,52,1560.00,8.97,24.23,24.16,5.00,52
7080.00,7200.00,H15N_1_1,51,1530.00,8.94,23.96,23.76,5.00,51
