begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H25S_2_4,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,240.00,H25S_2_4,32,960.00,4.44,30.14,30.04,5.00,32
240.00,360.00,H25S_2_4,61,1830.00,8.80,28.97,28.87,5.00,61
360.00,480.00,H25S_2_4,64,1920.00,9.97,28.71,26.76,5.00,64
480.00,600.00,H25S_2_4,69,2070.00,10.16,28.36,28.29,5.00,69
600.00,720.00,H25S_2_4,57,1710.00,8.23,28.94,28.85,5.00,57
720.00,840.00,H25S_2_4,63,1890.00,10.50,27.13,25.01,5.00,63
840.00,960.00,H25S_2_4,61,1830.00,9.16,27.86,27.74,5.00,61
960.00,1080.00,H25S_2_4,65,1950.00,9.62,28.47,28.40,5.00,66
1080.00,1200.00,H25S_2_4,74,2220.00,13.54,23.28,22.63,5.00,73
1200.00,1320.00,H25S_2_4,75,2250.00,11.96,26.29,26.14,5.00,75
1320.00,1440.00,H25S_2_4,53,1590.00,27.03,16.88,8.17,5.00,53
1440.00,1560.00,H25S_2_4,75,2250.00,17.91,21.42,17.45,5.00,75
1560.00,1680.00,H25S_2_4,63,1890.00,25.98,15.62,10.10,5.00,63
1680.00,1800.00,H25S_2_4,48,1440.00,34.72,8.96,5.77,5.00,49
1800.00,1920.00,H25S_2_4,48,1440.00,34.35,7.39,5.94,5.00,48
1920.00,2040.00,H25S_2_4,70,2100.00,21.04,16.22,13.50,5.00,70
2040.00,2160.00,H25S_2_4,70,2100.00,21.75,15.77,13.30,5.00,69
2160.00,2280.00,H25S_2_4,78,2340.00,16.16,21.31,20.12,5.00,78
2280.00,2400.00,H25S_2_4,72,2160.00,20.41,16.39,14.70,5.00,72
2400.00,2520.00,H25S_2_4,52,1560.00,32.29,11.79,6.71,5.00,52
2520.00,2640.00,H25S_2_4,73,2190.00,19.31,19.54,15.75,5.00,73
2640.00,2760.00,H25S_2_4,47,1410.00,34.30,12.60,5.84,5.00,48
2760.00,2880.00,H25S_2_4,69,2070.00,21.59,20.84,12.84,5.00,68
2880.00,3000.00,H25S_2_4,79,2370.00,15.20,22.63,21.66,5.00,79
3000.00,3120.00,H25S_2_4,78,2340.00,16.02,20.86,20.28,5.00,78
3120.00,3240.00,H25S_2_4,75,2250.00,19.57,16.46,15.97,5.00,75
3240.00,3360.00,H25S_2_4,44,1320.00,35.43,9.49,5.19,5.00,45
3360.00,3480.00,H25S_2_4,52,1560.00,31.03,9.81,6.95,5.00,51
3480.00,3600.00,H25S_2_4,60,1800.00,27.02,12.22,9.25,5.00,60
3600.00,3720.00,H25S_2_4,59,1770.00,26.52,19.71,9.27,5.00,59
3720.00,3840.00,H25S_2_4,76,2280.00,14.02,24.26,22.69,5.00,77
3840.00,3960.00,H25S_2_4,65,1950.00,23.84,17.24,11.33,5.00,64
3960.00,4080.00,H25S_2_4,79,2370.00,13.03,25.43,25.26,5.00,79
4080.00,4200.00,H25S_2_4,74,2220.00,19.20,17.90,16.06,5.00,74
4200.00,4320.00,H25S_2_4,55,1650.00,28.14,15.34,8.14,5.00,55
4320.00,4440.00,H25S_2_4,67,2010.00,21.50,16.21,12.99,5.00,67
4440.00,4560.00,H25S_2_4,78,2340.00,17.10,19.09,19.01,5.00,78
4560.00,4680.00,H25S_2_4,68,2040.00,22.47,14.68,12.61,5.00,68
4680.00,4800.00,H25S_2_4,77,2310.00,15.40,21.23,20.97,5.00,78
4800.00,4920.00,H25S_2_4,53,1590.00,30.81,10.97,7.15,5.00,52
4920.00,5040.00,H25S_2_4,80,2400.00,15.09,22.53,22.09,5.00,80
5040.00,5160.00,H25S_2_4,75,2250.00,17.59,18.30,17.94,5.00,76
5160.00,5280.00,H25S_2_4,66,1980.00,24.11,14.69,11.33,5.00,65
5280.00,5400.00,H25S_2_4,78,2340.00,15.86,20.75,20.49,5.00,78
5400.00,5520.00,H25S_2_4,58,1740.00,27.46,11.92,9.02,5.00,59
5520.00,5640.00,H25S_2_4,76,2280.00,16.52,20.73,18.44,5.00,75
5640.00,5760.00,H25S_2_4,61,1830.00,26.00,14.76,9.77,5.00,61
5760.00,5880.00,H25S_2_4,79,2370.00,14.65,23.64,22.46,5.00,79
5880.00,6000.00,H25S_2_4,69,2070.00,21.43,15.70,13.42,5.00,69
6000.00,6120.00,H25S_2_4,61,1830.00,25.58,13.06,9.94,5.00,61
6120.00,6240.00,H25S_2_4,78,2340.00,14.81,23.51,21.94,5.00,78
6240.00,6360.00,H25S_2_4,69,2070.00,22.14,14.19,12.98,5.00,69
6360.00,6480.00,H25S_2_4,65,1950.00,24.54,14.27,11.04,5.00,65
6480.00,6600.00,H25S_2_4,75,2250.00,17.20,18.98,18.17,5.00,75
6600.00,6720.00,H25S_2_4,72,2160.00,19.24,17.43,15.96,5.00,73
6720.00,6840.00,H25S_2_4,68,2040.00,21.81,14.36,12.73,5.00,67
6840.00,6960.00,H25S_2_4,67,2010.00,23.30,12.29,11.98,5.00,67
6960.00,7080.00,H25S_2_4,69,2070.00,21.49,13.65,13.38,5.00,69
7080.00,7200.00,H25S_2_4,58,1740.00,27.13,11.53,8.92,5.00,59
