begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_3_0,10,300.00,7.99,8.31,5.71,5.00,11
120.00,240.00,H10E_3_0,15,450.00,17.55,8.77,5.75,5.00,20
240.00,360.00,H10E_3_0,13,390.00,12.01,9.69,5.70,5.00,14
360.00,480.00,H10E_3_0,8,240.00,10.77,6.82,5.09,5.00,14
480.00,600.00,H10E_3_0,5,150.00,4.94,9.25,5.72,5.00,9
600.00,720.00,H10E_3_0,15,450.00,16.64,9.78,3.78,5.00,17
720.00,840.00,H10E_3_0,4,120.00,1.16,14.65,14.40,5.00,4
840.00,960.00,H10E_3_0,4,120.00,4.62,6.82,6.48,5.00,6
960.00,1080.00,H10E_3_0,7,210.00,9.83,11.40,10.47,5.00,9
1080.00,1200.00,H10E_3_0,5,150.00,1.45,14.70,14.37,5.00,5
1200.00,1320.00,H10E_3_0,4,120.00,16.77,10.38,9.33,5.00,5
1320.00,1440.00,H10E_3_0,0,0.00,88.33,-1.00,-1.00,-1.00,0
1440.00,1560.00,H10E_3_0,2,60.00,0.65,12.95,12.88,5.00,2
1560.00,1680.00,H10E_3_0,13,390.00,14.64,7.54,4.20,5.00,15
1680.00,1800.00,H10E_3_0,4,120.00,1.46,11.93,11.42,5.00,4
1800.00,1920.00,H10E_3_0,7,210.00,8.15,8.83,4.31,5.00,10
1920.00,2040.00,H10E_3_0,1,30.00,1.52,2.74,2.74,5.00,1
2040.00,2160.00,H10E_3_0,10,300.00,16.29,8.15,7.35,5.00,13
2160.00,2280.00,H10E_3_0,8,240.00,25.07,10.50,8.77,5.00,9
2280.00,2400.00,H10E_3_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
2400.00,2520.00,H10E_3_0,0,0.00,0.08,-1.00,-1.00,-1.00,1
2520.00,2640.00,H10E_3_0,13,390.00,6.75,11.41,9.39,5.00,16
2640.00,2760.00,H10E_3_0,7,210.00,9.66,10.36,9.36,5.00,12
2760.00,2880.00,H10E_3_0,10,300.00,48.42,9.16,4.83,5.00,11
2880.00,3000.00,H10E_3_0,5,150.00,5.52,11.70,0.46,5.00,4
3000.00,3120.00,H10E_3_0,4,120.00,1.38,12.35,12.11,5.00,4
3120.00,3240.00,H10E_3_0,6,180.00,59.85,8.47,0.42,5.00,6
3240.00,3360.00,H10E_3_0,0,0.00,66.37,-1.00,-1.00,-1.00,1
3360.00,3480.00,H10E_3_0,5,150.00,1.47,14.30,14.14,5.00,5
3480.00,3600.00,H10E_3_0,7,210.00,4.65,8.65,6.34,5.00,8
3600.00,3720.00,H10E_3_0,4,120.00,93.80,11.11,10.16,5.00,4
3720.00,3840.00,H10E_3_0,0,0.00,100.00,-1.00,-1.00,-1.00,0
3840.00,3960.00,H10E_3_0,2,60.00,61.48,18.04,12.91,5.00,2
3960.00,4080.00,H10E_3_0,9,270.00,10.01,12.06,11.70,5.00,10
4080.00,4200.00,H10E_3_0,2,60.00,0.51,16.41,16.40,5.00,2
4200.00,4320.00,H10E_3_0,7,210.00,34.34,8.66,0.87,5.00,11
4320.00,4440.00,H10E_3_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
4440.00,4560.00,H10E_3_0,3,90.00,78.12,11.01,10.46,5.00,4
4560.00,4680.00,H10E_3_0,0,0.00,100.00,-1.00,-1.00,-1.00,0
4680.00,4800.00,H10E_3_0,2,60.00,39.74,4.22,0.04,5.00,1
4800.00,4920.00,H10E_3_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
4920.00,5040.00,H10E_3_0,14,420.00,12.09,10.14,7.69,5.00,19
5040.00,5160.00,H10E_3_0,5,150.00,6.88,8.99,8.00,5.00,6
5160.00,5280.00,H10E_3_0,1,30.00,1.34,10.72,10.72,5.00,2
5280.00,5400.00,H10E_3_0,5,150.00,26.50,10.12,6.67,5.00,6
5400.00,5520.00,H10E_3_0,3,90.00,3.14,2.55,0.47,5.00,2
5520.00,5640.00,H10E_3_0,7,210.00,6.85,8.16,6.93,5.00,10
5640.00,5760.00,H10E_3_0,10,300.00,10.33,9.32,5.86,5.00,15
5760.00,5880.00,H10E_3_0,6,180.00,37.70,5.39,0.66,5.00,6
5880.00,6000.00,H10E_3_0,4,120.00,1.30,13.33,12.86,5.00,4
6000.00,6120.00,H10E_3_0,1,30.00,0.36,11.51,11.51,5.00,1
6120.00,6240.00,H10E_3_0,10,300.00,14.20,7.51,5.39,5.00,14
6240.00,6360.00,H10E_3_0,10,300.00,43.08,8.21,1.07,5.00,11
6360.00,6480.00,H10E_3_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
6480.00,6600.00,H10E_3_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
6600.00,6720.00,H10E_3_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
6720.00,6840.00,H10E_3_0,10,300.00,8.43,10.11,5.35,5.00,11
6840.00,6960.00,H10E_3_0,3,90.00,86.94,9.83,9.63,5.00,4
6960.00,7080.00,H10E_3_0,0,0.00,59.17,-1.00,-1.00,-1.00,0
7080.00,7200.00,H10E_3_0,15,450.00,14.47,9.67,9.10,5.00,17
