begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H15N_1_2,1,30.00,0.16,26.84,26.84,5.00,1
120.00,240.00,H15N_1_2,18,540.00,2.74,27.43,27.32,5.00,18
240.00,360.00,H15N_1_2,44,1320.00,7.01,26.23,26.16,5.00,44
360.00,480.00,H15N_1_2,51,1530.00,8.33,25.69,25.52,5.00,51
480.00,600.00,H15N_1_2,45,1350.00,7.11,26.44,26.37,5.00,45
600.00,720.00,H15N_1_2,43,1290.00,6.89,26.15,25.99,5.00,43
720.00,840.00,H15N_1_2,40,1200.00,6.50,25.71,25.65,5.00,40
840.00,960.00,H15N_1_2,46,1380.00,7.74,24.92,24.77,5.00,46
960.00,1080.00,H15N_1_2,44,1320.00,8.16,25.09,22.89,5.00,45
1080.00,1200.00,H15N_1_2,45,1350.00,7.72,25.91,23.84,5.00,44
1200.00,1320.00,H15N_1_2,45,1350.00,7.36,25.58,25.48,5.00,45
1320.00,1440.00,H15N_1_2,44,1320.00,7.11,25.94,25.77,5.00,44
1440.00,1560.00,H15N_1_2,51,1530.00,8.60,24.87,24.70,5.00,51
1560.00,1680.00,H15N_1_2,46,1380.00,7.26,26.46,26.39,5.00,46
1680.00,1800.00,H15N_1_2,38,1140.00,6.20,25.63,25.56,5.00,38
1800.00,1920.00,H15N_1_2,48,1440.00,7.74,25.94,25.85,5.00,48
1920.00,2040.00,H15N_1_2,45,1350.00,8.82,24.79,21.26,5.00,45
2040.00,2160.00,H15N_1_2,47,1410.00,9.05,24.87,21.64,5.00,47
2160.00,2280.00,H15N_1_2,40,1200.00,6.48,25.80,25.71,5.00,40
2280.00,2400.00,H15N_1_2,43,1290.00,7.59,25.52,23.59,5.00,43
2400.00,2520.00,H15N_1_2,40,1200.00,6.66,25.19,25.04,5.00,40
2520.00,2640.00,H15N_1_2,50,1500.00,9.03,25.14,23.07,5.00,50
2640.00,2760.00,H15N_1_2,48,1440.00,7.78,25.80,25.71,5.00,48
2760.00,2880.00,H15N_1_2,40,1200.00,7.48,24.73,22.80,5.00,41
2880.00,3000.00,H15N_1_2,43,1290.00,6.80,25.85,25.72,5.00,43
3000.00,3120.00,H15N_1_2,43,1290.00,6.93,25.91,25.84,5.00,43
3120.00,3240.00,H15N_1_2,52,1560.00,8.44,25.76,25.67,5.00,52
3240.00,3360.00,H15N_1_2,47,1410.00,8.31,25.65,23.77,5.00,48
3360.00,3480.00,H15N_1_2,44,1320.00,7.11,26.46,26.37,5.00,45
3480.00,3600.00,H15N_1_2,49,1470.00,7.75,25.91,25.83,5.00,48
3600.00,3720.00,H15N_1_2,48,1440.00,7.76,25.90,25.78,5.00,48
3720.00,3840.00,H15N_1_2,41,1230.00,6.54,26.16,26.11,5.00,41
3840.00,3960.00,H15N_1_2,49,1470.00,8.70,25.12,23.46,5.00,49
3960.00,4080.00,H15N_1_2,42,1260.00,6.86,25.63,25.52,5.00,42
4080.00,4200.00,H15N_1_2,43,1290.00,8.03,24.48,22.56,5.00,44
4200.00,4320.00,H15N_1_2,46,1380.00,7.49,25.70,25.61,5.00,46
4320.00,4440.00,H15N_1_2,41,1230.00,6.95,25.00,24.86,5.00,42
4440.00,4560.00,H15N_1_2,47,1410.00,7.66,25.69,25.56,5.00,47
4560.00,4680.00,H15N_1_2,47,1410.00,8.53,25.02,22.95,5.00,47
4680.00,4800.00,H15N_1_2,46,1380.00,7.41,25.97,25.85,5.00,46
4800.00,4920.00,H15N_1_2,49,1470.00,7.99,25.64,25.56,5.00,49
4920.00,5040.00,H15N_1_2,50,1500.00,8.98,25.23,23.20,5.00,50
5040.00,5160.00,H15N_1_2,46,1380.00,8.15,25.64,23.50,5.00,46
5160.00,5280.00,H15N_1_2,43,1290.00,7.69,25.33,23.29,5.00,43
5280.00,5400.00,H15N_1_2,44,1320.00,8.03,24.62,22.84,5.00,44
5400.00,5520.00,H15N_1_2,49,1470.00,7.95,25.77,25.67,5.00,49
5520.00,5640.00,H15N_1_2,41,1230.00,6.50,26.36,26.27,5.00,41
5640.00,5760.00,H15N_1_2,45,1350.00,7.34,25.66,25.54,5.00,45
5760.00,5880.00,H15N_1_2,52,1560.00,10.08,24.61,21.50,5.00,52
5880.00,6000.00,H15N_1_2,37,1110.00,5.95,25.98,25.90,5.00,37
6000.00,6120.00,H15N_1_2,48,1440.00,7.61,26.35,26.28,5.00,48
6120.00,6240.00,H15N_1_2,47,1410.00,7.97,24.71,24.58,5.00,47
6240.00,6360.00,H15N_1_2,48,1440.00,7.64,26.24,26.18,5.00,48
6360.00,6480.00,H15N_1_2,44,1320.00,7.98,25.40,23.14,5.00,45
6480.00,6600.00,H15N_1_2,50,1500.00,9.14,24.51,22.79,5.00,50
6600.00,6720.00,H15N_1_2,51,1530.00,8.79,24.68,24.16,5.00,51
6720.00,6840.00,H15N_1_2,49,1470.00,8.92,25.31,23.26,5.00,50
6840.00,6960.00,H15N_1_2,43,1290.00,7.53,25.70,23.36,5.00,42
6960.00,7080.00,H15N_1_2,43,1290.00,7.51,26.15,23.85,5.00,43
7080.00,7200.00,H15N_1_2,47,1410.00,8.22,26.04,23.81,5.00,47
