begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H25S_3_4,1,30.00,0.13,31.37,31.37,5.00,1
120.00,240.00,H25S_3_4,15,450.00,2.84,29.56,22.00,5.00,15
240.00,360.00,H25S_3_4,61,1830.00,8.94,28.59,28.44,5.00,61
360.00,480.00,H25S_3_4,69,2070.00,10.52,27.36,27.34,5.00,69
480.00,600.00,H25S_3_4,71,2130.00,10.80,27.51,27.40,5.00,71
600.00,720.00,H25S_3_4,74,2220.00,11.90,26.10,25.90,5.00,74
720.00,840.00,H25S_3_4,70,2100.00,10.81,27.13,26.99,5.00,70
840.00,960.00,H25S_3_4,76,2280.00,12.30,26.22,26.13,5.00,77
960.00,1080.00,H25S_3_4,76,2280.00,13.55,24.21,23.40,5.00,77
1080.00,1200.00,H25S_3_4,69,2070.00,13.24,24.40,21.69,5.00,68
1200.00,1320.00,H25S_3_4,76,2280.00,13.99,23.31,22.70,5.00,77
1320.00,1440.00,H25S_3_4,67,2010.00,10.55,26.49,26.36,5.00,66
1440.00,1560.00,H25S_3_4,59,1770.00,9.08,27.33,27.08,5.00,59
1560.00,1680.00,H25S_3_4,67,2010.00,10.46,27.03,26.89,5.00,68
1680.00,1800.00,H25S_3_4,62,1860.00,9.08,28.53,28.44,5.00,62
1800.00,1920.00,H25S_3_4,58,1740.00,9.12,26.71,26.50,5.00,58
1920.00,2040.00,H25S_3_4,60,1800.00,9.17,27.38,27.26,5.00,60
2040.00,2160.00,H25S_3_4,60,1800.00,9.63,26.07,25.96,5.00,60
2160.00,2280.00,H25S_3_4,62,1860.00,9.84,26.42,26.24,5.00,62
2280.00,2400.00,H25S_3_4,64,1920.00,10.35,26.26,26.01,5.00,65
2400.00,2520.00,H25S_3_4,65,1950.00,10.14,26.64,26.44,5.00,64
2520.00,2640.00,H25S_3_4,66,1980.00,10.62,26.11,25.91,5.00,66
2640.00,2760.00,H25S_3_4,64,1920.00,10.12,26.65,26.35,5.00,64
2760.00,2880.00,H25S_3_4,71,2130.00,11.30,26.43,26.18,5.00,71
2880.00,3000.00,H25S_3_4,72,2160.00,11.80,25.63,25.42,5.00,72
3000.00,3120.00,H25S_3_4,70,2100.00,10.54,27.88,27.66,5.00,70
3120.00,3240.00,H25S_3_4,66,1980.00,11.33,24.73,24.27,5.00,66
3240.00,3360.00,H25S_3_4,52,1560.00,8.12,27.41,27.25,5.00,53
3360.00,3480.00,H25S_3_4,56,1680.00,8.76,26.91,26.65,5.00,56
3480.00,3600.00,H25S_3_4,51,1530.00,7.98,27.21,27.12,5.00,52
3600.00,3720.00,H25S_3_4,59,1770.00,8.83,27.62,27.39,5.00,58
3720.00,3840.00,H25S_3_4,62,1860.00,9.44,27.48,27.36,5.00,62
3840.00,3960.00,H25S_3_4,67,2010.00,11.55,24.44,24.17,5.00,67
3960.00,4080.00,H25S_3_4,59,1770.00,9.54,25.99,25.77,5.00,59
4080.00,4200.00,H25S_3_4,64,1920.00,10.11,26.58,26.39,5.00,64
4200.00,4320.00,H25S_3_4,63,1890.00,10.78,24.55,24.34,5.00,63
4320.00,4440.00,H25S_3_4,53,1590.00,8.93,24.91,24.72,5.00,53
4440.00,4560.00,H25S_3_4,34,1020.00,5.24,27.37,27.06,5.00,34
4560.00,4680.00,H25S_3_4,68,2040.00,11.39,25.10,24.88,5.00,68
4680.00,4800.00,H25S_3_4,72,2160.00,12.93,23.82,23.20,5.00,72
4800.00,4920.00,H25S_3_4,69,2070.00,11.34,25.49,25.35,5.00,69
4920.00,5040.00,H25S_3_4,61,1830.00,10.65,24.23,23.86,5.00,61
5040.00,5160.00,H25S_3_4,57,1710.00,9.14,26.15,25.99,5.00,57
5160.00,5280.00,H25S_3_4,52,1560.00,8.33,26.41,26.00,5.00,52
5280.00,5400.00,H25S_3_4,65,1950.00,10.66,25.55,25.42,5.00,65
5400.00,5520.00,H25S_3_4,70,2100.00,13.78,21.69,21.16,5.00,70
5520.00,5640.00,H25S_3_4,68,2040.00,11.47,25.03,24.71,5.00,68
5640.00,5760.00,H25S_3_4,72,2160.00,12.27,24.80,24.45,5.00,72
5760.00,5880.00,H25S_3_4,68,2040.00,11.21,25.57,25.28,5.00,68
5880.00,6000.00,H25S_3_4,68,2040.00,10.93,26.09,25.92,5.00,68
6000.00,6120.00,H25S_3_4,67,2010.00,11.55,24.56,24.18,5.00,67
6120.00,6240.00,H25S_3_4,74,2220.00,12.96,24.14,23.80,5.00,74
6240.00,6360.00,H25S_3_4,67,2010.00,10.60,26.44,26.34,5.00,67
6360.00,6480.00,H25S_3_4,72,2160.00,12.38,24.58,24.24,5.00,72
6480.00,6600.00,H25S_3_4,70,2100.00,11.24,26.53,26.30,5.00,71
6600.00,6720.00,H25S_3_4,69,2070.00,11.64,25.16,24.96,5.00,70
6720.00,6840.00,H25S_3_4,72,2160.00,13.28,23.75,22.59,5.00,72
6840.00,6960.00,H25S_3_4,68,2040.00,11.33,25.50,25.00,5.00,68
6960.00,7080.00,H25S_3_4,61,1830.00,10.48,25.08,24.35,5.00,62
7080.00,7200.00,H25S_3_4,68,2040.00,10.64,26.82,26.63,5.00,68
