begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_2_3,4,120.00,0.52,31.99,31.96,5.00,4
120.00,240.00,H10E_2_3,41,1230.00,6.21,27.90,27.50,5.00,41
240.00,360.00,H10E_2_3,54,1620.00,9.59,24.04,23.47,5.00,54
360.00,480.00,H10E_2_3,57,1710.00,10.30,25.20,23.05,5.00,57
480.00,600.00,H10E_2_3,60,1800.00,11.49,23.77,21.79,5.00,61
600.00,720.00,H10E_2_3,62,1860.00,11.56,23.78,22.63,5.00,63
720.00,840.00,H10E_2_3,58,1740.00,14.49,21.92,16.68,5.00,58
840.00,960.00,H10E_2_3,50,1500.00,29.41,9.78,7.08,5.00,50
960.00,1080.00,H10E_2_3,49,1470.00,17.69,14.31,11.54,5.00,49
1080.00,1200.00,H10E_2_3,57,1710.00,9.82,24.57,24.19,5.00,57
1200.00,1320.00,H10E_2_3,63,1890.00,12.29,24.11,21.36,5.00,63
1320.00,1440.00,H10E_2_3,52,1560.00,16.28,20.31,16.93,5.00,54
1440.00,1560.00,H10E_2_3,60,1800.00,14.93,20.08,16.75,5.00,60
1560.00,1680.00,H10E_2_3,54,1620.00,8.65,26.18,26.00,5.00,54
1680.00,1800.00,H10E_2_3,37,1110.00,17.85,13.82,8.66,5.00,38
1800.00,1920.00,H10E_2_3,62,1860.00,15.15,18.83,17.05,5.00,62
1920.00,2040.00,H10E_2_3,50,1500.00,17.15,18.32,12.21,5.00,51
2040.00,2160.00,H10E_2_3,57,1710.00,17.92,15.69,13.25,5.00,57
2160.00,2280.00,H10E_2_3,55,1650.00,11.90,22.83,19.13,5.00,54
2280.00,2400.00,H10E_2_3,49,1470.00,9.18,24.15,22.23,5.00,49
2400.00,2520.00,H10E_2_3,47,1410.00,8.54,24.87,23.04,5.00,48
2520.00,2640.00,H10E_2_3,46,1380.00,7.75,27.01,24.88,5.00,47
2640.00,2760.00,H10E_2_3,54,1620.00,10.13,25.36,22.32,5.00,55
2760.00,2880.00,H10E_2_3,50,1500.00,8.79,25.60,23.82,5.00,50
2880.00,3000.00,H10E_2_3,48,1440.00,9.50,24.52,21.04,5.00,48
3000.00,3120.00,H10E_2_3,45,1350.00,7.11,26.54,26.35,5.00,45
3120.00,3240.00,H10E_2_3,46,1380.00,8.78,25.70,21.84,5.00,46
3240.00,3360.00,H10E_2_3,44,1320.00,8.38,25.97,21.88,5.00,44
3360.00,3480.00,H10E_2_3,53,1590.00,9.94,22.81,22.21,5.00,53
3480.00,3600.00,H10E_2_3,57,1710.00,9.48,25.62,25.40,5.00,59
3600.00,3720.00,H10E_2_3,48,1440.00,7.63,26.47,26.23,5.00,48
3720.00,3840.00,H10E_2_3,46,1380.00,7.50,25.71,25.54,5.00,46
3840.00,3960.00,H10E_2_3,49,1470.00,20.09,15.58,10.16,5.00,49
3960.00,4080.00,H10E_2_3,57,1710.00,26.97,10.17,8.81,5.00,57
4080.00,4200.00,H10E_2_3,49,1470.00,12.27,18.63,16.64,5.00,49
4200.00,4320.00,H10E_2_3,60,1800.00,9.79,25.88,25.66,5.00,61
4320.00,4440.00,H10E_2_3,57,1710.00,11.25,23.49,21.10,5.00,57
4440.00,4560.00,H10E_2_3,46,1380.00,9.14,22.81,21.74,5.00,50
4560.00,4680.00,H10E_2_3,33,990.00,44.32,7.05,3.10,5.00,33
4680.00,4800.00,H10E_2_3,39,1170.00,32.28,8.01,5.59,5.00,41
4800.00,4920.00,H10E_2_3,70,2100.00,14.11,21.05,20.47,5.00,69
4920.00,5040.00,H10E_2_3,42,1260.00,33.04,7.95,5.44,5.00,43
5040.00,5160.00,H10E_2_3,22,660.00,47.99,3.51,1.91,5.00,22
5160.00,5280.00,H10E_2_3,4,120.00,11.52,2.03,1.45,5.00,4
5280.00,5400.00,H10E_2_3,59,1770.00,23.73,12.58,10.36,5.00,59
5400.00,5520.00,H10E_2_3,67,2010.00,21.85,13.81,12.78,5.00,67
5520.00,5640.00,H10E_2_3,52,1560.00,29.68,10.92,7.30,5.00,52
5640.00,5760.00,H10E_2_3,30,900.00,44.83,3.81,2.79,5.00,30
5760.00,5880.00,H10E_2_3,31,930.00,34.92,6.72,3.70,5.00,31
5880.00,6000.00,H10E_2_3,55,1650.00,22.91,11.54,10.31,5.00,57
6000.00,6120.00,H10E_2_3,19,570.00,20.42,9.43,4.01,5.00,19
6120.00,6240.00,H10E_2_3,17,510.00,4.66,21.31,15.51,5.00,18
6240.00,6360.00,H10E_2_3,48,1440.00,13.95,16.19,14.89,5.00,50
6360.00,6480.00,H10E_2_3,50,1500.00,31.13,9.24,6.71,5.00,51
6480.00,6600.00,H10E_2_3,19,570.00,51.97,9.02,5.67,5.00,19
6600.00,6720.00,H10E_2_3,52,1560.00,26.58,11.56,3.35,5.00,52
6720.00,6840.00,H10E_2_3,50,1500.00,30.99,7.53,6.71,5.00,49
6840.00,6960.00,H10E_2_3,54,1620.00,21.78,13.88,10.33,5.00,54
6960.00,7080.00,H10E_2_3,31,930.00,11.60,15.00,11.13,5.00,31
7080.00,7200.00,H10E_2_3,7,210.00,13.16,4.58,3.37,5.00,9
