begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H15N_2_4,1,30.00,0.13,33.06,33.06,5.00,1
120.00,240.00,H15N_2_4,2,60.00,0.27,30.99,30.87,5.00,2
240.00,360.00,H15N_2_4,33,990.00,4.72,29.17,29.12,5.00,33
360.00,480.00,H15N_2_4,47,1410.00,7.15,27.45,27.38,5.00,47
480.00,600.00,H15N_2_4,48,1440.00,7.10,28.23,28.15,5.00,48
600.00,720.00,H15N_2_4,49,1470.00,7.46,27.46,27.38,5.00,49
720.00,840.00,H15N_2_4,61,1830.00,9.45,26.98,26.90,5.00,61
840.00,960.00,H15N_2_4,54,1620.00,8.39,26.88,26.83,5.00,54
960.00,1080.00,H15N_2_4,58,1740.00,9.02,27.18,27.08,5.00,59
1080.00,1200.00,H15N_2_4,59,1770.00,8.96,27.30,27.17,5.00,58
1200.00,1320.00,H15N_2_4,58,1740.00,8.81,27.51,27.42,5.00,58
1320.00,1440.00,H15N_2_4,48,1440.00,8.12,26.59,24.64,5.00,48
1440.00,1560.00,H15N_2_4,57,1710.00,8.54,27.90,27.82,5.00,57
1560.00,1680.00,H15N_2_4,64,1920.00,11.50,25.57,24.01,5.00,65
1680.00,1800.00,H15N_2_4,50,1500.00,8.30,27.44,25.11,5.00,50
1800.00,1920.00,H15N_2_4,53,1590.00,8.23,26.97,26.89,5.00,54
1920.00,2040.00,H15N_2_4,49,1470.00,7.64,27.32,27.28,5.00,50
2040.00,2160.00,H15N_2_4,51,1530.00,7.53,27.73,27.66,5.00,50
2160.00,2280.00,H15N_2_4,57,1710.00,8.90,26.80,26.67,5.00,57
2280.00,2400.00,H15N_2_4,57,1710.00,8.92,26.75,26.62,5.00,57
2400.00,2520.00,H15N_2_4,52,1560.00,8.04,27.02,26.95,5.00,52
2520.00,2640.00,H15N_2_4,53,1590.00,8.78,26.99,25.15,5.00,53
2640.00,2760.00,H15N_2_4,50,1500.00,7.55,27.67,27.59,5.00,50
2760.00,2880.00,H15N_2_4,52,1560.00,7.80,27.84,27.78,5.00,52
2880.00,3000.00,H15N_2_4,44,1320.00,6.75,27.57,27.50,5.00,45
3000.00,3120.00,H15N_2_4,49,1470.00,8.21,27.17,24.93,5.00,50
3120.00,3240.00,H15N_2_4,61,1830.00,9.18,27.75,27.70,5.00,61
3240.00,3360.00,H15N_2_4,57,1710.00,9.69,26.46,24.51,5.00,57
3360.00,3480.00,H15N_2_4,57,1710.00,8.92,26.76,26.63,5.00,57
3480.00,3600.00,H15N_2_4,59,1770.00,9.07,27.30,27.19,5.00,60
3600.00,3720.00,H15N_2_4,57,1710.00,8.66,27.48,27.41,5.00,57
3720.00,3840.00,H15N_2_4,56,1680.00,8.61,27.15,27.08,5.00,56
3840.00,3960.00,H15N_2_4,51,1530.00,7.71,27.61,27.54,5.00,51
3960.00,4080.00,H15N_2_4,55,1650.00,8.64,26.74,26.51,5.00,55
4080.00,4200.00,H15N_2_4,65,1950.00,9.86,27.53,27.46,5.00,65
4200.00,4320.00,H15N_2_4,52,1560.00,7.90,27.48,27.42,5.00,52
4320.00,4440.00,H15N_2_4,50,1500.00,7.51,27.77,27.73,5.00,50
4440.00,4560.00,H15N_2_4,57,1710.00,8.88,26.86,26.74,5.00,57
4560.00,4680.00,H15N_2_4,60,1800.00,9.32,26.90,26.82,5.00,60
4680.00,4800.00,H15N_2_4,63,1890.00,9.76,27.03,26.91,5.00,63
4800.00,4920.00,H15N_2_4,54,1620.00,8.19,27.54,27.47,5.00,54
4920.00,5040.00,H15N_2_4,54,1620.00,8.30,27.17,27.10,5.00,54
5040.00,5160.00,H15N_2_4,64,1920.00,10.58,25.47,25.19,5.00,64
5160.00,5280.00,H15N_2_4,59,1770.00,9.31,26.83,26.42,5.00,59
5280.00,5400.00,H15N_2_4,62,1860.00,9.76,26.59,26.46,5.00,62
5400.00,5520.00,H15N_2_4,58,1740.00,9.11,26.58,26.52,5.00,58
5520.00,5640.00,H15N_2_4,63,1890.00,10.78,24.95,24.35,5.00,63
5640.00,5760.00,H15N_2_4,55,1650.00,8.53,26.98,26.86,5.00,55
5760.00,5880.00,H15N_2_4,61,1830.00,10.37,26.05,24.50,5.00,61
5880.00,6000.00,H15N_2_4,58,1740.00,9.31,26.12,25.94,5.00,58
6000.00,6120.00,H15N_2_4,63,1890.00,9.92,26.66,26.46,5.00,63
6120.00,6240.00,H15N_2_4,64,1920.00,9.97,26.90,26.76,5.00,64
6240.00,6360.00,H15N_2_4,60,1800.00,9.23,27.16,27.08,5.00,60
6360.00,6480.00,H15N_2_4,63,1890.00,9.89,26.66,26.54,5.00,63
6480.00,6600.00,H15N_2_4,59,1770.00,9.56,26.26,25.71,5.00,59
6600.00,6720.00,H15N_2_4,66,1980.00,10.74,25.71,25.62,5.00,66
6720.00,6840.00,H15N_2_4,59,1770.00,9.44,26.25,26.04,5.00,59
6840.00,6960.00,H15N_2_4,66,1980.00,11.82,24.92,23.27,5.00,66
6960.00,7080.00,H15N_2_4,59,1770.00,9.05,27.24,27.15,5.00,59
7080.00,7200.00,H15N_2_4,64,1920.00,10.06,26.64,26.50,5.00,64
