begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H25S_3_3,5,150.00,0.75,29.82,29.72,5.00,6
120.00,240.00,H25S_3_3,25,750.00,3.65,28.27,28.15,5.00,24
240.00,360.00,H25S_3_3,55,1650.00,9.02,25.63,25.40,5.00,55
360.00,480.00,H25S_3_3,69,2070.00,13.36,23.53,21.53,5.00,69
480.00,600.00,H25S_3_3,65,1950.00,13.95,21.09,19.41,5.00,65
600.00,720.00,H25S_3_3,63,1890.00,14.25,19.18,18.54,5.00,65
720.00,840.00,H25S_3_3,56,1680.00,12.30,20.00,19.28,5.00,57
840.00,960.00,H25S_3_3,67,2010.00,12.96,22.76,21.54,5.00,67
960.00,1080.00,H25S_3_3,57,1710.00,10.24,23.55,23.20,5.00,57
1080.00,1200.00,H25S_3_3,62,1860.00,16.41,19.75,15.87,5.00,64
1200.00,1320.00,H25S_3_3,44,1320.00,8.56,23.05,21.68,5.00,45
1320.00,1440.00,H25S_3_3,68,2040.00,12.97,22.62,21.68,5.00,67
1440.00,1560.00,H25S_3_3,59,1770.00,10.88,23.25,22.83,5.00,60
1560.00,1680.00,H25S_3_3,55,1650.00,10.08,23.53,23.08,5.00,56
1680.00,1800.00,H25S_3_3,33,990.00,10.21,16.07,15.47,5.00,36
1800.00,1920.00,H25S_3_3,24,720.00,4.81,20.78,20.24,5.00,25
1920.00,2040.00,H25S_3_3,14,420.00,3.11,23.15,19.01,5.00,15
2040.00,2160.00,H25S_3_3,45,1350.00,11.46,19.93,18.20,5.00,47
2160.00,2280.00,H25S_3_3,57,1710.00,10.75,22.99,22.39,5.00,58
2280.00,2400.00,H25S_3_3,51,1530.00,10.60,23.00,20.04,5.00,51
2400.00,2520.00,H25S_3_3,40,1200.00,9.49,22.44,19.28,5.00,42
2520.00,2640.00,H25S_3_3,52,1560.00,11.41,20.23,17.90,5.00,53
2640.00,2760.00,H25S_3_3,45,1350.00,8.06,23.63,23.26,5.00,45
2760.00,2880.00,H25S_3_3,46,1380.00,8.58,23.23,22.54,5.00,47
2880.00,3000.00,H25S_3_3,42,1260.00,7.66,23.24,22.85,5.00,42
3000.00,3120.00,H25S_3_3,42,1260.00,7.68,22.99,22.78,5.00,42
3120.00,3240.00,H25S_3_3,23,690.00,4.74,23.48,20.22,5.00,23
3240.00,3360.00,H25S_3_3,48,1440.00,8.53,24.19,23.96,5.00,50
3360.00,3480.00,H25S_3_3,44,1320.00,8.79,22.67,20.87,5.00,44
3480.00,3600.00,H25S_3_3,45,1350.00,7.89,24.01,23.76,5.00,45
3600.00,3720.00,H25S_3_3,47,1410.00,9.84,21.74,19.91,5.00,48
3720.00,3840.00,H25S_3_3,34,1020.00,6.49,23.11,21.83,5.00,34
3840.00,3960.00,H25S_3_3,49,1470.00,13.95,17.86,14.99,5.00,51
3960.00,4080.00,H25S_3_3,55,1650.00,9.80,23.66,23.38,5.00,55
4080.00,4200.00,H25S_3_3,51,1530.00,9.48,24.25,22.61,5.00,52
4200.00,4320.00,H25S_3_3,65,1950.00,14.00,19.92,19.34,5.00,65
4320.00,4440.00,H25S_3_3,49,1470.00,9.71,23.07,21.25,5.00,50
4440.00,4560.00,H25S_3_3,64,1920.00,12.77,22.21,20.88,5.00,64
4560.00,4680.00,H25S_3_3,52,1560.00,9.46,23.34,22.96,5.00,53
4680.00,4800.00,H25S_3_3,65,1950.00,11.99,22.91,22.54,5.00,64
4800.00,4920.00,H25S_3_3,58,1740.00,12.20,20.40,19.82,5.00,59
4920.00,5040.00,H25S_3_3,46,1380.00,8.55,22.86,22.42,5.00,46
5040.00,5160.00,H25S_3_3,38,1140.00,7.70,22.60,20.65,5.00,39
5160.00,5280.00,H25S_3_3,47,1410.00,10.53,20.16,18.64,5.00,48
5280.00,5400.00,H25S_3_3,50,1500.00,11.74,20.62,17.79,5.00,51
5400.00,5520.00,H25S_3_3,59,1770.00,12.23,21.53,20.37,5.00,60
5520.00,5640.00,H25S_3_3,49,1470.00,8.91,23.41,23.00,5.00,50
5640.00,5760.00,H25S_3_3,51,1530.00,10.02,22.41,21.57,5.00,53
5760.00,5880.00,H25S_3_3,56,1680.00,10.99,21.86,21.24,5.00,56
5880.00,6000.00,H25S_3_3,51,1530.00,15.87,16.08,13.79,5.00,54
6000.00,6120.00,H25S_3_3,52,1560.00,10.27,22.83,21.11,5.00,53
6120.00,6240.00,H25S_3_3,55,1650.00,10.91,21.64,21.11,5.00,56
6240.00,6360.00,H25S_3_3,34,1020.00,6.57,22.22,21.98,5.00,35
6360.00,6480.00,H25S_3_3,54,1620.00,11.15,21.57,20.17,5.00,54
6480.00,6600.00,H25S_3_3,49,1470.00,8.99,23.66,23.19,5.00,51
6600.00,6720.00,H25S_3_3,47,1410.00,9.31,21.56,21.03,5.00,47
6720.00,6840.00,H25S_3_3,19,570.00,3.10,25.77,25.55,5.00,19
6840.00,6960.00,H25S_3_3,41,1230.00,9.96,18.84,17.15,5.00,41
6960.00,7080.00,H25S_3_3,48,1440.00,11.21,19.06,18.05,5.00,49
7080.00,7200.00,H25S_3_3,59,1770.00,11.17,22.47,22.11,5.00,60
