begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_2_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,240.00,H10E_2_0,4,120.00,0.87,19.32,19.16,5.00,4
240.00,360.00,H10E_2_0,33,990.00,9.58,14.95,14.36,5.00,33
360.00,480.00,H10E_2_0,30,900.00,8.30,15.42,15.16,5.00,31
480.00,600.00,H10E_2_0,24,720.00,26.89,12.51,11.26,5.00,25
600.00,720.00,H10E_2_0,33,990.00,10.27,14.72,13.39,5.00,33
720.00,840.00,H10E_2_0,34,1020.00,35.29,14.93,14.33,5.00,35
840.00,960.00,H10E_2_0,22,660.00,14.09,14.63,2.32,5.00,21
960.00,1080.00,H10E_2_0,22,660.00,11.51,15.73,15.17,5.00,23
1080.00,1200.00,H10E_2_0,15,450.00,6.72,13.61,5.13,5.00,14
1200.00,1320.00,H10E_2_0,7,210.00,1.84,16.17,15.86,5.00,7
1320.00,1440.00,H10E_2_0,12,360.00,3.00,16.79,16.67,5.00,12
1440.00,1560.00,H10E_2_0,11,330.00,3.05,15.31,15.05,5.00,11
1560.00,1680.00,H10E_2_0,3,90.00,0.70,17.99,17.95,5.00,3
1680.00,1800.00,H10E_2_0,11,330.00,2.85,16.24,16.09,5.00,11
1800.00,1920.00,H10E_2_0,11,330.00,2.96,15.69,15.51,5.00,11
1920.00,2040.00,H10E_2_0,9,270.00,2.36,16.16,15.89,5.00,9
2040.00,2160.00,H10E_2_0,10,300.00,2.57,16.37,16.22,5.00,10
2160.00,2280.00,H10E_2_0,4,120.00,1.66,13.66,10.04,5.00,4
2280.00,2400.00,H10E_2_0,4,120.00,0.68,24.54,24.41,5.00,4
2400.00,2520.00,H10E_2_0,2,60.00,0.34,24.83,24.82,5.00,2
2520.00,2640.00,H10E_2_0,2,60.00,0.34,24.39,24.38,5.00,2
2640.00,2760.00,H10E_2_0,6,180.00,1.10,23.58,22.82,5.00,6
2760.00,2880.00,H10E_2_0,1,30.00,0.17,24.08,24.08,5.00,1
2880.00,3000.00,H10E_2_0,1,30.00,0.25,16.61,16.61,5.00,1
3000.00,3120.00,H10E_2_0,3,90.00,0.54,24.83,23.33,5.00,3
3120.00,3240.00,H10E_2_0,5,150.00,0.88,23.83,23.73,5.00,5
3240.00,3360.00,H10E_2_0,4,120.00,0.80,21.29,20.95,5.00,4
3360.00,3480.00,H10E_2_0,4,120.00,1.00,16.91,16.65,5.00,4
3480.00,3600.00,H10E_2_0,3,90.00,0.79,15.86,15.77,5.00,3
3600.00,3720.00,H10E_2_0,11,330.00,3.03,15.30,15.13,5.00,11
3720.00,3840.00,H10E_2_0,5,150.00,1.52,15.23,15.09,5.00,6
3840.00,3960.00,H10E_2_0,5,150.00,1.12,17.51,16.55,5.00,4
3960.00,4080.00,H10E_2_0,6,180.00,1.76,15.67,14.22,5.00,6
4080.00,4200.00,H10E_2_0,9,270.00,2.29,16.56,16.34,5.00,9
4200.00,4320.00,H10E_2_0,9,270.00,2.47,15.64,15.17,5.00,9
4320.00,4440.00,H10E_2_0,9,270.00,2.44,15.54,15.38,5.00,9
4440.00,4560.00,H10E_2_0,7,210.00,2.04,14.41,14.28,5.00,7
4560.00,4680.00,H10E_2_0,11,330.00,3.02,15.36,15.20,5.00,11
4680.00,4800.00,H10E_2_0,8,240.00,1.91,17.53,17.41,5.00,8
4800.00,4920.00,H10E_2_0,9,270.00,2.31,16.40,16.27,5.00,9
4920.00,5040.00,H10E_2_0,10,300.00,2.62,16.09,15.90,5.00,10
5040.00,5160.00,H10E_2_0,9,270.00,2.21,17.10,16.99,5.00,9
5160.00,5280.00,H10E_2_0,7,210.00,1.76,16.69,16.59,5.00,7
5280.00,5400.00,H10E_2_0,11,330.00,2.78,16.60,16.47,5.00,11
5400.00,5520.00,H10E_2_0,11,330.00,2.85,16.26,16.09,5.00,11
5520.00,5640.00,H10E_2_0,7,210.00,1.76,16.73,16.58,5.00,7
5640.00,5760.00,H10E_2_0,17,510.00,4.56,15.68,15.54,5.00,17
5760.00,5880.00,H10E_2_0,13,390.00,3.35,16.28,16.15,5.00,13
5880.00,6000.00,H10E_2_0,6,180.00,1.51,16.65,16.53,5.00,6
6000.00,6120.00,H10E_2_0,7,210.00,1.74,16.85,16.73,5.00,7
6120.00,6240.00,H10E_2_0,9,270.00,2.44,15.48,15.36,5.00,9
6240.00,6360.00,H10E_2_0,9,270.00,2.31,16.43,16.27,5.00,9
6360.00,6480.00,H10E_2_0,7,210.00,1.83,16.12,15.90,5.00,7
6480.00,6600.00,H10E_2_0,8,240.00,2.18,16.90,16.77,5.00,9
6600.00,6720.00,H10E_2_0,7,210.00,1.68,15.74,15.60,5.00,6
6720.00,6840.00,H10E_2_0,12,360.00,3.20,15.79,15.61,5.00,12
6840.00,6960.00,H10E_2_0,3,90.00,0.87,14.42,14.31,5.00,3
6960.00,7080.00,H10E_2_0,7,210.00,1.64,17.82,17.80,5.00,7
7080.00,7200.00,H10E_2_0,9,270.00,2.31,16.43,16.24,5.00,9
