begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H15N_2_4,1,30.00,0.13,33.06,33.06,5.00,1
120.00,240.00,H15N_2_4,2,60.00,0.27,30.99,30.87,5.00,2
240.00,360.00,H15N_2_4,33,990.00,4.72,29.17,29.12,5.00,33
360.00,480.00,H15N_2_4,47,1410.00,7.15,27.45,27.38,5.00,47
480.00,600.00,H15N_2_4,48,1440.00,7.10,28.23,28.15,5.00,48
600.00,720.00,H15N_2_4,49,1470.00,7.46,27.46,27.38,5.00,49
720.00,840.00,H15N_2_4,61,1830.00,9.45,26.98,26.90,5.00,61
840.00,960.00,H15N_2_4,54,1620.00,8.39,26.88,26.83,5.00,54
960.00,1080.00,H15N_2_4,58,1740.00,9.02,27.18,27.08,5.00,59
1080.00,1200.00,H15N_2_4,59,1770.00,8.96,27.30,27.17,5.00,58
1200.00,1320.00,H15N_2_4,58,1740.00,8.81,27.51,27.42,5.00,58
1320.00,1440.00,H15N_2_4,48,1440.00,8.12,26.59,24.64,5.00,48
1440.00,1560.00,H15N_2_4,57,1710.00,8.54,27.90,27.82,5.00,57
1560.00,1680.00,H15N_2_4,64,1920.00,11.50,25.57,24.01,5.00,65
1680.00,1800.00,H15N_2_4,50,1500.00,8.30,27.44,25.11,5.00,50
1800.00,1920.00,H15N_2_4,53,1590.00,8.23,26.97,26.89,5.00,54
1920.00,2040.00,H15N_2_4,50,1500.00,8.60,26.39,24.23,5.00,50
2040.00,2160.00,H15N_2_4,53,1590.00,8.10,27.32,27.27,5.00,53
2160.00,2280.00,H15N_2_4,51,1530.00,7.81,27.29,27.23,5.00,51
2280.00,2400.00,H15N_2_4,62,1860.00,10.62,26.01,24.32,5.00,62
2400.00,2520.00,H15N_2_4,59,1770.00,9.43,26.28,26.12,5.00,60
2520.00,2640.00,H15N_2_4,47,1410.00,7.03,27.87,27.79,5.00,46
2640.00,2760.00,H15N_2_4,51,1530.00,7.97,26.73,26.65,5.00,51
2760.00,2880.00,H15N_2_4,52,1560.00,7.98,27.27,27.20,5.00,53
2880.00,3000.00,H15N_2_4,52,1560.00,7.97,27.24,27.17,5.00,52
3000.00,3120.00,H15N_2_4,57,1710.00,8.68,27.43,27.37,5.00,57
3120.00,3240.00,H15N_2_4,54,1620.00,8.69,26.60,25.88,5.00,54
3240.00,3360.00,H15N_2_4,57,1710.00,8.71,27.33,27.27,5.00,57
3360.00,3480.00,H15N_2_4,55,1650.00,9.24,25.90,25.03,5.00,56
3480.00,3600.00,H15N_2_4,60,1800.00,9.13,27.40,27.32,5.00,60
3600.00,3720.00,H15N_2_4,59,1770.00,9.13,27.04,26.94,5.00,59
3720.00,3840.00,H15N_2_4,57,1710.00,8.68,27.42,27.36,5.00,57
3840.00,3960.00,H15N_2_4,58,1740.00,9.05,26.98,26.69,5.00,58
3960.00,4080.00,H15N_2_4,54,1620.00,8.58,26.75,26.58,5.00,55
4080.00,4200.00,H15N_2_4,60,1800.00,9.26,26.71,26.66,5.00,59
4200.00,4320.00,H15N_2_4,55,1650.00,8.57,26.84,26.73,5.00,55
4320.00,4440.00,H15N_2_4,57,1710.00,8.69,27.37,27.32,5.00,57
4440.00,4560.00,H15N_2_4,52,1560.00,8.21,26.53,26.39,5.00,52
4560.00,4680.00,H15N_2_4,62,1860.00,10.10,26.09,25.99,5.00,63
4680.00,4800.00,H15N_2_4,55,1650.00,8.72,26.66,26.35,5.00,56
4800.00,4920.00,H15N_2_4,53,1590.00,8.45,26.77,26.66,5.00,54
4920.00,5040.00,H15N_2_4,52,1560.00,7.89,27.49,27.45,5.00,52
5040.00,5160.00,H15N_2_4,63,1890.00,9.68,27.16,27.11,5.00,63
5160.00,5280.00,H15N_2_4,59,1770.00,9.73,26.10,25.27,5.00,59
5280.00,5400.00,H15N_2_4,59,1770.00,9.85,25.40,24.95,5.00,59
5400.00,5520.00,H15N_2_4,54,1620.00,8.14,27.71,27.64,5.00,54
5520.00,5640.00,H15N_2_4,57,1710.00,10.68,23.65,22.24,5.00,57
5640.00,5760.00,H15N_2_4,53,1590.00,8.16,27.13,27.06,5.00,53
5760.00,5880.00,H15N_2_4,53,1590.00,8.80,25.78,25.10,5.00,53
5880.00,6000.00,H15N_2_4,68,2040.00,11.28,25.22,25.12,5.00,68
6000.00,6120.00,H15N_2_4,61,1830.00,9.48,26.96,26.80,5.00,61
6120.00,6240.00,H15N_2_4,61,1830.00,10.29,25.30,24.70,5.00,61
6240.00,6360.00,H15N_2_4,59,1770.00,9.57,26.01,25.88,5.00,60
6360.00,6480.00,H15N_2_4,61,1830.00,10.12,25.50,25.10,5.00,61
6480.00,6600.00,H15N_2_4,59,1770.00,9.17,26.89,26.85,5.00,60
6600.00,6720.00,H15N_2_4,60,1800.00,9.65,26.33,26.22,5.00,61
6720.00,6840.00,H15N_2_4,57,1710.00,8.78,27.04,26.95,5.00,57
6840.00,6960.00,H15N_2_4,56,1680.00,8.41,27.52,27.46,5.00,55
6960.00,7080.00,H15N_2_4,57,1710.00,8.77,27.41,27.31,5.00,58
7080.00,7200.00,H15N_2_4,60,1800.00,9.25,27.11,27.04,5.00,60
