begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H25S_1_4,10,300.00,1.54,27.15,26.99,5.00,10
120.00,240.00,H25S_1_4,36,1080.00,5.45,27.64,27.52,5.00,36
240.00,360.00,H25S_1_4,44,1320.00,6.62,27.82,27.70,5.00,44
360.00,480.00,H25S_1_4,45,1350.00,6.98,26.95,26.85,5.00,45
480.00,600.00,H25S_1_4,48,1440.00,8.04,25.58,25.25,5.00,49
600.00,720.00,H25S_1_4,45,1350.00,7.17,26.97,26.14,5.00,45
720.00,840.00,H25S_1_4,48,1440.00,8.36,25.77,24.02,5.00,49
840.00,960.00,H25S_1_4,50,1500.00,8.51,26.68,24.47,5.00,50
960.00,1080.00,H25S_1_4,43,1290.00,6.59,27.26,27.18,5.00,43
1080.00,1200.00,H25S_1_4,43,1290.00,6.66,27.00,26.91,5.00,43
1200.00,1320.00,H25S_1_4,50,1500.00,7.69,27.15,27.08,5.00,50
1320.00,1440.00,H25S_1_4,46,1380.00,7.06,27.31,27.16,5.00,46
1440.00,1560.00,H25S_1_4,54,1620.00,9.30,26.12,24.20,5.00,54
1560.00,1680.00,H25S_1_4,50,1500.00,8.28,27.08,25.17,5.00,50
1680.00,1800.00,H25S_1_4,54,1620.00,8.39,27.12,26.99,5.00,55
1800.00,1920.00,H25S_1_4,57,1710.00,12.56,23.31,19.05,5.00,58
1920.00,2040.00,H25S_1_4,50,1500.00,10.02,23.26,21.07,5.00,51
2040.00,2160.00,H25S_1_4,54,1620.00,21.42,11.57,10.50,5.00,54
2160.00,2280.00,H25S_1_4,51,1530.00,12.65,19.83,16.90,5.00,52
2280.00,2400.00,H25S_1_4,27,810.00,33.48,12.68,3.81,5.00,28
2400.00,2520.00,H25S_1_4,27,810.00,45.79,3.22,2.29,5.00,27
2520.00,2640.00,H25S_1_4,45,1350.00,35.06,8.12,5.28,5.00,44
2640.00,2760.00,H25S_1_4,33,990.00,43.69,3.73,3.15,5.00,33
2760.00,2880.00,H25S_1_4,28,840.00,45.35,3.12,2.59,5.00,29
2880.00,3000.00,H25S_1_4,38,1140.00,40.21,4.51,3.97,5.00,38
3000.00,3120.00,H25S_1_4,28,840.00,47.35,2.91,2.52,5.00,28
3120.00,3240.00,H25S_1_4,34,1020.00,43.83,3.61,3.12,5.00,34
3240.00,3360.00,H25S_1_4,47,1410.00,34.95,6.17,5.59,5.00,46
3360.00,3480.00,H25S_1_4,41,1230.00,39.36,7.30,4.41,5.00,42
3480.00,3600.00,H25S_1_4,35,1050.00,42.64,4.30,3.37,5.00,34
3600.00,3720.00,H25S_1_4,31,930.00,46.83,3.07,2.76,5.00,31
3720.00,3840.00,H25S_1_4,38,1140.00,39.73,5.05,3.99,5.00,38
3840.00,3960.00,H25S_1_4,46,1380.00,33.27,7.37,5.86,5.00,47
3960.00,4080.00,H25S_1_4,40,1200.00,38.93,4.98,4.38,5.00,40
4080.00,4200.00,H25S_1_4,39,1170.00,38.17,5.32,4.13,5.00,39
4200.00,4320.00,H25S_1_4,36,1080.00,41.82,4.52,3.65,5.00,36
4320.00,4440.00,H25S_1_4,51,1530.00,33.08,7.37,6.23,5.00,50
4440.00,4560.00,H25S_1_4,29,870.00,44.38,3.63,2.77,5.00,30
4560.00,4680.00,H25S_1_4,54,1620.00,30.90,8.03,7.09,5.00,53
4680.00,4800.00,H25S_1_4,41,1230.00,39.73,4.48,4.30,5.00,41
4800.00,4920.00,H25S_1_4,37,1110.00,42.43,4.04,3.68,5.00,38
4920.00,5040.00,H25S_1_4,39,1170.00,41.70,4.44,3.84,5.00,38
5040.00,5160.00,H25S_1_4,59,1770.00,26.79,9.79,9.17,5.00,59
5160.00,5280.00,H25S_1_4,47,1410.00,34.40,8.47,5.69,5.00,47
5280.00,5400.00,H25S_1_4,41,1230.00,38.30,6.49,4.48,5.00,42
5400.00,5520.00,H25S_1_4,52,1560.00,30.85,7.58,7.07,5.00,52
5520.00,5640.00,H25S_1_4,41,1230.00,20.07,10.14,8.36,5.00,40
5640.00,5760.00,H25S_1_4,49,1470.00,11.49,21.47,17.98,5.00,50
5760.00,5880.00,H25S_1_4,41,1230.00,6.65,26.57,26.43,5.00,43
5880.00,6000.00,H25S_1_4,45,1350.00,12.82,15.54,14.61,5.00,45
6000.00,6120.00,H25S_1_4,46,1380.00,7.96,24.17,23.88,5.00,45
6120.00,6240.00,H25S_1_4,49,1470.00,7.66,26.75,26.66,5.00,49
6240.00,6360.00,H25S_1_4,49,1470.00,7.56,27.06,26.99,5.00,49
6360.00,6480.00,H25S_1_4,44,1320.00,7.07,26.49,26.31,5.00,45
6480.00,6600.00,H25S_1_4,49,1470.00,7.81,25.91,25.80,5.00,48
6600.00,6720.00,H25S_1_4,40,1200.00,6.14,27.26,27.13,5.00,40
6720.00,6840.00,H25S_1_4,47,1410.00,7.22,27.19,27.11,5.00,47
6840.00,6960.00,H25S_1_4,43,1290.00,6.52,27.54,27.46,5.00,43
6960.00,7080.00,H25S_1_4,46,1380.00,7.14,27.00,26.84,5.00,46
7080.00,7200.00,H25S_1_4,44,1320.00,7.83,25.85,23.43,5.00,44
