begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_3_2,19,570.00,3.31,25.55,23.90,5.00,19
120.00,240.00,H10E_3_2,54,1620.00,10.93,22.43,20.59,5.00,54
240.00,360.00,H10E_3_2,59,1770.00,13.05,19.79,18.84,5.00,59
360.00,480.00,H10E_3_2,57,1710.00,10.66,22.93,22.28,5.00,57
480.00,600.00,H10E_3_2,69,2070.00,17.47,16.95,16.55,5.00,70
600.00,720.00,H10E_3_2,48,1440.00,19.27,16.96,10.42,5.00,49
720.00,840.00,H10E_3_2,60,1800.00,12.06,21.36,20.72,5.00,60
840.00,960.00,H10E_3_2,68,2040.00,14.16,21.57,20.00,5.00,68
960.00,1080.00,H10E_3_2,61,1830.00,15.36,21.05,16.54,5.00,61
1080.00,1200.00,H10E_3_2,62,1860.00,13.05,21.19,20.00,5.00,63
1200.00,1320.00,H10E_3_2,69,2070.00,14.33,21.09,20.06,5.00,69
1320.00,1440.00,H10E_3_2,26,780.00,33.27,17.95,15.14,5.00,26
1440.00,1560.00,H10E_3_2,46,1380.00,9.93,21.02,19.30,5.00,46
1560.00,1680.00,H10E_3_2,71,2130.00,21.57,15.22,13.84,5.00,73
1680.00,1800.00,H10E_3_2,24,720.00,60.82,15.77,1.65,5.00,24
1800.00,1920.00,H10E_3_2,43,1290.00,11.55,19.33,15.45,5.00,44
1920.00,2040.00,H10E_3_2,69,2070.00,15.36,20.10,19.22,5.00,71
2040.00,2160.00,H10E_3_2,64,1920.00,12.23,22.04,21.51,5.00,63
2160.00,2280.00,H10E_3_2,65,1950.00,13.70,20.45,19.77,5.00,65
2280.00,2400.00,H10E_3_2,8,240.00,15.00,10.38,7.49,5.00,10
2400.00,2520.00,H10E_3_2,26,780.00,5.61,20.57,19.49,5.00,27
2520.00,2640.00,H10E_3_2,54,1620.00,10.85,21.57,20.73,5.00,54
2640.00,2760.00,H10E_3_2,50,1500.00,14.73,15.60,14.14,5.00,50
2760.00,2880.00,H10E_3_2,0,0.00,0.27,-1.00,-1.00,-1.00,1
2880.00,3000.00,H10E_3_2,7,210.00,6.29,9.28,4.44,5.00,6
3000.00,3120.00,H10E_3_2,23,690.00,4.38,23.31,21.89,5.00,23
3120.00,3240.00,H10E_3_2,31,930.00,5.71,24.10,22.63,5.00,31
3240.00,3360.00,H10E_3_2,33,990.00,7.32,22.80,18.78,5.00,33
3360.00,3480.00,H10E_3_2,52,1560.00,9.34,23.54,23.20,5.00,52
3480.00,3600.00,H10E_3_2,47,1410.00,10.32,22.72,18.98,5.00,47
3600.00,3720.00,H10E_3_2,45,1350.00,8.38,23.72,22.36,5.00,45
3720.00,3840.00,H10E_3_2,38,1140.00,7.53,23.02,21.02,5.00,38
3840.00,3960.00,H10E_3_2,60,1800.00,19.69,19.66,17.17,5.00,61
3960.00,4080.00,H10E_3_2,4,120.00,2.89,4.95,2.08,5.00,3
4080.00,4200.00,H10E_3_2,1,30.00,0.29,14.62,14.62,5.00,1
4200.00,4320.00,H10E_3_2,15,450.00,3.80,19.18,17.32,5.00,16
4320.00,4440.00,H10E_3_2,37,1110.00,7.06,22.41,21.83,5.00,37
4440.00,4560.00,H10E_3_2,37,1110.00,6.33,24.71,24.37,5.00,37
4560.00,4680.00,H10E_3_2,38,1140.00,6.86,24.12,23.22,5.00,39
4680.00,4800.00,H10E_3_2,31,930.00,5.31,25.24,24.33,5.00,31
4800.00,4920.00,H10E_3_2,51,1530.00,9.32,22.96,22.81,5.00,51
4920.00,5040.00,H10E_3_2,21,630.00,7.85,13.08,11.14,5.00,21
5040.00,5160.00,H10E_3_2,41,1230.00,7.11,24.32,24.02,5.00,41
5160.00,5280.00,H10E_3_2,48,1440.00,8.48,24.01,23.59,5.00,48
5280.00,5400.00,H10E_3_2,43,1290.00,7.92,23.01,22.63,5.00,43
5400.00,5520.00,H10E_3_2,43,1290.00,8.60,21.73,21.17,5.00,44
5520.00,5640.00,H10E_3_2,46,1380.00,9.55,21.70,19.78,5.00,45
5640.00,5760.00,H10E_3_2,64,1920.00,13.83,20.91,19.29,5.00,64
5760.00,5880.00,H10E_3_2,58,1740.00,11.32,21.84,21.36,5.00,58
5880.00,6000.00,H10E_3_2,51,1530.00,10.55,22.01,20.14,5.00,51
6000.00,6120.00,H10E_3_2,29,870.00,47.31,19.57,16.55,5.00,30
6120.00,6240.00,H10E_3_2,2,60.00,89.90,6.96,5.33,5.00,2
6240.00,6360.00,H10E_3_2,21,630.00,7.71,18.04,11.35,5.00,21
6360.00,6480.00,H10E_3_2,20,600.00,4.97,23.22,16.78,5.00,20
6480.00,6600.00,H10E_3_2,53,1590.00,19.14,18.32,11.96,5.00,54
6600.00,6720.00,H10E_3_2,27,810.00,10.30,17.59,10.92,5.00,27
6720.00,6840.00,H10E_3_2,1,30.00,0.15,28.66,28.66,5.00,1
6840.00,6960.00,H10E_3_2,16,480.00,2.83,24.39,23.56,5.00,16
6960.00,7080.00,H10E_3_2,41,1230.00,9.91,19.17,17.71,5.00,42
7080.00,7200.00,H10E_3_2,36,1080.00,7.70,21.98,20.21,5.00,37
