begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H25S_2_3,2,60.00,0.24,35.29,35.20,5.00,2
120.00,240.00,H25S_2_3,41,1230.00,7.02,27.51,24.45,5.00,42
240.00,360.00,H25S_2_3,62,1860.00,10.10,25.77,25.57,5.00,62
360.00,480.00,H25S_2_3,67,2010.00,10.86,25.84,25.71,5.00,67
480.00,600.00,H25S_2_3,72,2160.00,13.34,22.90,22.50,5.00,72
600.00,720.00,H25S_2_3,67,2010.00,14.14,20.71,19.75,5.00,67
720.00,840.00,H25S_2_3,72,2160.00,14.16,21.88,21.42,5.00,73
840.00,960.00,H25S_2_3,54,1620.00,27.37,11.67,8.27,5.00,55
960.00,1080.00,H25S_2_3,48,1440.00,33.47,6.67,5.98,5.00,48
1080.00,1200.00,H25S_2_3,56,1680.00,28.44,9.17,8.20,5.00,56
1200.00,1320.00,H25S_2_3,51,1530.00,30.39,8.60,6.99,5.00,51
1320.00,1440.00,H25S_2_3,30,900.00,45.54,4.01,2.75,5.00,31
1440.00,1560.00,H25S_2_3,41,1230.00,40.33,8.51,4.27,5.00,42
1560.00,1680.00,H25S_2_3,45,1350.00,35.10,6.78,5.30,5.00,44
1680.00,1800.00,H25S_2_3,45,1350.00,34.26,6.40,5.47,5.00,45
1800.00,1920.00,H25S_2_3,50,1500.00,31.89,8.24,6.53,5.00,50
1920.00,2040.00,H25S_2_3,27,810.00,45.82,5.96,2.46,5.00,27
2040.00,2160.00,H25S_2_3,17,510.00,54.03,2.19,1.36,5.00,18
2160.00,2280.00,H25S_2_3,17,510.00,69.88,6.24,0.99,5.00,16
2280.00,2400.00,H25S_2_3,41,1230.00,37.82,6.25,4.52,5.00,41
2400.00,2520.00,H25S_2_3,39,1170.00,37.69,6.12,4.31,5.00,39
2520.00,2640.00,H25S_2_3,41,1230.00,38.11,7.44,4.48,5.00,41
2640.00,2760.00,H25S_2_3,23,690.00,52.51,3.57,1.83,5.00,24
2760.00,2880.00,H25S_2_3,49,1470.00,32.72,8.06,6.22,5.00,48
2880.00,3000.00,H25S_2_3,33,990.00,40.63,4.93,3.38,5.00,33
3000.00,3120.00,H25S_2_3,28,840.00,49.43,3.19,2.36,5.00,28
3120.00,3240.00,H25S_2_3,41,1230.00,36.43,6.20,4.69,5.00,41
3240.00,3360.00,H25S_2_3,27,810.00,46.71,3.69,2.43,5.00,28
3360.00,3480.00,H25S_2_3,41,1230.00,38.55,5.33,4.38,5.00,40
3480.00,3600.00,H25S_2_3,29,870.00,45.04,4.37,2.68,5.00,29
3600.00,3720.00,H25S_2_3,26,780.00,47.92,3.25,2.26,5.00,26
3720.00,3840.00,H25S_2_3,30,900.00,45.72,3.49,2.73,5.00,30
3840.00,3960.00,H25S_2_3,42,1260.00,36.38,7.31,4.81,5.00,42
3960.00,4080.00,H25S_2_3,33,990.00,42.63,5.06,3.48,5.00,34
4080.00,4200.00,H25S_2_3,41,1230.00,35.44,7.26,4.43,5.00,40
4200.00,4320.00,H25S_2_3,32,960.00,45.15,3.83,2.95,5.00,32
4320.00,4440.00,H25S_2_3,29,870.00,44.42,5.03,2.87,5.00,30
4440.00,4560.00,H25S_2_3,35,1050.00,41.77,4.62,3.31,5.00,34
4560.00,4680.00,H25S_2_3,32,960.00,45.70,3.53,2.92,5.00,32
4680.00,4800.00,H25S_2_3,43,1290.00,36.21,5.63,4.95,5.00,43
4800.00,4920.00,H25S_2_3,27,810.00,47.63,3.52,2.36,5.00,27
4920.00,5040.00,H25S_2_3,33,990.00,43.83,3.76,3.14,5.00,33
5040.00,5160.00,H25S_2_3,38,1140.00,40.92,4.74,3.87,5.00,38
5160.00,5280.00,H25S_2_3,21,630.00,42.77,3.71,2.64,5.00,22
5280.00,5400.00,H25S_2_3,30,900.00,46.57,4.14,2.23,5.00,29
5400.00,5520.00,H25S_2_3,48,1440.00,32.71,7.65,6.11,5.00,48
5520.00,5640.00,H25S_2_3,35,1050.00,41.12,7.08,3.55,5.00,35
5640.00,5760.00,H25S_2_3,27,810.00,47.29,3.11,2.38,5.00,27
5760.00,5880.00,H25S_2_3,48,1440.00,33.36,6.71,5.99,5.00,48
5880.00,6000.00,H25S_2_3,31,930.00,44.09,4.19,2.93,5.00,31
6000.00,6120.00,H25S_2_3,44,1320.00,35.78,6.94,5.18,5.00,45
6120.00,6240.00,H25S_2_3,34,1020.00,44.73,4.72,3.14,5.00,33
6240.00,6360.00,H25S_2_3,41,1230.00,37.37,6.08,4.57,5.00,41
6360.00,6480.00,H25S_2_3,36,1080.00,40.59,4.25,3.74,5.00,37
6480.00,6600.00,H25S_2_3,46,1380.00,35.72,7.78,5.29,5.00,45
6600.00,6720.00,H25S_2_3,52,1560.00,31.14,7.58,7.12,5.00,53
6720.00,6840.00,H25S_2_3,40,1200.00,38.87,5.43,4.21,5.00,39
6840.00,6960.00,H25S_2_3,50,1500.00,30.99,8.86,6.72,5.00,50
6960.00,7080.00,H25S_2_3,36,1080.00,41.80,5.68,4.00,5.00,37
7080.00,7200.00,H25S_2_3,30,900.00,45.83,3.43,2.57,5.00,30
