begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H15N_1_4,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,240.00,H15N_1_4,15,450.00,2.11,29.75,29.66,5.00,15
240.00,360.00,H15N_1_4,50,1500.00,7.04,29.70,29.59,5.00,50
360.00,480.00,H15N_1_4,60,1800.00,8.62,29.05,29.01,5.00,60
480.00,600.00,H15N_1_4,52,1560.00,7.47,29.19,29.02,5.00,52
600.00,720.00,H15N_1_4,56,1680.00,7.98,29.31,29.24,5.00,56
720.00,840.00,H15N_1_4,52,1560.00,7.48,29.04,28.97,5.00,52
840.00,960.00,H15N_1_4,63,1890.00,8.94,29.43,29.36,5.00,63
960.00,1080.00,H15N_1_4,56,1680.00,7.97,29.32,29.28,5.00,56
1080.00,1200.00,H15N_1_4,60,1800.00,8.92,28.11,28.03,5.00,60
1200.00,1320.00,H15N_1_4,51,1530.00,7.92,27.04,26.82,5.00,51
1320.00,1440.00,H15N_1_4,55,1650.00,7.81,29.40,29.35,5.00,55
1440.00,1560.00,H15N_1_4,56,1680.00,8.23,28.87,28.79,5.00,57
1560.00,1680.00,H15N_1_4,54,1620.00,7.45,29.78,29.72,5.00,53
1680.00,1800.00,H15N_1_4,51,1530.00,7.14,29.79,29.74,5.00,51
1800.00,1920.00,H15N_1_4,61,1830.00,8.67,29.40,29.33,5.00,61
1920.00,2040.00,H15N_1_4,55,1650.00,7.74,29.73,29.62,5.00,55
2040.00,2160.00,H15N_1_4,48,1440.00,6.97,28.80,28.69,5.00,48
2160.00,2280.00,H15N_1_4,57,1710.00,8.33,28.77,28.74,5.00,58
2280.00,2400.00,H15N_1_4,57,1710.00,8.82,28.97,26.70,5.00,56
2400.00,2520.00,H15N_1_4,58,1740.00,8.53,28.41,28.34,5.00,58
2520.00,2640.00,H15N_1_4,57,1710.00,8.27,28.83,28.73,5.00,57
2640.00,2760.00,H15N_1_4,53,1590.00,7.34,30.14,30.08,5.00,53
2760.00,2880.00,H15N_1_4,47,1410.00,6.88,28.89,28.77,5.00,48
2880.00,3000.00,H15N_1_4,59,1770.00,8.40,29.09,29.00,5.00,58
3000.00,3120.00,H15N_1_4,57,1710.00,8.16,29.35,29.27,5.00,58
3120.00,3240.00,H15N_1_4,52,1560.00,7.53,29.28,29.18,5.00,53
3240.00,3360.00,H15N_1_4,53,1590.00,7.61,29.06,29.01,5.00,53
3360.00,3480.00,H15N_1_4,54,1620.00,7.60,29.68,29.62,5.00,54
3480.00,3600.00,H15N_1_4,53,1590.00,7.52,29.46,29.43,5.00,54
3600.00,3720.00,H15N_1_4,52,1560.00,7.34,29.49,29.43,5.00,51
3720.00,3840.00,H15N_1_4,52,1560.00,7.35,29.52,29.48,5.00,52
3840.00,3960.00,H15N_1_4,61,1830.00,8.54,29.80,29.78,5.00,61
3960.00,4080.00,H15N_1_4,49,1470.00,7.14,28.67,28.61,5.00,49
4080.00,4200.00,H15N_1_4,60,1800.00,9.47,28.89,26.69,5.00,61
4200.00,4320.00,H15N_1_4,56,1680.00,8.13,28.75,28.71,5.00,56
4320.00,4440.00,H15N_1_4,61,1830.00,8.92,28.59,28.50,5.00,61
4440.00,4560.00,H15N_1_4,56,1680.00,7.92,29.61,29.46,5.00,56
4560.00,4680.00,H15N_1_4,53,1590.00,7.56,29.25,29.19,5.00,53
4680.00,4800.00,H15N_1_4,45,1350.00,6.46,29.63,29.55,5.00,46
4800.00,4920.00,H15N_1_4,57,1710.00,8.50,28.20,27.96,5.00,57
4920.00,5040.00,H15N_1_4,59,1770.00,8.40,29.38,29.26,5.00,59
5040.00,5160.00,H15N_1_4,52,1560.00,7.59,28.61,28.55,5.00,52
5160.00,5280.00,H15N_1_4,44,1320.00,6.19,29.70,29.63,5.00,44
5280.00,5400.00,H15N_1_4,59,1770.00,8.54,28.85,28.80,5.00,59
5400.00,5520.00,H15N_1_4,51,1530.00,7.10,30.02,29.94,5.00,51
5520.00,5640.00,H15N_1_4,48,1440.00,7.07,28.39,28.30,5.00,48
5640.00,5760.00,H15N_1_4,53,1590.00,7.67,28.89,28.78,5.00,53
5760.00,5880.00,H15N_1_4,55,1650.00,8.15,28.17,28.12,5.00,55
5880.00,6000.00,H15N_1_4,55,1650.00,7.73,29.67,29.63,5.00,55
6000.00,6120.00,H15N_1_4,53,1590.00,7.61,29.08,29.01,5.00,53
6120.00,6240.00,H15N_1_4,57,1710.00,8.30,28.77,28.61,5.00,57
6240.00,6360.00,H15N_1_4,54,1620.00,7.78,28.95,28.91,5.00,54
6360.00,6480.00,H15N_1_4,53,1590.00,7.45,29.72,29.66,5.00,53
6480.00,6600.00,H15N_1_4,47,1410.00,6.64,29.56,29.51,5.00,47
6600.00,6720.00,H15N_1_4,53,1590.00,7.61,29.30,29.26,5.00,54
6720.00,6840.00,H15N_1_4,53,1590.00,7.62,29.03,28.98,5.00,53
6840.00,6960.00,H15N_1_4,52,1560.00,7.42,29.28,29.21,5.00,52
6960.00,7080.00,H15N_1_4,53,1590.00,7.70,28.75,28.67,5.00,53
7080.00,7200.00,H15N_1_4,52,1560.00,7.56,28.89,28.80,5.00,53
