begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_2_4,1,30.00,0.12,35.19,35.19,5.00,1
120.00,240.00,H10E_2_4,20,600.00,2.99,28.13,27.89,5.00,20
240.00,360.00,H10E_2_4,51,1530.00,7.55,28.34,28.13,5.00,51
360.00,480.00,H10E_2_4,47,1410.00,7.15,27.61,27.39,5.00,47
480.00,600.00,H10E_2_4,45,1350.00,7.45,27.85,25.15,5.00,45
600.00,720.00,H10E_2_4,46,1380.00,7.62,27.56,25.27,5.00,47
720.00,840.00,H10E_2_4,53,1590.00,8.04,27.98,27.82,5.00,54
840.00,960.00,H10E_2_4,64,1920.00,10.36,27.55,25.74,5.00,64
960.00,1080.00,H10E_2_4,55,1650.00,9.60,25.10,24.38,5.00,57
1080.00,1200.00,H10E_2_4,50,1500.00,7.87,26.87,26.47,5.00,50
1200.00,1320.00,H10E_2_4,45,1350.00,6.68,28.79,28.58,5.00,47
1320.00,1440.00,H10E_2_4,57,1710.00,9.77,26.14,24.32,5.00,57
1440.00,1560.00,H10E_2_4,55,1650.00,8.76,26.86,26.16,5.00,55
1560.00,1680.00,H10E_2_4,45,1350.00,6.85,27.66,27.37,5.00,45
1680.00,1800.00,H10E_2_4,55,1650.00,8.98,28.10,25.79,5.00,56
1800.00,1920.00,H10E_2_4,55,1650.00,8.04,28.37,28.18,5.00,54
1920.00,2040.00,H10E_2_4,55,1650.00,8.51,27.33,26.94,5.00,55
2040.00,2160.00,H10E_2_4,60,1800.00,10.01,25.78,25.27,5.00,61
2160.00,2280.00,H10E_2_4,36,1080.00,5.99,26.92,26.62,5.00,40
2280.00,2400.00,H10E_2_4,45,1350.00,6.49,28.78,28.59,5.00,45
2400.00,2520.00,H10E_2_4,46,1380.00,8.54,27.07,22.45,5.00,46
2520.00,2640.00,H10E_2_4,47,1410.00,7.70,28.19,25.44,5.00,47
2640.00,2760.00,H10E_2_4,44,1320.00,7.61,26.85,24.41,5.00,45
2760.00,2880.00,H10E_2_4,37,1110.00,5.41,29.12,29.03,5.00,38
2880.00,3000.00,H10E_2_4,40,1200.00,5.81,28.78,28.68,5.00,40
3000.00,3120.00,H10E_2_4,44,1320.00,6.31,29.18,29.06,5.00,44
3120.00,3240.00,H10E_2_4,39,1170.00,5.55,29.37,29.30,5.00,39
3240.00,3360.00,H10E_2_4,41,1230.00,6.98,27.43,24.47,5.00,41
3360.00,3480.00,H10E_2_4,40,1200.00,5.82,28.72,28.62,5.00,40
3480.00,3600.00,H10E_2_4,43,1290.00,6.61,28.52,28.24,5.00,45
3600.00,3720.00,H10E_2_4,47,1410.00,7.67,28.16,25.54,5.00,47
3720.00,3840.00,H10E_2_4,46,1380.00,6.89,28.01,27.82,5.00,46
3840.00,3960.00,H10E_2_4,39,1170.00,6.71,27.74,24.69,5.00,40
3960.00,4080.00,H10E_2_4,53,1590.00,9.50,27.08,23.44,5.00,54
4080.00,4200.00,H10E_2_4,38,1140.00,5.68,28.03,27.87,5.00,38
4200.00,4320.00,H10E_2_4,45,1350.00,7.58,25.87,25.34,5.00,47
4320.00,4440.00,H10E_2_4,40,1200.00,6.08,27.59,27.40,5.00,40
4440.00,4560.00,H10E_2_4,40,1200.00,5.81,28.81,28.68,5.00,40
4560.00,4680.00,H10E_2_4,48,1440.00,7.18,28.14,27.84,5.00,48
4680.00,4800.00,H10E_2_4,41,1230.00,6.11,28.47,28.31,5.00,42
4800.00,4920.00,H10E_2_4,36,1080.00,5.30,29.12,29.02,5.00,37
4920.00,5040.00,H10E_2_4,34,1020.00,5.78,28.48,25.29,5.00,36
5040.00,5160.00,H10E_2_4,44,1320.00,6.37,28.87,28.79,5.00,44
5160.00,5280.00,H10E_2_4,47,1410.00,7.00,28.65,28.49,5.00,48
5280.00,5400.00,H10E_2_4,47,1410.00,7.50,28.41,26.11,5.00,47
5400.00,5520.00,H10E_2_4,36,1080.00,5.91,28.40,25.37,5.00,36
5520.00,5640.00,H10E_2_4,48,1440.00,7.16,28.16,27.95,5.00,48
5640.00,5760.00,H10E_2_4,44,1320.00,6.63,27.99,27.76,5.00,45
5760.00,5880.00,H10E_2_4,44,1320.00,6.63,27.80,27.63,5.00,44
5880.00,6000.00,H10E_2_4,42,1260.00,6.40,27.66,27.36,5.00,42
6000.00,6120.00,H10E_2_4,39,1170.00,5.89,28.16,27.97,5.00,40
6120.00,6240.00,H10E_2_4,40,1200.00,5.73,29.28,29.17,5.00,41
6240.00,6360.00,H10E_2_4,39,1170.00,5.61,28.98,28.90,5.00,38
6360.00,6480.00,H10E_2_4,46,1380.00,8.19,27.44,23.39,5.00,46
6480.00,6600.00,H10E_2_4,42,1260.00,6.20,28.73,28.63,5.00,43
6600.00,6720.00,H10E_2_4,49,1470.00,7.90,28.15,25.84,5.00,49
6720.00,6840.00,H10E_2_4,43,1290.00,6.18,29.09,28.98,5.00,43
6840.00,6960.00,H10E_2_4,48,1440.00,6.91,29.00,28.94,5.00,48
6960.00,7080.00,H10E_2_4,49,1470.00,7.46,27.73,27.38,5.00,49
7080.00,7200.00,H10E_2_4,51,1530.00,8.54,27.07,24.89,5.00,51
