begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H15N_1_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,240.00,H15N_1_3,15,450.00,2.15,29.17,29.11,5.00,15
240.00,360.00,H15N_1_3,49,1470.00,7.42,27.60,27.51,5.00,49
360.00,480.00,H15N_1_3,60,1800.00,9.82,27.13,25.45,5.00,60
480.00,600.00,H15N_1_3,50,1500.00,7.71,27.22,27.02,5.00,50
600.00,720.00,H15N_1_3,49,1470.00,7.50,27.37,27.23,5.00,49
720.00,840.00,H15N_1_3,50,1500.00,7.52,27.77,27.72,5.00,50
840.00,960.00,H15N_1_3,48,1440.00,7.30,27.45,27.39,5.00,48
960.00,1080.00,H15N_1_3,47,1410.00,7.08,27.79,27.66,5.00,47
1080.00,1200.00,H15N_1_3,54,1620.00,8.24,27.37,27.32,5.00,54
1200.00,1320.00,H15N_1_3,47,1410.00,7.60,25.87,25.77,5.00,47
1320.00,1440.00,H15N_1_3,51,1530.00,7.60,28.04,27.97,5.00,51
1440.00,1560.00,H15N_1_3,53,1590.00,8.99,26.75,24.57,5.00,53
1560.00,1680.00,H15N_1_3,54,1620.00,8.10,28.16,28.10,5.00,55
1680.00,1800.00,H15N_1_3,51,1530.00,7.60,28.03,27.97,5.00,51
1800.00,1920.00,H15N_1_3,49,1470.00,7.45,27.86,27.81,5.00,50
1920.00,2040.00,H15N_1_3,47,1410.00,7.26,27.08,26.96,5.00,47
2040.00,2160.00,H15N_1_3,53,1590.00,8.33,26.64,26.51,5.00,53
2160.00,2280.00,H15N_1_3,52,1560.00,7.91,27.46,27.40,5.00,52
2280.00,2400.00,H15N_1_3,50,1500.00,7.79,26.87,26.75,5.00,50
2400.00,2520.00,H15N_1_3,51,1530.00,7.84,27.15,27.11,5.00,51
2520.00,2640.00,H15N_1_3,52,1560.00,8.67,27.20,24.98,5.00,52
2640.00,2760.00,H15N_1_3,52,1560.00,8.05,27.02,26.92,5.00,52
2760.00,2880.00,H15N_1_3,52,1560.00,7.99,27.24,27.14,5.00,53
2880.00,3000.00,H15N_1_3,51,1530.00,7.81,27.24,27.18,5.00,50
3000.00,3120.00,H15N_1_3,49,1470.00,7.22,28.33,28.29,5.00,49
3120.00,3240.00,H15N_1_3,47,1410.00,6.95,28.25,28.19,5.00,47
3240.00,3360.00,H15N_1_3,45,1350.00,6.70,28.05,27.99,5.00,45
3360.00,3480.00,H15N_1_3,57,1710.00,8.75,27.28,27.13,5.00,57
3480.00,3600.00,H15N_1_3,48,1440.00,7.34,27.31,27.26,5.00,48
3600.00,3720.00,H15N_1_3,51,1530.00,8.66,26.57,24.55,5.00,51
3720.00,3840.00,H15N_1_3,49,1470.00,7.49,27.53,27.46,5.00,50
3840.00,3960.00,H15N_1_3,56,1680.00,8.48,27.47,27.35,5.00,55
3960.00,4080.00,H15N_1_3,46,1380.00,7.01,27.47,27.33,5.00,46
4080.00,4200.00,H15N_1_3,49,1470.00,8.10,25.82,25.58,5.00,51
4200.00,4320.00,H15N_1_3,45,1350.00,6.90,27.25,27.19,5.00,45
4320.00,4440.00,H15N_1_3,54,1620.00,8.59,26.36,26.19,5.00,54
4440.00,4560.00,H15N_1_3,50,1500.00,7.86,27.00,26.88,5.00,51
4560.00,4680.00,H15N_1_3,51,1530.00,8.63,26.54,24.74,5.00,51
4680.00,4800.00,H15N_1_3,52,1560.00,7.83,27.73,27.69,5.00,53
4800.00,4920.00,H15N_1_3,54,1620.00,8.21,27.60,27.40,5.00,53
4920.00,5040.00,H15N_1_3,46,1380.00,7.34,26.19,26.10,5.00,46
5040.00,5160.00,H15N_1_3,51,1530.00,7.96,26.96,26.87,5.00,52
5160.00,5280.00,H15N_1_3,51,1530.00,7.70,27.76,27.65,5.00,52
5280.00,5400.00,H15N_1_3,46,1380.00,7.37,26.91,26.81,5.00,47
5400.00,5520.00,H15N_1_3,52,1560.00,7.99,27.21,27.13,5.00,52
5520.00,5640.00,H15N_1_3,52,1560.00,7.74,28.04,27.98,5.00,52
5640.00,5760.00,H15N_1_3,49,1470.00,7.56,27.18,26.99,5.00,49
5760.00,5880.00,H15N_1_3,47,1410.00,7.28,26.98,26.88,5.00,47
5880.00,6000.00,H15N_1_3,51,1530.00,8.21,26.10,25.88,5.00,51
6000.00,6120.00,H15N_1_3,57,1710.00,8.91,26.80,26.67,5.00,57
6120.00,6240.00,H15N_1_3,46,1380.00,7.10,27.16,26.99,5.00,46
6240.00,6360.00,H15N_1_3,49,1470.00,8.69,25.58,23.50,5.00,49
6360.00,6480.00,H15N_1_3,45,1350.00,6.96,27.18,26.94,5.00,45
6480.00,6600.00,H15N_1_3,51,1530.00,7.93,26.83,26.80,5.00,51
6600.00,6720.00,H15N_1_3,47,1410.00,7.10,27.63,27.57,5.00,47
6720.00,6840.00,H15N_1_3,61,1830.00,9.42,27.07,26.98,5.00,61
6840.00,6960.00,H15N_1_3,50,1500.00,7.94,26.34,26.25,5.00,50
6960.00,7080.00,H15N_1_3,48,1440.00,7.32,27.35,27.34,5.00,48
7080.00,7200.00,H15N_1_3,58,1740.00,9.07,26.81,26.63,5.00,58
