begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H25S_2_2,15,450.00,3.19,24.85,19.61,5.00,15
120.00,240.00,H25S_2_2,48,1440.00,11.04,22.68,19.18,5.00,49
240.00,360.00,H25S_2_2,68,2040.00,13.93,21.57,20.35,5.00,68
360.00,480.00,H25S_2_2,64,1920.00,14.08,21.43,18.94,5.00,64
480.00,600.00,H25S_2_2,66,1980.00,16.46,17.95,16.71,5.00,66
600.00,720.00,H25S_2_2,73,2190.00,19.18,16.35,15.86,5.00,73
720.00,840.00,H25S_2_2,56,1680.00,27.03,12.03,8.63,5.00,56
840.00,960.00,H25S_2_2,33,990.00,44.71,3.92,3.08,5.00,33
960.00,1080.00,H25S_2_2,39,1170.00,37.07,5.36,4.42,5.00,40
1080.00,1200.00,H25S_2_2,36,1080.00,43.22,4.85,3.70,5.00,36
1200.00,1320.00,H25S_2_2,33,990.00,43.78,3.54,2.94,5.00,32
1320.00,1440.00,H25S_2_2,26,780.00,46.99,3.14,2.45,5.00,27
1440.00,1560.00,H25S_2_2,34,1020.00,44.73,5.28,2.98,5.00,33
1560.00,1680.00,H25S_2_2,27,810.00,48.08,2.91,2.37,5.00,28
1680.00,1800.00,H25S_2_2,32,960.00,43.07,4.23,3.10,5.00,32
1800.00,1920.00,H25S_2_2,43,1290.00,38.51,5.03,4.57,5.00,42
1920.00,2040.00,H25S_2_2,17,510.00,55.42,2.43,1.28,5.00,17
2040.00,2160.00,H25S_2_2,15,450.00,53.21,1.80,1.17,5.00,15
2160.00,2280.00,H25S_2_2,23,690.00,50.30,4.80,1.91,5.00,23
2280.00,2400.00,H25S_2_2,43,1290.00,38.16,5.87,4.77,5.00,44
2400.00,2520.00,H25S_2_2,30,900.00,46.82,3.96,2.63,5.00,29
2520.00,2640.00,H25S_2_2,25,750.00,47.98,3.43,2.20,5.00,26
2640.00,2760.00,H25S_2_2,38,1140.00,42.42,4.30,3.70,5.00,38
2760.00,2880.00,H25S_2_2,27,810.00,48.80,3.55,2.29,5.00,26
2880.00,3000.00,H25S_2_2,25,750.00,49.34,3.37,2.11,5.00,25
3000.00,3120.00,H25S_2_2,44,1320.00,37.75,5.40,4.86,5.00,44
3120.00,3240.00,H25S_2_2,35,1050.00,41.22,4.79,3.54,5.00,35
3240.00,3360.00,H25S_2_2,29,870.00,44.99,3.55,2.69,5.00,29
3360.00,3480.00,H25S_2_2,41,1230.00,37.69,4.87,4.53,5.00,41
3480.00,3600.00,H25S_2_2,26,780.00,50.58,2.63,2.14,5.00,26
3600.00,3720.00,H25S_2_2,30,900.00,40.69,7.31,3.07,5.00,30
3720.00,3840.00,H25S_2_2,42,1260.00,37.17,5.53,4.71,5.00,42
3840.00,3960.00,H25S_2_2,27,810.00,46.94,3.46,2.51,5.00,28
3960.00,4080.00,H25S_2_2,26,780.00,51.73,3.18,2.01,5.00,25
4080.00,4200.00,H25S_2_2,47,1410.00,35.33,7.92,5.54,5.00,47
4200.00,4320.00,H25S_2_2,38,1140.00,41.95,5.69,4.41,5.00,39
4320.00,4440.00,H25S_2_2,27,810.00,46.40,2.97,2.15,5.00,26
4440.00,4560.00,H25S_2_2,46,1380.00,35.75,5.85,5.36,5.00,46
4560.00,4680.00,H25S_2_2,36,1080.00,40.17,5.11,3.75,5.00,37
4680.00,4800.00,H25S_2_2,38,1140.00,42.59,5.56,3.71,5.00,37
4800.00,4920.00,H25S_2_2,35,1050.00,39.83,4.35,3.69,5.00,36
4920.00,5040.00,H25S_2_2,34,1020.00,43.58,4.84,3.23,5.00,33
5040.00,5160.00,H25S_2_2,40,1200.00,39.17,4.91,4.26,5.00,40
5160.00,5280.00,H25S_2_2,42,1260.00,37.26,5.08,4.70,5.00,42
5280.00,5400.00,H25S_2_2,46,1380.00,36.42,6.72,5.26,5.00,46
5400.00,5520.00,H25S_2_2,41,1230.00,37.73,5.18,4.53,5.00,41
5520.00,5640.00,H25S_2_2,37,1110.00,43.15,4.33,3.77,5.00,38
5640.00,5760.00,H25S_2_2,42,1260.00,38.08,5.75,4.38,5.00,42
5760.00,5880.00,H25S_2_2,36,1080.00,42.13,4.60,3.71,5.00,36
5880.00,6000.00,H25S_2_2,46,1380.00,33.67,6.71,5.36,5.00,46
6000.00,6120.00,H25S_2_2,36,1080.00,41.07,4.01,3.76,5.00,36
6120.00,6240.00,H25S_2_2,36,1080.00,40.42,3.96,3.69,5.00,36
6240.00,6360.00,H25S_2_2,38,1140.00,40.39,4.60,3.83,5.00,37
6360.00,6480.00,H25S_2_2,44,1320.00,36.20,5.49,5.06,5.00,44
6480.00,6600.00,H25S_2_2,43,1290.00,38.69,5.50,4.63,5.00,43
6600.00,6720.00,H25S_2_2,41,1230.00,37.84,5.37,4.51,5.00,41
6720.00,6840.00,H25S_2_2,41,1230.00,38.61,4.86,4.44,5.00,42
6840.00,6960.00,H25S_2_2,38,1140.00,40.16,4.94,3.93,5.00,37
6960.00,7080.00,H25S_2_2,42,1260.00,38.76,5.14,4.57,5.00,43
7080.00,7200.00,H25S_2_2,39,1170.00,39.82,5.25,4.04,5.00,38
