begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_1_3,3,90.00,0.42,30.01,29.84,5.00,3
120.00,240.00,H10E_1_3,34,1020.00,5.19,27.36,27.29,5.00,34
240.00,360.00,H10E_1_3,45,1350.00,6.71,28.02,27.95,5.00,45
360.00,480.00,H10E_1_3,50,1500.00,7.57,27.61,27.53,5.00,50
480.00,600.00,H10E_1_3,45,1350.00,7.66,27.11,24.48,5.00,45
600.00,720.00,H10E_1_3,46,1380.00,6.95,27.72,27.59,5.00,46
720.00,840.00,H10E_1_3,39,1170.00,6.92,26.18,23.52,5.00,40
840.00,960.00,H10E_1_3,42,1260.00,6.55,27.34,27.26,5.00,42
960.00,1080.00,H10E_1_3,40,1200.00,5.96,28.08,27.97,5.00,40
1080.00,1200.00,H10E_1_3,42,1260.00,7.12,26.83,24.59,5.00,42
1200.00,1320.00,H10E_1_3,40,1200.00,6.01,28.05,27.72,5.00,40
1320.00,1440.00,H10E_1_3,44,1320.00,6.99,26.86,26.23,5.00,44
1440.00,1560.00,H10E_1_3,35,1050.00,5.21,28.02,27.96,5.00,35
1560.00,1680.00,H10E_1_3,42,1260.00,6.50,27.07,26.93,5.00,42
1680.00,1800.00,H10E_1_3,46,1380.00,7.08,27.58,27.48,5.00,47
1800.00,1920.00,H10E_1_3,43,1290.00,6.53,27.49,27.44,5.00,43
1920.00,2040.00,H10E_1_3,44,1320.00,6.70,27.77,27.69,5.00,45
2040.00,2160.00,H10E_1_3,40,1200.00,6.57,26.41,25.37,5.00,40
2160.00,2280.00,H10E_1_3,43,1290.00,6.59,27.30,27.19,5.00,43
2280.00,2400.00,H10E_1_3,34,1020.00,5.25,27.06,27.00,5.00,34
2400.00,2520.00,H10E_1_3,33,990.00,5.80,26.97,23.70,5.00,33
2520.00,2640.00,H10E_1_3,36,1080.00,5.48,27.50,27.39,5.00,36
2640.00,2760.00,H10E_1_3,54,1620.00,9.46,25.79,23.82,5.00,55
2760.00,2880.00,H10E_1_3,51,1530.00,10.35,22.27,20.53,5.00,51
2880.00,3000.00,H10E_1_3,51,1530.00,7.75,27.58,27.43,5.00,51
3000.00,3120.00,H10E_1_3,51,1530.00,11.04,22.02,19.24,5.00,51
3120.00,3240.00,H10E_1_3,54,1620.00,19.56,15.07,11.50,5.00,54
3240.00,3360.00,H10E_1_3,19,570.00,29.38,3.38,2.70,5.00,20
3360.00,3480.00,H10E_1_3,3,90.00,5.48,2.39,2.28,5.00,3
3480.00,3600.00,H10E_1_3,1,30.00,15.13,0.39,0.39,5.00,2
3600.00,3720.00,H10E_1_3,12,360.00,80.49,3.86,0.60,5.00,12
3720.00,3840.00,H10E_1_3,11,330.00,71.50,1.75,1.46,5.00,11
3840.00,3960.00,H10E_1_3,1,30.00,26.86,0.06,0.06,5.00,0
3960.00,4080.00,H10E_1_3,4,120.00,32.31,0.52,0.52,5.00,4
4080.00,4200.00,H10E_1_3,1,30.00,16.65,0.25,0.25,5.00,1
4200.00,4320.00,H10E_1_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
4320.00,4440.00,H10E_1_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
4440.00,4560.00,H10E_1_3,1,30.00,2.01,2.07,2.07,5.00,1
4560.00,4680.00,H10E_1_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
4680.00,4800.00,H10E_1_3,1,30.00,2.33,1.79,1.79,5.00,1
4800.00,4920.00,H10E_1_3,0,0.00,1.45,-1.00,-1.00,-1.00,1
4920.00,5040.00,H10E_1_3,6,180.00,32.10,2.05,0.75,5.00,5
5040.00,5160.00,H10E_1_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
5160.00,5280.00,H10E_1_3,2,60.00,4.39,1.96,1.90,5.00,2
5280.00,5400.00,H10E_1_3,2,60.00,59.41,0.85,0.43,5.00,3
5400.00,5520.00,H10E_1_3,0,0.00,100.00,-1.00,-1.00,-1.00,0
5520.00,5640.00,H10E_1_3,2,60.00,55.81,0.30,0.04,5.00,1
5640.00,5760.00,H10E_1_3,1,30.00,9.45,0.44,0.44,5.00,1
5760.00,5880.00,H10E_1_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
5880.00,6000.00,H10E_1_3,4,120.00,31.29,2.46,2.24,5.00,5
6000.00,6120.00,H10E_1_3,1,30.00,48.08,0.11,0.11,5.00,1
6120.00,6240.00,H10E_1_3,0,0.00,100.00,-1.00,-1.00,-1.00,0
6240.00,6360.00,H10E_1_3,1,30.00,95.18,0.02,0.02,5.00,1
6360.00,6480.00,H10E_1_3,0,0.00,100.00,-1.00,-1.00,-1.00,0
6480.00,6600.00,H10E_1_3,1,30.00,97.06,0.03,0.03,5.00,1
6600.00,6720.00,H10E_1_3,4,120.00,85.89,0.69,0.10,5.00,3
6720.00,6840.00,H10E_1_3,10,300.00,55.35,0.95,0.75,5.00,10
6840.00,6960.00,H10E_1_3,0,0.00,1.07,-1.00,-1.00,-1.00,1
6960.00,7080.00,H10E_1_3,0,0.00,100.00,-1.00,-1.00,-1.00,0
7080.00,7200.00,H10E_1_3,0,0.00,100.00,-1.00,-1.00,-1.00,0
