begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H15N_1_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,240.00,H15N_1_3,15,450.00,2.15,29.17,29.11,5.00,15
240.00,360.00,H15N_1_3,49,1470.00,7.42,27.60,27.51,5.00,49
360.00,480.00,H15N_1_3,60,1800.00,9.82,27.13,25.45,5.00,60
480.00,600.00,H15N_1_3,50,1500.00,7.71,27.22,27.02,5.00,50
600.00,720.00,H15N_1_3,49,1470.00,7.56,27.27,27.00,5.00,49
720.00,840.00,H15N_1_3,48,1440.00,7.43,27.00,26.90,5.00,48
840.00,960.00,H15N_1_3,52,1560.00,7.81,27.84,27.73,5.00,52
960.00,1080.00,H15N_1_3,47,1410.00,7.10,27.66,27.57,5.00,47
1080.00,1200.00,H15N_1_3,53,1590.00,8.35,26.55,26.45,5.00,53
1200.00,1320.00,H15N_1_3,49,1470.00,7.69,26.66,26.53,5.00,49
1320.00,1440.00,H15N_1_3,57,1710.00,9.11,26.23,26.08,5.00,57
1440.00,1560.00,H15N_1_3,47,1410.00,7.26,27.06,26.99,5.00,47
1560.00,1680.00,H15N_1_3,50,1500.00,7.63,27.45,27.32,5.00,50
1680.00,1800.00,H15N_1_3,48,1440.00,8.05,26.98,24.86,5.00,48
1800.00,1920.00,H15N_1_3,50,1500.00,7.50,27.83,27.77,5.00,50
1920.00,2040.00,H15N_1_3,53,1590.00,8.02,27.59,27.53,5.00,53
2040.00,2160.00,H15N_1_3,52,1560.00,8.14,26.70,26.62,5.00,52
2160.00,2280.00,H15N_1_3,51,1530.00,8.46,27.44,25.12,5.00,51
2280.00,2400.00,H15N_1_3,56,1680.00,8.45,27.86,27.81,5.00,57
2400.00,2520.00,H15N_1_3,57,1710.00,9.53,26.73,24.76,5.00,56
2520.00,2640.00,H15N_1_3,50,1500.00,8.51,26.49,24.49,5.00,50
2640.00,2760.00,H15N_1_3,54,1620.00,8.25,27.32,27.27,5.00,54
2760.00,2880.00,H15N_1_3,41,1230.00,6.07,28.19,28.13,5.00,41
2880.00,3000.00,H15N_1_3,50,1500.00,7.83,26.79,26.60,5.00,50
3000.00,3120.00,H15N_1_3,57,1710.00,8.67,27.47,27.40,5.00,57
3120.00,3240.00,H15N_1_3,45,1350.00,6.88,27.40,27.24,5.00,45
3240.00,3360.00,H15N_1_3,56,1680.00,8.45,27.67,27.62,5.00,56
3360.00,3480.00,H15N_1_3,51,1530.00,7.69,27.71,27.63,5.00,51
3480.00,3600.00,H15N_1_3,46,1380.00,7.12,27.04,26.93,5.00,46
3600.00,3720.00,H15N_1_3,53,1590.00,8.20,27.05,26.93,5.00,53
3720.00,3840.00,H15N_1_3,46,1380.00,7.01,27.58,27.41,5.00,47
3840.00,3960.00,H15N_1_3,55,1650.00,10.05,23.86,22.80,5.00,55
3960.00,4080.00,H15N_1_3,47,1410.00,8.03,24.83,24.40,5.00,47
4080.00,4200.00,H15N_1_3,45,1350.00,7.02,26.95,26.73,5.00,46
4200.00,4320.00,H15N_1_3,56,1680.00,9.41,25.13,24.79,5.00,55
4320.00,4440.00,H15N_1_3,47,1410.00,8.26,25.77,23.75,5.00,48
4440.00,4560.00,H15N_1_3,55,1650.00,8.47,27.18,27.05,5.00,55
4560.00,4680.00,H15N_1_3,57,1710.00,9.97,26.99,23.82,5.00,57
4680.00,4800.00,H15N_1_3,54,1620.00,8.70,26.20,25.86,5.00,54
4800.00,4920.00,H15N_1_3,34,1020.00,35.52,8.32,4.10,5.00,35
4920.00,5040.00,H15N_1_3,26,780.00,48.41,3.15,2.20,5.00,26
5040.00,5160.00,H15N_1_3,22,660.00,49.90,2.84,1.86,5.00,22
5160.00,5280.00,H15N_1_3,20,600.00,53.48,1.91,1.54,5.00,19
5280.00,5400.00,H15N_1_3,16,480.00,45.82,2.40,1.46,5.00,16
5400.00,5520.00,H15N_1_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
5520.00,5640.00,H15N_1_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
5640.00,5760.00,H15N_1_3,4,120.00,39.72,0.43,0.42,5.00,4
5760.00,5880.00,H15N_1_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
5880.00,6000.00,H15N_1_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
6000.00,6120.00,H15N_1_3,1,30.00,19.68,0.21,0.21,5.00,1
6120.00,6240.00,H15N_1_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
6240.00,6360.00,H15N_1_3,2,60.00,24.76,0.49,0.35,5.00,3
6360.00,6480.00,H15N_1_3,13,390.00,60.38,1.43,0.96,5.00,13
6480.00,6600.00,H15N_1_3,2,60.00,92.74,0.68,0.68,5.00,2
6600.00,6720.00,H15N_1_3,1,30.00,90.09,0.03,0.03,5.00,1
6720.00,6840.00,H15N_1_3,0,0.00,100.00,-1.00,-1.00,-1.00,0
6840.00,6960.00,H15N_1_3,4,120.00,84.34,0.59,0.08,5.00,3
6960.00,7080.00,H15N_1_3,15,450.00,52.77,2.13,1.18,5.00,15
7080.00,7200.00,H15N_1_3,6,180.00,53.11,0.67,0.50,5.00,7
