begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H25S_2_2,15,450.00,3.19,24.85,19.61,5.00,15
120.00,240.00,H25S_2_2,48,1440.00,11.04,22.68,19.18,5.00,49
240.00,360.00,H25S_2_2,68,2040.00,13.93,21.57,20.35,5.00,68
360.00,480.00,H25S_2_2,64,1920.00,14.08,21.43,18.94,5.00,64
480.00,600.00,H25S_2_2,66,1980.00,16.46,17.95,16.71,5.00,66
600.00,720.00,H25S_2_2,71,2130.00,19.98,16.82,14.80,5.00,71
720.00,840.00,H25S_2_2,54,1620.00,31.90,10.29,7.05,5.00,54
840.00,960.00,H25S_2_2,25,750.00,48.68,2.89,2.15,5.00,26
960.00,1080.00,H25S_2_2,33,990.00,43.42,4.92,3.15,5.00,32
1080.00,1200.00,H25S_2_2,34,1020.00,37.96,5.43,3.73,5.00,34
1200.00,1320.00,H25S_2_2,30,900.00,48.50,3.56,2.58,5.00,30
1320.00,1440.00,H25S_2_2,40,1200.00,39.84,4.88,4.18,5.00,40
1440.00,1560.00,H25S_2_2,29,870.00,49.08,4.11,3.04,5.00,30
1560.00,1680.00,H25S_2_2,18,540.00,48.26,3.66,1.30,5.00,17
1680.00,1800.00,H25S_2_2,23,690.00,49.13,2.59,1.97,5.00,24
1800.00,1920.00,H25S_2_2,17,510.00,59.43,2.58,1.18,5.00,16
1920.00,2040.00,H25S_2_2,38,1140.00,41.72,4.88,3.80,5.00,38
2040.00,2160.00,H25S_2_2,24,720.00,50.55,2.83,1.98,5.00,24
2160.00,2280.00,H25S_2_2,29,870.00,43.18,3.94,2.85,5.00,30
2280.00,2400.00,H25S_2_2,19,570.00,52.93,1.61,1.47,5.00,18
2400.00,2520.00,H25S_2_2,50,1500.00,31.80,7.36,6.58,5.00,51
2520.00,2640.00,H25S_2_2,33,990.00,44.28,4.15,3.09,5.00,32
2640.00,2760.00,H25S_2_2,36,1080.00,40.83,4.41,3.76,5.00,37
2760.00,2880.00,H25S_2_2,27,810.00,47.22,3.38,2.44,5.00,27
2880.00,3000.00,H25S_2_2,8,240.00,46.79,0.91,0.70,5.00,8
3000.00,3120.00,H25S_2_2,32,960.00,43.23,4.20,3.00,5.00,31
3120.00,3240.00,H25S_2_2,16,480.00,58.87,2.84,1.59,5.00,17
3240.00,3360.00,H25S_2_2,43,1290.00,40.33,8.48,3.27,5.00,43
3360.00,3480.00,H25S_2_2,19,570.00,61.38,2.69,1.24,5.00,18
3480.00,3600.00,H25S_2_2,31,930.00,34.73,5.13,3.72,5.00,31
3600.00,3720.00,H25S_2_2,29,870.00,46.03,3.47,2.81,5.00,30
3720.00,3840.00,H25S_2_2,28,840.00,46.83,3.40,2.34,5.00,27
3840.00,3960.00,H25S_2_2,26,780.00,47.22,3.05,2.29,5.00,26
3960.00,4080.00,H25S_2_2,10,300.00,51.61,2.22,0.81,5.00,10
4080.00,4200.00,H25S_2_2,46,1380.00,34.68,6.39,5.54,5.00,47
4200.00,4320.00,H25S_2_2,30,900.00,43.62,3.42,2.87,5.00,30
4320.00,4440.00,H25S_2_2,20,600.00,53.40,2.26,1.56,5.00,20
4440.00,4560.00,H25S_2_2,15,450.00,56.76,1.69,1.29,5.00,16
4560.00,4680.00,H25S_2_2,37,1110.00,39.71,5.33,3.20,5.00,36
4680.00,4800.00,H25S_2_2,12,360.00,57.56,1.46,0.98,5.00,14
4800.00,4920.00,H25S_2_2,16,480.00,64.18,3.09,0.96,5.00,15
4920.00,5040.00,H25S_2_2,33,990.00,43.05,4.04,3.20,5.00,34
5040.00,5160.00,H25S_2_2,22,660.00,43.96,3.70,2.08,5.00,21
5160.00,5280.00,H25S_2_2,26,780.00,44.61,3.40,2.44,5.00,27
5280.00,5400.00,H25S_2_2,35,1050.00,42.80,4.11,3.38,5.00,34
5400.00,5520.00,H25S_2_2,23,690.00,49.97,2.87,1.95,5.00,24
5520.00,5640.00,H25S_2_2,38,1140.00,41.34,5.07,3.75,5.00,37
5640.00,5760.00,H25S_2_2,19,570.00,50.85,3.69,1.58,5.00,20
5760.00,5880.00,H25S_2_2,31,930.00,44.42,4.03,3.20,5.00,31
5880.00,6000.00,H25S_2_2,30,900.00,44.81,3.07,2.53,5.00,30
6000.00,6120.00,H25S_2_2,17,510.00,55.48,1.67,1.27,5.00,16
6120.00,6240.00,H25S_2_2,15,450.00,60.23,1.70,1.08,5.00,16
6240.00,6360.00,H25S_2_2,17,510.00,54.10,2.00,1.26,5.00,16
6360.00,6480.00,H25S_2_2,19,570.00,66.54,4.60,2.73,5.00,20
6480.00,6600.00,H25S_2_2,11,330.00,64.99,7.42,0.55,5.00,11
6600.00,6720.00,H25S_2_2,0,0.00,100.00,-1.00,-1.00,-1.00,0
6720.00,6840.00,H25S_2_2,0,0.00,100.00,-1.00,-1.00,-1.00,0
6840.00,6960.00,H25S_2_2,0,0.00,100.00,-1.00,-1.00,-1.00,0
6960.00,7080.00,H25S_2_2,0,0.00,100.00,-1.00,-1.00,-1.00,0
7080.00,7200.00,H25S_2_2,1,30.00,97.95,0.01,0.01,5.00,0
