begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_2_3,5,150.00,0.64,32.70,32.63,5.00,5
120.00,240.00,H10E_2_3,40,1200.00,5.89,28.45,28.30,5.00,40
240.00,360.00,H10E_2_3,56,1680.00,11.27,24.99,20.69,5.00,56
360.00,480.00,H10E_2_3,53,1590.00,8.91,25.04,24.79,5.00,53
480.00,600.00,H10E_2_3,55,1650.00,13.60,19.89,16.85,5.00,55
600.00,720.00,H10E_2_3,55,1650.00,10.75,23.27,21.31,5.00,55
720.00,840.00,H10E_2_3,63,1890.00,12.55,23.48,20.91,5.00,63
840.00,960.00,H10E_2_3,58,1740.00,11.58,23.84,20.92,5.00,59
960.00,1080.00,H10E_2_3,55,1650.00,21.15,15.65,10.92,5.00,56
1080.00,1200.00,H10E_2_3,60,1800.00,14.80,21.94,16.71,5.00,59
1200.00,1320.00,H10E_2_3,46,1380.00,34.32,6.21,5.59,5.00,46
1320.00,1440.00,H10E_2_3,66,1980.00,20.74,14.42,13.26,5.00,66
1440.00,1560.00,H10E_2_3,28,840.00,35.56,6.07,3.28,5.00,28
1560.00,1680.00,H10E_2_3,64,1920.00,22.26,12.85,11.98,5.00,64
1680.00,1800.00,H10E_2_3,70,2100.00,16.57,17.83,17.60,5.00,70
1800.00,1920.00,H10E_2_3,59,1770.00,18.37,16.32,13.38,5.00,59
1920.00,2040.00,H10E_2_3,56,1680.00,9.41,25.37,25.14,5.00,57
2040.00,2160.00,H10E_2_3,53,1590.00,11.46,23.27,19.44,5.00,54
2160.00,2280.00,H10E_2_3,40,1200.00,25.08,11.64,6.65,5.00,40
2280.00,2400.00,H10E_2_3,58,1740.00,16.95,17.73,14.25,5.00,58
2400.00,2520.00,H10E_2_3,54,1620.00,9.50,25.30,23.67,5.00,54
2520.00,2640.00,H10E_2_3,50,1500.00,10.29,22.76,20.46,5.00,51
2640.00,2760.00,H10E_2_3,15,450.00,67.79,5.54,2.02,5.00,17
2760.00,2880.00,H10E_2_3,15,450.00,75.50,6.75,5.04,5.00,17
2880.00,3000.00,H10E_2_3,12,360.00,68.56,13.14,6.71,5.00,12
3000.00,3120.00,H10E_2_3,2,60.00,93.39,2.39,0.94,5.00,3
3120.00,3240.00,H10E_2_3,34,1020.00,33.81,13.55,3.33,5.00,33
3240.00,3360.00,H10E_2_3,3,90.00,8.63,1.46,1.45,5.00,3
3360.00,3480.00,H10E_2_3,8,240.00,24.41,4.15,1.81,5.00,9
3480.00,3600.00,H10E_2_3,3,90.00,68.70,2.50,0.17,5.00,2
3600.00,3720.00,H10E_2_3,1,30.00,1.81,3.36,3.36,5.00,3
3720.00,3840.00,H10E_2_3,40,1200.00,31.99,9.13,5.67,5.00,41
3840.00,3960.00,H10E_2_3,47,1410.00,31.79,8.16,5.70,5.00,46
3960.00,4080.00,H10E_2_3,12,360.00,20.28,5.68,2.82,5.00,13
4080.00,4200.00,H10E_2_3,42,1260.00,31.93,9.22,5.73,5.00,44
4200.00,4320.00,H10E_2_3,51,1530.00,33.03,8.19,6.50,5.00,52
4320.00,4440.00,H10E_2_3,12,360.00,36.16,6.36,3.12,5.00,12
4440.00,4560.00,H10E_2_3,4,120.00,60.51,5.65,5.11,5.00,5
4560.00,4680.00,H10E_2_3,5,150.00,88.52,3.07,0.14,5.00,4
4680.00,4800.00,H10E_2_3,52,1560.00,31.29,10.00,6.92,5.00,52
4800.00,4920.00,H10E_2_3,60,1800.00,23.18,11.90,11.01,5.00,61
4920.00,5040.00,H10E_2_3,60,1800.00,19.63,13.89,12.43,5.00,59
5040.00,5160.00,H10E_2_3,43,1290.00,28.63,14.46,6.26,5.00,43
5160.00,5280.00,H10E_2_3,22,660.00,51.84,5.62,1.93,5.00,24
5280.00,5400.00,H10E_2_3,28,840.00,47.16,3.37,2.30,5.00,27
5400.00,5520.00,H10E_2_3,50,1500.00,30.41,8.96,6.87,5.00,51
5520.00,5640.00,H10E_2_3,58,1740.00,20.09,13.22,11.97,5.00,57
5640.00,5760.00,H10E_2_3,18,540.00,54.41,2.62,1.42,5.00,19
5760.00,5880.00,H10E_2_3,31,930.00,44.15,4.39,2.82,5.00,30
5880.00,6000.00,H10E_2_3,43,1290.00,35.68,6.03,5.12,5.00,44
6000.00,6120.00,H10E_2_3,59,1770.00,23.54,11.15,10.20,5.00,59
6120.00,6240.00,H10E_2_3,57,1710.00,28.05,10.87,8.47,5.00,57
6240.00,6360.00,H10E_2_3,22,660.00,53.37,2.77,1.84,5.00,23
6360.00,6480.00,H10E_2_3,34,1020.00,43.05,5.29,3.12,5.00,35
6480.00,6600.00,H10E_2_3,51,1530.00,28.65,9.96,7.33,5.00,51
6600.00,6720.00,H10E_2_3,67,2010.00,20.93,15.26,13.34,5.00,67
6720.00,6840.00,H10E_2_3,54,1620.00,28.22,10.00,8.10,5.00,55
6840.00,6960.00,H10E_2_3,44,1320.00,36.43,7.98,5.03,5.00,44
6960.00,7080.00,H10E_2_3,50,1500.00,28.72,9.93,7.25,5.00,50
7080.00,7200.00,H10E_2_3,59,1770.00,12.79,19.76,19.22,5.00,59
