begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H15N_2_4,1,30.00,0.13,32.40,32.40,5.00,1
120.00,240.00,H15N_2_4,1,30.00,0.13,33.18,33.18,5.00,1
240.00,360.00,H15N_2_4,37,1110.00,5.40,28.64,28.54,5.00,37
360.00,480.00,H15N_2_4,44,1320.00,6.71,27.39,27.33,5.00,44
480.00,600.00,H15N_2_4,58,1740.00,8.82,27.52,27.40,5.00,58
600.00,720.00,H15N_2_4,46,1380.00,6.91,27.79,27.74,5.00,46
720.00,840.00,H15N_2_4,51,1530.00,7.62,27.97,27.91,5.00,52
840.00,960.00,H15N_2_4,54,1620.00,8.37,26.96,26.90,5.00,54
960.00,1080.00,H15N_2_4,58,1740.00,8.87,27.32,27.26,5.00,58
1080.00,1200.00,H15N_2_4,53,1590.00,8.07,27.41,27.36,5.00,53
1200.00,1320.00,H15N_2_4,55,1650.00,8.37,27.44,27.36,5.00,55
1320.00,1440.00,H15N_2_4,54,1620.00,8.56,26.36,26.29,5.00,54
1440.00,1560.00,H15N_2_4,53,1590.00,7.99,27.84,27.64,5.00,53
1560.00,1680.00,H15N_2_4,55,1650.00,8.63,26.68,26.54,5.00,55
1680.00,1800.00,H15N_2_4,54,1620.00,8.23,27.43,27.34,5.00,54
1800.00,1920.00,H15N_2_4,55,1650.00,8.45,27.56,27.51,5.00,56
1920.00,2040.00,H15N_2_4,58,1740.00,8.74,27.33,27.28,5.00,57
2040.00,2160.00,H15N_2_4,59,1770.00,9.39,26.42,26.17,5.00,59
2160.00,2280.00,H15N_2_4,53,1590.00,8.53,26.38,25.88,5.00,53
2280.00,2400.00,H15N_2_4,62,1860.00,10.14,26.02,25.48,5.00,62
2400.00,2520.00,H15N_2_4,55,1650.00,8.60,26.73,26.64,5.00,55
2520.00,2640.00,H15N_2_4,55,1650.00,8.50,27.09,27.00,5.00,56
2640.00,2760.00,H15N_2_4,53,1590.00,8.17,27.13,27.03,5.00,53
2760.00,2880.00,H15N_2_4,50,1500.00,7.67,27.27,27.18,5.00,50
2880.00,3000.00,H15N_2_4,51,1530.00,7.57,28.15,28.07,5.00,51
3000.00,3120.00,H15N_2_4,50,1500.00,7.51,27.83,27.76,5.00,50
3120.00,3240.00,H15N_2_4,58,1740.00,9.70,26.89,24.91,5.00,58
3240.00,3360.00,H15N_2_4,57,1710.00,8.68,27.45,27.38,5.00,57
3360.00,3480.00,H15N_2_4,58,1740.00,9.69,26.73,24.93,5.00,58
3480.00,3600.00,H15N_2_4,53,1590.00,8.06,27.49,27.41,5.00,53
3600.00,3720.00,H15N_2_4,51,1530.00,7.79,27.33,27.28,5.00,51
3720.00,3840.00,H15N_2_4,55,1650.00,8.53,27.03,26.85,5.00,55
3840.00,3960.00,H15N_2_4,55,1650.00,8.32,27.65,27.54,5.00,55
3960.00,4080.00,H15N_2_4,48,1440.00,7.19,27.85,27.80,5.00,48
4080.00,4200.00,H15N_2_4,49,1470.00,7.80,26.64,26.56,5.00,50
4200.00,4320.00,H15N_2_4,53,1590.00,8.02,27.20,27.16,5.00,52
4320.00,4440.00,H15N_2_4,52,1560.00,7.90,27.52,27.44,5.00,52
4440.00,4560.00,H15N_2_4,54,1620.00,8.20,27.51,27.43,5.00,54
4560.00,4680.00,H15N_2_4,65,1950.00,10.79,25.41,25.10,5.00,65
4680.00,4800.00,H15N_2_4,57,1710.00,8.71,27.35,27.28,5.00,57
4800.00,4920.00,H15N_2_4,59,1770.00,9.05,27.28,27.17,5.00,59
4920.00,5040.00,H15N_2_4,54,1620.00,9.36,25.89,24.04,5.00,54
5040.00,5160.00,H15N_2_4,55,1650.00,8.70,26.46,26.35,5.00,55
5160.00,5280.00,H15N_2_4,63,1890.00,11.16,24.04,23.52,5.00,63
5280.00,5400.00,H15N_2_4,59,1770.00,9.65,25.88,25.78,5.00,60
5400.00,5520.00,H15N_2_4,53,1590.00,8.18,27.06,26.99,5.00,53
5520.00,5640.00,H15N_2_4,54,1620.00,8.27,27.65,27.60,5.00,55
5640.00,5760.00,H15N_2_4,63,1890.00,11.59,24.84,22.41,5.00,62
5760.00,5880.00,H15N_2_4,55,1650.00,8.39,27.35,27.31,5.00,55
5880.00,6000.00,H15N_2_4,65,1950.00,10.30,26.39,26.29,5.00,65
6000.00,6120.00,H15N_2_4,55,1650.00,8.37,27.69,27.38,5.00,55
6120.00,6240.00,H15N_2_4,58,1740.00,8.93,27.23,27.08,5.00,58
6240.00,6360.00,H15N_2_4,56,1680.00,9.23,26.22,25.28,5.00,56
6360.00,6480.00,H15N_2_4,58,1740.00,9.10,26.65,26.56,5.00,58
6480.00,6600.00,H15N_2_4,52,1560.00,7.96,27.33,27.23,5.00,52
6600.00,6720.00,H15N_2_4,50,1500.00,7.85,26.65,26.53,5.00,50
6720.00,6840.00,H15N_2_4,59,1770.00,9.30,26.80,26.60,5.00,60
6840.00,6960.00,H15N_2_4,56,1680.00,8.49,27.35,27.30,5.00,55
6960.00,7080.00,H15N_2_4,49,1470.00,7.35,27.81,27.78,5.00,49
7080.00,7200.00,H15N_2_4,65,1950.00,10.12,26.86,26.77,5.00,65
