begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H25S_3_4,1,30.00,0.13,31.37,31.37,5.00,1
120.00,240.00,H25S_3_4,15,450.00,2.84,29.56,22.00,5.00,15
240.00,360.00,H25S_3_4,61,1830.00,8.94,28.59,28.44,5.00,61
360.00,480.00,H25S_3_4,65,1950.00,9.81,27.64,27.61,5.00,65
480.00,600.00,H25S_3_4,67,2010.00,10.12,27.63,27.58,5.00,67
600.00,720.00,H25S_3_4,74,2220.00,11.53,26.87,26.82,5.00,75
720.00,840.00,H25S_3_4,75,2250.00,11.61,26.95,26.91,5.00,75
840.00,960.00,H25S_3_4,72,2160.00,11.15,27.03,26.91,5.00,72
960.00,1080.00,H25S_3_4,71,2130.00,11.96,24.86,24.75,5.00,71
1080.00,1200.00,H25S_3_4,69,2070.00,10.75,26.93,26.74,5.00,69
1200.00,1320.00,H25S_3_4,64,1920.00,9.46,28.31,28.19,5.00,64
1320.00,1440.00,H25S_3_4,54,1620.00,7.99,28.21,28.17,5.00,54
1440.00,1560.00,H25S_3_4,73,2190.00,12.00,25.44,25.34,5.00,73
1560.00,1680.00,H25S_3_4,71,2130.00,11.50,25.89,25.72,5.00,71
1680.00,1800.00,H25S_3_4,61,1830.00,9.87,26.27,25.75,5.00,61
1800.00,1920.00,H25S_3_4,43,1290.00,6.48,27.90,27.65,5.00,43
1920.00,2040.00,H25S_3_4,67,2010.00,11.28,25.02,24.83,5.00,68
2040.00,2160.00,H25S_3_4,70,2100.00,11.56,25.64,25.30,5.00,70
2160.00,2280.00,H25S_3_4,53,1590.00,7.86,27.98,27.86,5.00,52
2280.00,2400.00,H25S_3_4,64,1920.00,11.39,25.50,23.78,5.00,66
2400.00,2520.00,H25S_3_4,59,1770.00,9.64,25.76,25.50,5.00,59
2520.00,2640.00,H25S_3_4,61,1830.00,10.82,25.43,23.53,5.00,62
2640.00,2760.00,H25S_3_4,59,1770.00,9.44,26.64,26.46,5.00,60
2760.00,2880.00,H25S_3_4,64,1920.00,10.07,26.67,26.49,5.00,64
2880.00,3000.00,H25S_3_4,62,1860.00,9.52,27.25,27.15,5.00,62
3000.00,3120.00,H25S_3_4,66,1980.00,10.62,26.02,25.88,5.00,66
3120.00,3240.00,H25S_3_4,64,1920.00,10.34,26.02,25.79,5.00,64
3240.00,3360.00,H25S_3_4,59,1770.00,9.14,27.18,26.93,5.00,60
3360.00,3480.00,H25S_3_4,55,1650.00,8.71,27.54,27.34,5.00,57
3480.00,3600.00,H25S_3_4,63,1890.00,9.83,26.85,26.70,5.00,63
3600.00,3720.00,H25S_3_4,69,2070.00,10.82,26.84,26.70,5.00,70
3720.00,3840.00,H25S_3_4,58,1740.00,9.56,25.41,25.29,5.00,59
3840.00,3960.00,H25S_3_4,65,1950.00,11.04,24.73,24.53,5.00,65
3960.00,4080.00,H25S_3_4,58,1740.00,9.92,26.28,24.36,5.00,58
4080.00,4200.00,H25S_3_4,63,1890.00,10.44,25.34,25.15,5.00,63
4200.00,4320.00,H25S_3_4,64,1920.00,10.44,26.06,25.78,5.00,65
4320.00,4440.00,H25S_3_4,59,1770.00,9.16,26.98,26.85,5.00,59
4440.00,4560.00,H25S_3_4,70,2100.00,11.76,25.10,24.80,5.00,70
4560.00,4680.00,H25S_3_4,60,1800.00,9.21,27.41,27.16,5.00,60
4680.00,4800.00,H25S_3_4,66,1980.00,11.49,24.22,23.94,5.00,66
4800.00,4920.00,H25S_3_4,62,1860.00,10.51,26.26,24.57,5.00,62
4920.00,5040.00,H25S_3_4,72,2160.00,11.46,26.36,26.18,5.00,72
5040.00,5160.00,H25S_3_4,59,1770.00,9.65,26.14,25.87,5.00,60
5160.00,5280.00,H25S_3_4,52,1560.00,9.13,24.18,23.71,5.00,52
5280.00,5400.00,H25S_3_4,74,2220.00,12.52,24.46,24.34,5.00,73
5400.00,5520.00,H25S_3_4,67,2010.00,11.53,24.59,24.20,5.00,67
5520.00,5640.00,H25S_3_4,55,1650.00,9.39,25.11,24.88,5.00,56
5640.00,5760.00,H25S_3_4,66,1980.00,10.33,26.78,26.61,5.00,66
5760.00,5880.00,H25S_3_4,63,1890.00,9.87,26.96,26.78,5.00,64
5880.00,6000.00,H25S_3_4,64,1920.00,10.46,25.61,25.37,5.00,64
6000.00,6120.00,H25S_3_4,67,2010.00,10.68,26.27,26.14,5.00,67
6120.00,6240.00,H25S_3_4,59,1770.00,9.30,26.71,26.42,5.00,59
6240.00,6360.00,H25S_3_4,71,2130.00,11.26,26.50,26.28,5.00,71
6360.00,6480.00,H25S_3_4,64,1920.00,10.54,25.88,25.72,5.00,66
6480.00,6600.00,H25S_3_4,64,1920.00,10.14,26.24,26.14,5.00,63
6600.00,6720.00,H25S_3_4,66,1980.00,10.40,26.83,26.45,5.00,66
6720.00,6840.00,H25S_3_4,67,2010.00,11.08,25.38,25.19,5.00,67
6840.00,6960.00,H25S_3_4,59,1770.00,9.24,26.85,26.61,5.00,59
6960.00,7080.00,H25S_3_4,58,1740.00,11.18,23.06,22.06,5.00,59
7080.00,7200.00,H25S_3_4,69,2070.00,10.91,26.47,26.36,5.00,69
