H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H10E_onMeter_4,H10E_onMeter_5,H10E_onMeter_6,H10E_onMeter_7,H10E_onMeter_8
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1790.0,400.0,466.0,566.0,512.0,406.0,1587.0
1800.0,1794.0,400.0,463.0,559.0,507.0,400.0,1591.0
1800.0,1785.0,400.0,473.0,578.0,516.0,479.0,1549.0
1800.0,1790.0,400.0,467.0,568.0,511.0,400.0,1584.0
1800.0,1794.0,400.0,464.0,562.0,508.0,400.0,1595.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1795.0,1800.0,400.0,455.0,543.0,502.0,400.0,1619.0
1767.0,1800.0,400.0,439.0,507.0,473.0,400.0,1629.0
1769.0,1800.0,400.0,439.0,505.0,472.0,400.0,1624.0
1776.0,1800.0,400.0,439.0,508.0,475.0,400.0,1621.0
1792.0,1800.0,400.0,443.0,520.0,489.0,400.0,1626.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
