H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H10E_onMeter_4,H10E_onMeter_5,H10E_onMeter_6,H10E_onMeter_7,H10E_onMeter_8
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
773.0,617.0,661.0,400.0,563.0,509.0,434.0,608.0
748.0,590.0,654.0,400.0,558.0,506.0,434.0,585.0
796.0,634.0,676.0,400.0,574.0,514.0,433.0,623.0
748.0,591.0,652.0,400.0,557.0,507.0,433.0,588.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
765.0,613.0,652.0,400.0,558.0,507.0,439.0,601.0
763.0,605.0,650.0,400.0,556.0,505.0,434.0,595.0
750.0,589.0,643.0,400.0,551.0,502.0,431.0,581.0
760.0,600.0,646.0,400.0,553.0,503.0,431.0,590.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
795.0,644.0,652.0,400.0,557.0,508.0,437.0,626.0
775.0,622.0,643.0,400.0,551.0,505.0,436.0,605.0
754.0,600.0,637.0,400.0,548.0,503.0,436.0,587.0
