H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H10E_onMeter_4,H10E_onMeter_5,H10E_onMeter_6,H10E_onMeter_7,H10E_onMeter_8
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
977.0,978.0,529.0,420.0,513.0,426.0,400.0,951.0
1794.0,1800.0,1151.0,1012.0,1118.0,1026.0,908.0,1745.0
1795.0,1800.0,1153.0,1017.0,1119.0,1029.0,912.0,1743.0
1792.0,1800.0,1038.0,865.0,1004.0,885.0,734.0,1734.0
1786.0,1800.0,992.0,831.0,958.0,836.0,674.0,1726.0
1800.0,1782.0,855.0,967.0,710.0,743.0,642.0,1595.0
1800.0,1784.0,855.0,966.0,711.0,744.0,643.0,1597.0
1800.0,1782.0,854.0,969.0,708.0,743.0,642.0,1595.0
1800.0,1779.0,855.0,976.0,705.0,741.0,641.0,1593.0
1800.0,1783.0,854.0,966.0,709.0,743.0,642.0,1595.0
1800.0,1780.0,855.0,977.0,704.0,740.0,642.0,1595.0
1800.0,1781.0,855.0,977.0,704.0,740.0,642.0,1595.0
1800.0,1780.0,855.0,974.0,706.0,741.0,642.0,1595.0
1800.0,1780.0,856.0,980.0,702.0,738.0,642.0,1593.0
1800.0,1781.0,855.0,973.0,707.0,742.0,643.0,1596.0
