begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_1_1,13,390.00,3.07,23.60,18.31,5.00,14
120.00,240.00,H10E_1_1,42,1260.00,12.02,20.75,14.57,5.00,43
240.00,360.00,H10E_1_1,51,1530.00,10.85,21.13,19.63,5.00,52
360.00,480.00,H10E_1_1,43,1290.00,7.99,22.58,22.42,5.00,43
480.00,600.00,H10E_1_1,47,1410.00,9.54,22.31,20.83,5.00,48
600.00,720.00,H10E_1_1,50,1500.00,9.37,22.64,22.40,5.00,51
720.00,840.00,H10E_1_1,44,1320.00,9.24,21.84,20.21,5.00,45
840.00,960.00,H10E_1_1,49,1470.00,9.26,22.44,22.27,5.00,50
960.00,1080.00,H10E_1_1,51,1530.00,10.32,22.02,20.40,5.00,50
1080.00,1200.00,H10E_1_1,47,1410.00,8.92,22.22,21.95,5.00,47
1200.00,1320.00,H10E_1_1,50,1500.00,10.82,22.55,19.75,5.00,52
1320.00,1440.00,H10E_1_1,44,1320.00,8.58,21.72,21.54,5.00,45
1440.00,1560.00,H10E_1_1,40,1200.00,7.96,22.65,22.26,5.00,44
1560.00,1680.00,H10E_1_1,48,1440.00,9.88,21.72,20.23,5.00,48
1680.00,1800.00,H10E_1_1,47,1410.00,8.75,22.92,22.77,5.00,49
1800.00,1920.00,H10E_1_1,50,1500.00,9.80,23.24,21.59,5.00,52
1920.00,2040.00,H10E_1_1,44,1320.00,9.51,21.18,19.54,5.00,44
2040.00,2160.00,H10E_1_1,45,1350.00,8.82,21.60,21.26,5.00,45
2160.00,2280.00,H10E_1_1,47,1410.00,9.09,21.96,21.66,5.00,48
2280.00,2400.00,H10E_1_1,51,1530.00,9.28,22.95,22.77,5.00,50
2400.00,2520.00,H10E_1_1,42,1260.00,7.73,22.86,22.64,5.00,42
2520.00,2640.00,H10E_1_1,46,1380.00,10.29,21.40,18.71,5.00,48
2640.00,2760.00,H10E_1_1,48,1440.00,8.99,22.49,22.25,5.00,48
2760.00,2880.00,H10E_1_1,46,1380.00,9.41,22.27,20.52,5.00,47
2880.00,3000.00,H10E_1_1,50,1500.00,9.45,22.47,22.12,5.00,50
3000.00,3120.00,H10E_1_1,46,1380.00,9.67,21.66,19.93,5.00,46
3120.00,3240.00,H10E_1_1,50,1500.00,9.52,22.43,22.27,5.00,51
3240.00,3360.00,H10E_1_1,45,1350.00,10.34,20.68,18.07,5.00,45
3360.00,3480.00,H10E_1_1,55,1650.00,11.34,21.64,20.26,5.00,55
3480.00,3600.00,H10E_1_1,43,1290.00,8.28,22.24,21.97,5.00,44
3600.00,3720.00,H10E_1_1,50,1500.00,9.51,21.87,21.61,5.00,49
3720.00,3840.00,H10E_1_1,46,1380.00,8.79,22.35,22.07,5.00,47
3840.00,3960.00,H10E_1_1,48,1440.00,8.72,22.88,22.67,5.00,47
3960.00,4080.00,H10E_1_1,44,1320.00,8.78,22.42,20.87,5.00,44
4080.00,4200.00,H10E_1_1,42,1260.00,8.03,22.07,21.79,5.00,42
4200.00,4320.00,H10E_1_1,45,1350.00,8.28,22.91,22.65,5.00,45
4320.00,4440.00,H10E_1_1,45,1350.00,8.54,22.42,21.97,5.00,45
4440.00,4560.00,H10E_1_1,45,1350.00,8.37,22.67,22.41,5.00,45
4560.00,4680.00,H10E_1_1,44,1320.00,8.41,22.20,21.80,5.00,44
4680.00,4800.00,H10E_1_1,46,1380.00,9.68,21.41,19.82,5.00,47
4800.00,4920.00,H10E_1_1,45,1350.00,8.47,22.60,22.37,5.00,45
4920.00,5040.00,H10E_1_1,45,1350.00,8.17,23.14,22.94,5.00,45
