begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_in_3,59,1770.00,9.29,26.73,26.47,5.00,59
120.00,240.00,H10E_in_3,59,1770.00,9.53,25.98,25.80,5.00,59
240.00,360.00,H10E_in_3,61,1830.00,9.76,26.28,26.05,5.00,61
360.00,480.00,H10E_in_3,60,1800.00,9.44,26.67,26.48,5.00,60
480.00,600.00,H10E_in_3,60,1800.00,9.58,26.32,26.11,5.00,60
600.00,720.00,H10E_in_3,64,1920.00,10.16,26.44,26.23,5.00,64
720.00,840.00,H10E_in_3,60,1800.00,9.57,26.34,26.12,5.00,60
840.00,960.00,H10E_in_3,60,1800.00,9.57,26.36,26.11,5.00,60
960.00,1080.00,H10E_in_3,61,1830.00,9.54,26.83,26.65,5.00,61
1080.00,1200.00,H10E_in_3,59,1770.00,9.24,26.84,26.61,5.00,59
1200.00,1320.00,H10E_in_3,59,1770.00,9.56,25.97,25.70,5.00,59
1320.00,1440.00,H10E_in_3,60,1800.00,9.69,26.01,25.79,5.00,60
1440.00,1560.00,H10E_in_3,61,1830.00,9.60,26.67,26.49,5.00,61
1560.00,1680.00,H10E_in_3,59,1770.00,9.29,26.68,26.48,5.00,59
1680.00,1800.00,H10E_in_3,62,1860.00,9.65,26.95,26.78,5.00,62
1800.00,1920.00,H10E_in_3,60,1800.00,9.55,26.42,26.19,5.00,60
1920.00,2040.00,H10E_in_3,60,1800.00,9.56,26.37,26.15,5.00,60
2040.00,2160.00,H10E_in_3,65,1950.00,10.10,26.96,26.81,5.00,65
2160.00,2280.00,H10E_in_3,58,1740.00,9.23,26.39,26.19,5.00,58
2280.00,2400.00,H10E_in_3,60,1800.00,9.34,26.92,26.76,5.00,60
2400.00,2520.00,H10E_in_3,61,1830.00,9.59,26.70,26.51,5.00,61
2520.00,2640.00,H10E_in_3,64,1920.00,10.14,26.54,26.29,5.00,64
2640.00,2760.00,H10E_in_3,59,1770.00,9.38,26.38,26.20,5.00,59
2760.00,2880.00,H10E_in_3,60,1800.00,9.61,26.16,26.01,5.00,60
2880.00,3000.00,H10E_in_3,58,1740.00,9.39,25.87,25.74,5.00,58
3000.00,3120.00,H10E_in_3,61,1830.00,9.69,26.42,26.23,5.00,61
3120.00,3240.00,H10E_in_3,61,1830.00,9.71,26.35,26.16,5.00,61
3240.00,3360.00,H10E_in_3,59,1770.00,9.28,26.72,26.49,5.00,59
3360.00,3480.00,H10E_in_3,60,1800.00,9.23,27.26,27.09,5.00,60
3480.00,3600.00,H10E_in_3,61,1830.00,9.86,25.99,25.78,5.00,61
3600.00,3720.00,H10E_in_3,60,1800.00,9.34,26.96,26.76,5.00,60
3720.00,3840.00,H10E_in_3,62,1860.00,9.94,26.19,25.99,5.00,62
3840.00,3960.00,H10E_in_3,60,1800.00,9.70,26.08,25.79,5.00,60
3960.00,4080.00,H10E_in_3,58,1740.00,9.27,26.34,26.06,5.00,58
4080.00,4200.00,H10E_in_3,62,1860.00,9.84,26.42,26.26,5.00,62
4200.00,4320.00,H10E_in_3,61,1830.00,9.71,26.39,26.19,5.00,61
4320.00,4440.00,H10E_in_3,62,1860.00,9.75,26.80,26.49,5.00,62
4440.00,4560.00,H10E_in_3,63,1890.00,9.99,26.50,26.27,5.00,63
4560.00,4680.00,H10E_in_3,57,1710.00,9.06,26.34,26.21,5.00,57
4680.00,4800.00,H10E_in_3,63,1890.00,10.14,26.11,25.90,5.00,63
4800.00,4920.00,H10E_in_3,60,1800.00,9.32,26.96,26.83,5.00,60
4920.00,5040.00,H10E_in_3,58,1740.00,9.24,26.32,26.16,5.00,58
5040.00,5160.00,H10E_in_3,58,1740.00,9.11,26.69,26.52,5.00,58
5160.00,5280.00,H10E_in_3,58,1740.00,9.43,25.80,25.62,5.00,58
5280.00,5400.00,H10E_in_3,62,1860.00,10.00,26.09,25.84,5.00,62
5400.00,5520.00,H10E_in_3,60,1800.00,9.18,27.35,27.24,5.00,60
5520.00,5640.00,H10E_in_3,60,1800.00,9.47,26.54,26.39,5.00,60
5640.00,5760.00,H10E_in_3,62,1860.00,9.80,26.51,26.36,5.00,62
5760.00,5880.00,H10E_in_3,60,1800.00,9.61,26.24,26.01,5.00,60
5880.00,6000.00,H10E_in_3,58,1740.00,9.18,26.47,26.31,5.00,58
6000.00,6120.00,H10E_in_3,60,1800.00,9.48,26.55,26.37,5.00,60
6120.00,6240.00,H10E_in_3,58,1740.00,9.20,26.51,26.27,5.00,58
6240.00,6360.00,H10E_in_3,61,1830.00,9.83,26.01,25.85,5.00,61
6360.00,6480.00,H10E_in_3,62,1860.00,9.71,26.87,26.59,5.00,62
6480.00,6600.00,H10E_in_3,62,1860.00,9.87,26.41,26.16,5.00,62
6600.00,6720.00,H10E_in_3,58,1740.00,9.02,26.94,26.79,5.00,58
6720.00,6840.00,H10E_in_3,62,1860.00,10.12,25.71,25.52,5.00,62
6840.00,6960.00,H10E_in_3,59,1770.00,9.42,26.30,26.09,5.00,59
6960.00,7080.00,H10E_in_3,61,1830.00,9.72,26.37,26.15,5.00,61
7080.00,7200.00,H10E_in_3,61,1830.00,9.60,26.67,26.49,5.00,61
7200.00,7320.00,H10E_in_3,63,1890.00,24.59,13.66,10.78,5.00,64
7320.00,7440.00,H10E_in_3,50,1500.00,28.09,7.45,7.35,5.00,49
7440.00,7560.00,H10E_in_3,54,1620.00,29.44,7.76,7.64,5.00,54
7560.00,7680.00,H10E_in_3,56,1680.00,29.86,7.95,7.81,5.00,56
7680.00,7800.00,H10E_in_3,53,1590.00,29.60,7.55,7.46,5.00,53
7800.00,7920.00,H10E_in_3,53,1590.00,28.97,7.74,7.62,5.00,53
7920.00,8040.00,H10E_in_3,55,1650.00,29.70,7.91,7.81,5.00,56
8040.00,8160.00,H10E_in_3,52,1560.00,28.94,7.47,7.41,5.00,52
8160.00,8280.00,H10E_in_3,54,1620.00,29.65,7.67,7.57,5.00,53
8280.00,8400.00,H10E_in_3,53,1590.00,29.81,7.47,7.41,5.00,53
8400.00,8520.00,H10E_in_3,54,1620.00,29.75,7.63,7.56,5.00,54
8520.00,8640.00,H10E_in_3,56,1680.00,29.88,7.93,7.81,5.00,56
8640.00,8760.00,H10E_in_3,53,1590.00,29.03,7.74,7.61,5.00,53
8760.00,8880.00,H10E_in_3,55,1650.00,30.07,7.68,7.62,5.00,55
8880.00,9000.00,H10E_in_3,55,1650.00,29.60,7.87,7.74,5.00,55
9000.00,9120.00,H10E_in_3,52,1560.00,29.08,7.60,7.50,5.00,53
9120.00,9240.00,H10E_in_3,52,1560.00,29.17,7.48,7.38,5.00,51
9240.00,9360.00,H10E_in_3,56,1680.00,30.38,7.76,7.68,5.00,56
9360.00,9480.00,H10E_in_3,56,1680.00,30.84,7.68,7.62,5.00,57
9480.00,9600.00,H10E_in_3,51,1530.00,28.38,7.53,7.43,5.00,50
9600.00,9720.00,H10E_in_3,52,1560.00,29.21,7.59,7.51,5.00,53
9720.00,9840.00,H10E_in_3,54,1620.00,29.56,7.78,7.67,5.00,54
9840.00,9960.00,H10E_in_3,57,1710.00,29.89,7.90,7.80,5.00,56
9960.00,10080.00,H10E_in_3,57,1710.00,30.17,7.97,7.87,5.00,57
10080.00,10200.00,H10E_in_3,54,1620.00,29.70,7.69,7.59,5.00,55
10200.00,10320.00,H10E_in_3,53,1590.00,29.43,7.69,7.58,5.00,53
10320.00,10440.00,H10E_in_3,54,1620.00,29.58,7.60,7.51,5.00,53
10440.00,10560.00,H10E_in_3,55,1650.00,30.15,7.83,7.71,5.00,56
10560.00,10680.00,H10E_in_3,58,1740.00,29.87,8.13,8.03,5.00,58
10680.00,10800.00,H10E_in_3,55,1650.00,29.57,7.88,7.75,5.00,55
10800.00,10920.00,H10E_in_3,54,1620.00,29.37,7.71,7.60,5.00,53
10920.00,11040.00,H10E_in_3,52,1560.00,28.68,7.66,7.55,5.00,52
11040.00,11160.00,H10E_in_3,53,1590.00,29.02,7.70,7.61,5.00,53
11160.00,11280.00,H10E_in_3,57,1710.00,30.35,7.94,7.82,5.00,57
11280.00,11400.00,H10E_in_3,55,1650.00,29.56,7.88,7.75,5.00,55
11400.00,11520.00,H10E_in_3,58,1740.00,30.90,7.93,7.82,5.00,58
11520.00,11640.00,H10E_in_3,57,1710.00,30.49,7.87,7.79,5.00,57
11640.00,11760.00,H10E_in_3,52,1560.00,29.55,7.52,7.45,5.00,53
11760.00,11880.00,H10E_in_3,56,1680.00,29.76,7.88,7.75,5.00,56
11880.00,12000.00,H10E_in_3,54,1620.00,29.50,7.78,7.71,5.00,54
12000.00,12120.00,H10E_in_3,57,1710.00,30.43,7.78,7.70,5.00,56
12120.00,12240.00,H10E_in_3,55,1650.00,30.22,7.69,7.58,5.00,55
12240.00,12360.00,H10E_in_3,56,1680.00,29.70,8.03,7.90,5.00,57
12360.00,12480.00,H10E_in_3,55,1650.00,29.51,7.84,7.72,5.00,54
12480.00,12600.00,H10E_in_3,53,1590.00,29.33,7.76,7.64,5.00,54
12600.00,12720.00,H10E_in_3,59,1770.00,30.36,8.08,7.99,5.00,58
12720.00,12840.00,H10E_in_3,52,1560.00,29.18,7.52,7.42,5.00,52
12840.00,12960.00,H10E_in_3,53,1590.00,29.33,7.63,7.53,5.00,53
12960.00,13080.00,H10E_in_3,52,1560.00,29.39,7.60,7.52,5.00,53
13080.00,13200.00,H10E_in_3,57,1710.00,29.94,7.91,7.83,5.00,57
13200.00,13320.00,H10E_in_3,57,1710.00,30.78,7.75,7.67,5.00,56
13320.00,13440.00,H10E_in_3,56,1680.00,30.25,7.95,7.86,5.00,57
13440.00,13560.00,H10E_in_3,57,1710.00,30.28,7.79,7.70,5.00,56
13560.00,13680.00,H10E_in_3,55,1650.00,29.62,7.89,7.76,5.00,56
13680.00,13800.00,H10E_in_3,48,1440.00,28.22,7.33,7.22,5.00,48
13800.00,13920.00,H10E_in_3,53,1590.00,28.71,7.63,7.56,5.00,53
13920.00,14040.00,H10E_in_3,54,1620.00,29.56,7.79,7.70,5.00,54
14040.00,14160.00,H10E_in_3,52,1560.00,28.80,7.51,7.42,5.00,51
14160.00,14280.00,H10E_in_3,51,1530.00,29.07,7.38,7.31,5.00,51
14280.00,14400.00,H10E_in_3,52,1560.00,28.83,7.62,7.52,5.00,52
