begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_out_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,240.00,H10E_out_0,4,120.00,0.73,22.99,22.86,5.00,4
240.00,360.00,H10E_out_0,7,210.00,1.26,23.22,23.14,5.00,7
360.00,480.00,H10E_out_0,10,300.00,1.89,22.12,22.08,5.00,10
480.00,600.00,H10E_out_0,7,210.00,1.30,22.55,22.46,5.00,7
600.00,720.00,H10E_out_0,9,270.00,1.68,22.43,22.26,5.00,9
720.00,840.00,H10E_out_0,8,240.00,1.42,23.61,23.54,5.00,8
840.00,960.00,H10E_out_0,8,240.00,1.49,22.53,22.44,5.00,8
960.00,1080.00,H10E_out_0,8,240.00,1.40,23.88,23.78,5.00,8
1080.00,1200.00,H10E_out_0,8,240.00,1.40,24.04,23.86,5.00,8
1200.00,1320.00,H10E_out_0,9,270.00,1.51,24.97,24.84,5.00,9
1320.00,1440.00,H10E_out_0,8,240.00,1.37,24.59,24.30,5.00,8
1440.00,1560.00,H10E_out_0,9,270.00,1.61,23.50,23.33,5.00,9
1560.00,1680.00,H10E_out_0,9,270.00,1.52,24.79,24.73,5.00,9
1680.00,1800.00,H10E_out_0,11,330.00,1.87,24.72,24.49,5.00,11
1800.00,1920.00,H10E_out_0,10,300.00,1.80,23.36,23.17,5.00,10
1920.00,2040.00,H10E_out_0,9,270.00,1.53,24.82,24.58,5.00,9
2040.00,2160.00,H10E_out_0,8,240.00,1.38,24.19,24.10,5.00,8
2160.00,2280.00,H10E_out_0,7,210.00,1.15,25.47,25.31,5.00,7
2280.00,2400.00,H10E_out_0,11,330.00,1.77,26.12,25.94,5.00,11
2400.00,2520.00,H10E_out_0,11,330.00,1.93,23.84,23.74,5.00,11
2520.00,2640.00,H10E_out_0,12,360.00,2.07,24.36,24.12,5.00,12
2640.00,2760.00,H10E_out_0,11,330.00,1.88,24.60,24.40,5.00,11
2760.00,2880.00,H10E_out_0,9,270.00,1.53,24.66,24.48,5.00,9
2880.00,3000.00,H10E_out_0,8,240.00,1.60,23.22,23.12,5.00,9
3000.00,3120.00,H10E_out_0,8,240.00,1.25,23.84,23.79,5.00,7
3120.00,3240.00,H10E_out_0,9,270.00,1.58,24.03,23.76,5.00,9
3240.00,3360.00,H10E_out_0,8,240.00,1.47,23.16,22.67,5.00,8
3360.00,3480.00,H10E_out_0,9,270.00,1.43,26.35,26.22,5.00,9
3480.00,3600.00,H10E_out_0,8,240.00,1.34,24.94,24.83,5.00,8
3600.00,3720.00,H10E_out_0,7,210.00,1.20,24.49,24.38,5.00,7
3720.00,3840.00,H10E_out_0,10,300.00,1.67,25.14,24.91,5.00,10
3840.00,3960.00,H10E_out_0,11,330.00,1.85,25.02,24.73,5.00,11
3960.00,4080.00,H10E_out_0,11,330.00,1.88,24.45,24.35,5.00,11
4080.00,4200.00,H10E_out_0,12,360.00,2.02,24.87,24.79,5.00,12
4200.00,4320.00,H10E_out_0,7,210.00,1.28,23.33,22.72,5.00,7
4320.00,4440.00,H10E_out_0,6,180.00,1.05,24.07,23.88,5.00,6
