begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10E_in_0,86,1720.00,13.15,18.95,18.16,5.00,86
180.00,360.00,H10E_in_0,72,1440.00,12.32,16.55,16.46,5.00,73
360.00,540.00,H10E_in_0,28,560.00,58.91,13.62,1.37,5.00,28
540.00,720.00,H10E_in_0,57,1140.00,23.46,13.20,6.10,5.00,56
720.00,900.00,H10E_in_0,54,1080.00,29.13,16.06,15.82,5.00,55
900.00,1080.00,H10E_in_0,34,680.00,33.82,11.74,1.77,5.00,33
1080.00,1260.00,H10E_in_0,38,760.00,62.92,15.39,14.97,5.00,39
1260.00,1440.00,H10E_in_0,0,0.00,100.00,-1.00,-1.00,-1.00,0
1440.00,1620.00,H10E_in_0,58,1160.00,33.55,13.82,0.85,5.00,58
1620.00,1800.00,H10E_in_0,73,1460.00,12.72,16.10,15.94,5.00,73
1800.00,1980.00,H10E_in_0,36,720.00,53.86,9.35,1.86,5.00,36
1980.00,2160.00,H10E_in_0,57,1140.00,10.32,16.00,15.84,5.00,58
2160.00,2340.00,H10E_in_0,39,780.00,48.65,10.47,2.21,5.00,39
2340.00,2520.00,H10E_in_0,52,1040.00,47.37,14.44,3.05,5.00,52
2520.00,2700.00,H10E_in_0,42,840.00,17.78,14.08,6.56,5.00,42
2700.00,2880.00,H10E_in_0,45,900.00,34.60,13.57,3.61,5.00,45
2880.00,3060.00,H10E_in_0,74,1480.00,15.14,15.08,13.84,5.00,75
3060.00,3240.00,H10E_in_0,26,520.00,40.74,12.05,1.76,5.00,25
3240.00,3420.00,H10E_in_0,56,1120.00,11.41,15.74,15.36,5.00,57
3420.00,3600.00,H10E_in_0,70,1400.00,31.37,15.33,5.95,5.00,69
3600.00,3780.00,H10E_in_0,42,840.00,29.18,14.11,4.03,5.00,43
3780.00,3960.00,H10E_in_0,80,1600.00,14.04,15.80,15.54,5.00,79
3960.00,4140.00,H10E_in_0,41,820.00,49.44,11.27,2.30,5.00,41
4140.00,4320.00,H10E_in_0,60,1200.00,33.21,12.77,8.94,5.00,61
4320.00,4500.00,H10E_in_0,35,700.00,39.24,14.12,1.81,5.00,34
4500.00,4680.00,H10E_in_0,52,1040.00,42.34,14.63,10.74,5.00,53
4680.00,4860.00,H10E_in_0,42,840.00,59.12,13.80,1.33,5.00,41
4860.00,5040.00,H10E_in_0,70,1400.00,12.19,16.17,16.05,5.00,71
5040.00,5220.00,H10E_in_0,50,1000.00,27.43,14.61,5.05,5.00,49
5220.00,5400.00,H10E_in_0,53,1060.00,27.83,14.81,5.29,5.00,53
5400.00,5580.00,H10E_in_0,63,1260.00,20.86,13.68,8.56,5.00,64
5580.00,5760.00,H10E_in_0,51,1020.00,38.51,10.73,3.64,5.00,50
5760.00,5940.00,H10E_in_0,45,900.00,37.58,13.09,3.33,5.00,45
5940.00,6120.00,H10E_in_0,24,480.00,38.85,9.09,1.72,5.00,24
6120.00,6300.00,H10E_in_0,76,1520.00,13.16,16.22,16.08,5.00,77
6300.00,6480.00,H10E_in_0,75,1500.00,13.16,16.00,15.80,5.00,74
6480.00,6660.00,H10E_in_0,83,1660.00,19.31,16.16,14.43,5.00,84
6660.00,6840.00,H10E_in_0,59,1180.00,31.65,12.88,4.68,5.00,58
6840.00,7020.00,H10E_in_0,55,1100.00,14.88,14.99,10.31,5.00,56
7020.00,7200.00,H10E_in_0,57,1140.00,42.47,11.94,3.72,5.00,56
7200.00,7380.00,H10E_in_0,48,960.00,33.67,14.56,7.18,5.00,49
7380.00,7560.00,H10E_in_0,70,1400.00,29.04,14.24,4.41,5.00,69
7560.00,7740.00,H10E_in_0,38,760.00,48.31,15.36,14.76,5.00,39
7740.00,7920.00,H10E_in_0,62,1240.00,34.81,12.66,2.27,5.00,61
7920.00,8100.00,H10E_in_0,55,1100.00,21.54,15.78,15.38,5.00,56
8100.00,8280.00,H10E_in_0,0,0.00,100.00,-1.00,-1.00,-1.00,0
8280.00,8460.00,H10E_in_0,50,1000.00,34.47,14.57,0.95,5.00,49
8460.00,8640.00,H10E_in_0,13,260.00,2.25,16.17,16.08,5.00,13
8640.00,8820.00,H10E_in_0,81,1620.00,14.44,15.80,15.58,5.00,81
8820.00,9000.00,H10E_in_0,71,1420.00,12.36,16.12,15.96,5.00,71
9000.00,9180.00,H10E_in_0,33,660.00,66.34,9.55,1.38,5.00,33
9180.00,9360.00,H10E_in_0,68,1360.00,14.15,15.39,13.35,5.00,68
9360.00,9540.00,H10E_in_0,80,1600.00,16.18,16.03,14.32,5.00,81
9540.00,9720.00,H10E_in_0,61,1220.00,36.83,13.63,4.52,5.00,60
9720.00,9900.00,H10E_in_0,26,520.00,67.32,14.27,1.07,5.00,26
9900.00,10080.00,H10E_in_0,50,1000.00,47.86,11.77,2.90,5.00,50
10080.00,10260.00,H10E_in_0,70,1400.00,25.57,15.75,15.30,5.00,71
10260.00,10440.00,H10E_in_0,1,20.00,99.46,0.02,0.02,5.00,0
10440.00,10620.00,H10E_in_0,67,1340.00,19.54,14.07,9.52,5.00,67
10620.00,10800.00,H10E_in_0,51,1020.00,12.31,14.78,11.51,5.00,51
10800.00,10980.00,H10E_in_0,14,280.00,22.35,7.23,1.74,5.00,14
10980.00,11160.00,H10E_in_0,28,560.00,8.14,13.92,10.03,5.00,29
11160.00,11340.00,H10E_in_0,64,1280.00,11.14,16.27,16.07,5.00,65
11340.00,11520.00,H10E_in_0,65,1300.00,27.98,11.80,6.44,5.00,64
11520.00,11700.00,H10E_in_0,61,1220.00,33.60,12.54,5.04,5.00,61
11700.00,11880.00,H10E_in_0,46,920.00,28.33,14.52,4.53,5.00,47
11880.00,12060.00,H10E_in_0,51,1020.00,35.61,11.11,3.97,5.00,50
12060.00,12240.00,H10E_in_0,46,920.00,24.50,14.19,5.82,5.00,48
12240.00,12420.00,H10E_in_0,63,1260.00,20.65,13.69,8.34,5.00,62
12420.00,12600.00,H10E_in_0,51,1020.00,41.58,14.11,5.51,5.00,52
12600.00,12780.00,H10E_in_0,45,900.00,37.47,12.33,2.36,5.00,45
12780.00,12960.00,H10E_in_0,84,1680.00,14.96,15.70,15.24,5.00,84
12960.00,13140.00,H10E_in_0,35,700.00,6.56,15.62,14.74,5.00,34
13140.00,13320.00,H10E_in_0,21,420.00,19.96,5.24,3.01,5.00,24
13320.00,13500.00,H10E_in_0,55,1100.00,9.57,15.87,15.74,5.00,54
13500.00,13680.00,H10E_in_0,82,1640.00,14.42,15.90,15.80,5.00,82
13680.00,13860.00,H10E_in_0,28,560.00,66.29,13.33,1.17,5.00,28
13860.00,14040.00,H10E_in_0,79,1580.00,14.30,15.77,15.51,5.00,80
14040.00,14220.00,H10E_in_0,46,920.00,34.72,10.80,3.66,5.00,45
14220.00,14400.00,H10E_in_0,56,1120.00,11.72,15.84,13.27,5.00,56
14400.00,14580.00,H10E_in_0,50,1000.00,31.93,14.45,9.71,5.00,51
14580.00,14760.00,H10E_in_0,79,1580.00,18.44,14.84,6.09,5.00,78
14760.00,14940.00,H10E_in_0,55,1100.00,30.45,11.39,5.02,5.00,55
14940.00,15120.00,H10E_in_0,66,1320.00,19.01,14.47,9.65,5.00,66
15120.00,15300.00,H10E_in_0,69,1380.00,14.99,15.07,12.79,5.00,69
15300.00,15480.00,H10E_in_0,51,1020.00,18.24,13.34,7.80,5.00,52
15480.00,15660.00,H10E_in_0,59,1180.00,10.11,16.31,16.20,5.00,59
15660.00,15840.00,H10E_in_0,37,740.00,17.36,14.65,5.92,5.00,37
15840.00,16020.00,H10E_in_0,69,1380.00,14.98,14.79,12.81,5.00,70
16020.00,16200.00,H10E_in_0,69,1380.00,11.90,16.18,16.08,5.00,68
16200.00,16380.00,H10E_in_0,43,860.00,38.94,10.19,3.07,5.00,43
16380.00,16560.00,H10E_in_0,49,980.00,47.14,13.72,2.89,5.00,49
16560.00,16740.00,H10E_in_0,70,1400.00,13.47,15.97,14.43,5.00,70
16740.00,16920.00,H10E_in_0,60,1200.00,32.36,12.39,5.15,5.00,60
16920.00,17100.00,H10E_in_0,54,1080.00,9.36,16.16,16.03,5.00,54
17100.00,17280.00,H10E_in_0,20,400.00,50.96,8.13,2.25,5.00,21
17280.00,17460.00,H10E_in_0,72,1440.00,14.00,15.53,14.95,5.00,73
17460.00,17640.00,H10E_in_0,80,1600.00,13.96,16.20,15.92,5.00,80
17640.00,17820.00,H10E_in_0,40,800.00,56.67,10.14,1.96,5.00,40
17820.00,18000.00,H10E_in_0,80,1600.00,13.83,16.19,16.07,5.00,80
18000.00,18180.00,H10E_in_0,39,780.00,24.89,10.13,4.35,5.00,39
18180.00,18360.00,H10E_in_0,59,1180.00,12.63,15.01,13.49,5.00,60
