begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10E_offRamp1,9,180.00,0.94,26.75,26.49,5.00,9
180.00,360.00,H10E_offRamp1,22,440.00,2.23,27.61,27.42,5.00,22
360.00,540.00,H10E_offRamp1,27,540.00,2.82,26.95,26.62,5.00,27
540.00,720.00,H10E_offRamp1,23,460.00,2.32,27.76,27.57,5.00,23
720.00,900.00,H10E_offRamp1,25,500.00,2.50,27.98,27.75,5.00,25
900.00,1080.00,H10E_offRamp1,23,460.00,2.30,27.92,27.76,5.00,23
1080.00,1260.00,H10E_offRamp1,32,640.00,3.29,27.26,27.04,5.00,32
1260.00,1440.00,H10E_offRamp1,21,420.00,2.12,27.76,27.53,5.00,21
1440.00,1620.00,H10E_offRamp1,29,580.00,3.04,26.81,26.50,5.00,29
1620.00,1800.00,H10E_offRamp1,28,560.00,2.93,26.75,26.51,5.00,28
1800.00,1980.00,H10E_offRamp1,20,400.00,2.03,27.53,27.34,5.00,20
1980.00,2160.00,H10E_offRamp1,30,600.00,3.07,27.27,27.16,5.00,30
2160.00,2340.00,H10E_offRamp1,29,580.00,3.05,26.59,26.45,5.00,29
2340.00,2520.00,H10E_offRamp1,24,480.00,2.64,25.82,25.21,5.00,24
2520.00,2700.00,H10E_offRamp1,29,580.00,2.96,27.44,27.22,5.00,29
2700.00,2880.00,H10E_offRamp1,25,500.00,2.58,27.18,26.95,5.00,25
2880.00,3060.00,H10E_offRamp1,26,520.00,2.62,27.77,27.55,5.00,26
3060.00,3240.00,H10E_offRamp1,29,580.00,3.00,27.08,26.88,5.00,29
3240.00,3420.00,H10E_offRamp1,26,520.00,2.66,27.27,27.18,5.00,26
3420.00,3600.00,H10E_offRamp1,28,560.00,2.74,28.56,28.43,5.00,28
3600.00,3780.00,H10E_offRamp1,20,400.00,1.95,28.76,28.46,5.00,20
3780.00,3960.00,H10E_offRamp1,32,640.00,3.28,27.54,27.10,5.00,32
3960.00,4140.00,H10E_offRamp1,33,660.00,3.44,26.81,26.67,5.00,33
4140.00,4320.00,H10E_offRamp1,32,640.00,3.37,26.75,26.40,5.00,32
4320.00,4500.00,H10E_offRamp1,20,400.00,2.04,27.37,27.26,5.00,20
4500.00,4680.00,H10E_offRamp1,21,420.00,2.06,28.53,28.27,5.00,21
4680.00,4860.00,H10E_offRamp1,16,320.00,1.58,28.37,28.22,5.00,16
4860.00,5040.00,H10E_offRamp1,18,360.00,1.77,28.46,28.23,5.00,18
5040.00,5220.00,H10E_offRamp1,18,360.00,1.89,26.83,26.43,5.00,18
5220.00,5400.00,H10E_offRamp1,28,560.00,2.92,27.01,26.66,5.00,28
5400.00,5580.00,H10E_offRamp1,27,540.00,2.82,26.88,26.56,5.00,27
5580.00,5760.00,H10E_offRamp1,36,720.00,3.76,26.89,26.63,5.00,36
5760.00,5940.00,H10E_offRamp1,28,560.00,2.93,26.75,26.55,5.00,28
5940.00,6120.00,H10E_offRamp1,28,560.00,2.98,26.30,26.14,5.00,28
6120.00,6300.00,H10E_offRamp1,20,400.00,1.91,29.26,29.09,5.00,20
6300.00,6480.00,H10E_offRamp1,25,500.00,2.52,27.70,27.51,5.00,25
6480.00,6660.00,H10E_offRamp1,17,340.00,1.67,28.53,28.32,5.00,17
