begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10W_out_2,0,0.00,0.00,-1.00,-1.00,-1.00,0
180.00,360.00,H10W_out_2,35,700.00,2.90,33.72,33.57,5.00,35
360.00,540.00,H10W_out_2,51,1020.00,4.30,33.14,32.97,5.00,51
540.00,720.00,H10W_out_2,49,980.00,4.04,33.80,33.67,5.00,49
720.00,900.00,H10W_out_2,43,860.00,3.64,33.07,32.87,5.00,44
900.00,1080.00,H10W_out_2,42,840.00,3.54,33.04,32.92,5.00,42
1080.00,1260.00,H10W_out_2,46,920.00,3.79,33.83,33.72,5.00,46
1260.00,1440.00,H10W_out_2,42,840.00,3.53,33.17,33.01,5.00,42
1440.00,1620.00,H10W_out_2,49,980.00,4.08,33.49,33.38,5.00,49
1620.00,1800.00,H10W_out_2,50,1000.00,4.21,33.12,32.99,5.00,50
1800.00,1980.00,H10W_out_2,46,920.00,3.85,33.30,33.15,5.00,46
1980.00,2160.00,H10W_out_2,46,920.00,4.37,32.83,29.24,5.00,46
2160.00,2340.00,H10W_out_2,48,960.00,4.02,33.27,33.18,5.00,48
2340.00,2520.00,H10W_out_2,53,1060.00,4.42,33.50,33.31,5.00,53
2520.00,2700.00,H10W_out_2,56,1120.00,4.87,32.16,31.96,5.00,56
2700.00,2880.00,H10W_out_2,46,920.00,4.04,31.88,31.60,5.00,46
2880.00,3060.00,H10W_out_2,59,1180.00,4.96,33.09,33.02,5.00,59
3060.00,3240.00,H10W_out_2,56,1120.00,4.78,32.65,32.52,5.00,56
3240.00,3420.00,H10W_out_2,46,920.00,3.88,33.02,32.92,5.00,46
3420.00,3600.00,H10W_out_2,52,1040.00,4.90,32.51,29.47,5.00,52
3600.00,3780.00,H10W_out_2,45,900.00,3.81,32.97,32.85,5.00,45
3780.00,3960.00,H10W_out_2,51,1020.00,4.29,33.31,33.20,5.00,52
3960.00,4140.00,H10W_out_2,52,1040.00,4.40,32.94,32.82,5.00,52
4140.00,4320.00,H10W_out_2,58,1160.00,5.00,32.31,32.19,5.00,58
4320.00,4500.00,H10W_out_2,48,960.00,4.21,31.83,31.69,5.00,48
4500.00,4680.00,H10W_out_2,48,960.00,4.61,31.86,28.94,5.00,48
4680.00,4860.00,H10W_out_2,48,960.00,4.01,33.37,33.22,5.00,48
4860.00,5040.00,H10W_out_2,38,760.00,3.16,33.50,33.42,5.00,38
5040.00,5220.00,H10W_out_2,41,820.00,3.49,32.79,32.68,5.00,41
5220.00,5400.00,H10W_out_2,47,940.00,4.03,32.53,32.40,5.00,47
5400.00,5580.00,H10W_out_2,35,700.00,2.97,32.93,32.77,5.00,36
5580.00,5760.00,H10W_out_2,48,960.00,4.17,32.03,31.94,5.00,47
5760.00,5940.00,H10W_out_2,53,1060.00,4.61,32.00,31.93,5.00,53
5940.00,6120.00,H10W_out_2,44,880.00,3.95,31.02,30.94,5.00,44
6120.00,6300.00,H10W_out_2,49,980.00,4.27,32.06,31.88,5.00,49
6300.00,6480.00,H10W_out_2,41,820.00,3.59,31.77,31.69,5.00,41
6480.00,6660.00,H10W_out_2,43,860.00,3.72,32.31,32.12,5.00,43
6660.00,6840.00,H10W_out_2,38,760.00,3.35,32.25,32.16,5.00,39
6840.00,7020.00,H10W_out_2,42,840.00,3.54,33.09,32.99,5.00,42
7020.00,7200.00,H10W_out_2,39,780.00,3.31,32.84,32.73,5.00,39
7200.00,7380.00,H10W_out_2,39,780.00,3.32,32.68,32.62,5.00,39
7380.00,7560.00,H10W_out_2,43,860.00,3.71,32.30,32.21,5.00,43
7560.00,7740.00,H10W_out_2,43,860.00,3.79,31.98,31.89,5.00,44
7740.00,7920.00,H10W_out_2,42,840.00,3.58,32.71,32.63,5.00,42
7920.00,8100.00,H10W_out_2,44,880.00,3.81,32.24,32.09,5.00,44
8100.00,8280.00,H10W_out_2,46,920.00,4.46,31.89,28.63,5.00,46
8280.00,8460.00,H10W_out_2,46,920.00,4.51,31.50,28.31,5.00,46
8460.00,8640.00,H10W_out_2,40,800.00,3.38,32.97,32.87,5.00,40
8640.00,8820.00,H10W_out_2,40,800.00,3.44,32.45,32.33,5.00,40
8820.00,9000.00,H10W_out_2,47,940.00,4.19,31.23,31.15,5.00,47
9000.00,9180.00,H10W_out_2,36,720.00,3.11,32.26,32.14,5.00,36
9180.00,9360.00,H10W_out_2,41,820.00,3.57,32.01,31.93,5.00,41
9360.00,9540.00,H10W_out_2,38,760.00,3.24,32.72,32.59,5.00,38
9540.00,9720.00,H10W_out_2,40,800.00,3.49,31.90,31.81,5.00,40
9720.00,9900.00,H10W_out_2,48,960.00,4.10,32.69,32.55,5.00,48
9900.00,10080.00,H10W_out_2,44,880.00,3.86,31.77,31.68,5.00,44
10080.00,10260.00,H10W_out_2,48,960.00,4.10,32.60,32.48,5.00,48
10260.00,10440.00,H10W_out_2,48,960.00,4.11,32.58,32.44,5.00,48
10440.00,10620.00,H10W_out_2,45,900.00,3.84,32.67,32.57,5.00,45
10620.00,10800.00,H10W_out_2,46,920.00,4.02,31.92,31.81,5.00,46
10800.00,10980.00,H10W_out_2,48,960.00,4.21,31.73,31.67,5.00,48
10980.00,11160.00,H10W_out_2,45,900.00,3.85,32.66,32.47,5.00,45
11160.00,11340.00,H10W_out_2,61,1220.00,5.42,31.41,31.25,5.00,61
11340.00,11520.00,H10W_out_2,46,920.00,3.96,32.35,32.27,5.00,46
11520.00,11700.00,H10W_out_2,50,1000.00,4.34,32.07,31.98,5.00,50
11700.00,11880.00,H10W_out_2,34,680.00,2.89,32.79,32.70,5.00,34
11880.00,12060.00,H10W_out_2,53,1060.00,4.58,32.22,32.13,5.00,53
12060.00,12240.00,H10W_out_2,43,860.00,3.82,31.96,31.88,5.00,44
12240.00,12420.00,H10W_out_2,50,1000.00,4.29,32.46,32.35,5.00,50
12420.00,12600.00,H10W_out_2,47,940.00,4.57,31.54,28.59,5.00,47
12600.00,12780.00,H10W_out_2,52,1040.00,4.51,32.07,32.01,5.00,52
12780.00,12960.00,H10W_out_2,35,700.00,3.05,32.15,32.07,5.00,36
12960.00,13140.00,H10W_out_2,45,900.00,4.00,31.75,31.67,5.00,46
13140.00,13320.00,H10W_out_2,38,760.00,3.30,32.07,31.96,5.00,38
13320.00,13500.00,H10W_out_2,47,940.00,4.08,32.11,32.03,5.00,47
13500.00,13680.00,H10W_out_2,36,720.00,3.16,31.71,31.64,5.00,36
13680.00,13860.00,H10W_out_2,39,780.00,3.37,32.24,32.13,5.00,39
13860.00,14040.00,H10W_out_2,46,920.00,3.98,32.21,32.08,5.00,46
14040.00,14220.00,H10W_out_2,43,860.00,3.60,33.21,33.14,5.00,43
14220.00,14400.00,H10W_out_2,38,760.00,3.27,32.41,32.30,5.00,38
14400.00,14580.00,H10W_out_2,41,820.00,3.56,32.06,31.98,5.00,41
14580.00,14760.00,H10W_out_2,44,880.00,3.76,32.58,32.46,5.00,44
14760.00,14940.00,H10W_out_2,50,1000.00,4.34,32.11,31.98,5.00,50
14940.00,15120.00,H10W_out_2,47,940.00,4.06,32.29,32.17,5.00,47
15120.00,15300.00,H10W_out_2,46,920.00,3.97,32.38,32.21,5.00,46
15300.00,15480.00,H10W_out_2,42,840.00,3.56,32.87,32.81,5.00,42
15480.00,15660.00,H10W_out_2,38,760.00,3.32,31.94,31.83,5.00,38
15660.00,15840.00,H10W_out_2,52,1040.00,4.64,31.21,31.11,5.00,52
15840.00,16020.00,H10W_out_2,37,740.00,3.37,31.12,31.03,5.00,38
16020.00,16200.00,H10W_out_2,39,780.00,3.26,32.74,32.63,5.00,38
16200.00,16380.00,H10W_out_2,47,940.00,4.02,32.56,32.48,5.00,47
16380.00,16560.00,H10W_out_2,43,860.00,3.82,32.49,32.34,5.00,45
16560.00,16740.00,H10W_out_2,53,1060.00,4.52,32.24,32.13,5.00,53
16740.00,16920.00,H10W_out_2,39,780.00,3.47,31.18,31.11,5.00,38
16920.00,17100.00,H10W_out_2,34,680.00,2.94,32.23,32.16,5.00,34
17100.00,17280.00,H10W_out_2,47,940.00,4.12,32.19,32.07,5.00,48
17280.00,17460.00,H10W_out_2,51,1020.00,4.33,32.49,32.39,5.00,50
17460.00,17640.00,H10W_out_2,44,880.00,3.74,32.75,32.67,5.00,44
17640.00,17820.00,H10W_out_2,39,780.00,3.41,31.87,31.76,5.00,40
17820.00,18000.00,H10W_out_2,45,900.00,3.88,32.36,32.23,5.00,45
18000.00,18180.00,H10W_out_2,45,900.00,4.00,31.38,31.28,5.00,45
18180.00,18360.00,H10W_out_2,41,820.00,3.47,32.93,32.85,5.00,41
18360.00,18540.00,H10W_out_2,40,800.00,3.47,32.16,32.02,5.00,40
18540.00,18720.00,H10W_out_2,41,820.00,3.53,32.36,32.25,5.00,41
18720.00,18900.00,H10W_out_2,45,900.00,3.79,33.05,32.95,5.00,45
18900.00,19080.00,H10W_out_2,51,1020.00,4.50,31.63,31.45,5.00,51
19080.00,19260.00,H10W_out_2,37,740.00,3.22,31.98,31.88,5.00,37
19260.00,19440.00,H10W_out_2,45,900.00,3.84,32.67,32.56,5.00,45
19440.00,19620.00,H10W_out_2,51,1020.00,4.43,32.10,32.00,5.00,51
19620.00,19800.00,H10W_out_2,48,960.00,4.22,31.89,31.61,5.00,48
19800.00,19980.00,H10W_out_2,44,880.00,3.78,32.93,32.86,5.00,45
19980.00,20160.00,H10W_out_2,48,960.00,3.95,33.45,33.28,5.00,47
20160.00,20340.00,H10W_out_2,44,880.00,3.74,32.76,32.67,5.00,44
20340.00,20520.00,H10W_out_2,35,700.00,2.90,33.57,33.47,5.00,35
20520.00,20700.00,H10W_out_2,37,740.00,3.19,32.35,32.25,5.00,37
20700.00,20880.00,H10W_out_2,52,1040.00,4.45,32.58,32.47,5.00,52
20880.00,21060.00,H10W_out_2,49,980.00,4.24,32.16,32.08,5.00,49
21060.00,21240.00,H10W_out_2,39,780.00,3.38,32.18,32.08,5.00,39
21240.00,21420.00,H10W_out_2,50,1000.00,4.32,32.32,32.17,5.00,50
21420.00,21600.00,H10W_out_2,42,840.00,3.54,33.06,32.93,5.00,42
21600.00,21780.00,H10W_out_2,38,760.00,3.25,32.64,32.51,5.00,38
21780.00,21960.00,H10W_out_2,34,680.00,2.91,32.68,32.61,5.00,35
21960.00,22140.00,H10W_out_2,31,620.00,2.64,32.51,32.39,5.00,30
22140.00,22320.00,H10W_out_2,47,940.00,3.95,33.19,33.05,5.00,47
22320.00,22500.00,H10W_out_2,47,940.00,4.11,31.80,31.74,5.00,47
22500.00,22680.00,H10W_out_2,46,920.00,4.02,31.92,31.82,5.00,46
22680.00,22860.00,H10W_out_2,39,780.00,3.37,32.39,32.15,5.00,39
22860.00,23040.00,H10W_out_2,45,900.00,4.43,31.25,28.20,5.00,45
23040.00,23220.00,H10W_out_2,39,780.00,3.44,31.64,31.46,5.00,39
23220.00,23400.00,H10W_out_2,52,1040.00,5.11,31.22,28.52,5.00,53
23400.00,23580.00,H10W_out_2,54,1080.00,4.76,31.27,31.21,5.00,53
23580.00,23760.00,H10W_out_2,53,1060.00,4.56,32.37,32.26,5.00,53
23760.00,23940.00,H10W_out_2,38,760.00,3.83,31.99,28.07,5.00,39
23940.00,24120.00,H10W_out_2,40,800.00,3.44,32.34,32.27,5.00,40
24120.00,24300.00,H10W_out_2,51,1020.00,4.86,32.35,29.16,5.00,51
24300.00,24480.00,H10W_out_2,54,1080.00,4.72,31.88,31.77,5.00,54
24480.00,24660.00,H10W_out_2,45,900.00,3.80,32.98,32.86,5.00,45
24660.00,24840.00,H10W_out_2,39,780.00,3.31,32.84,32.72,5.00,39
24840.00,25020.00,H10W_out_2,40,800.00,3.49,32.05,31.88,5.00,40
25020.00,25200.00,H10W_out_2,47,940.00,4.14,31.64,31.51,5.00,47
25200.00,25380.00,H10W_out_2,47,940.00,4.20,31.20,31.11,5.00,47
25380.00,25560.00,H10W_out_2,43,860.00,3.72,32.17,32.10,5.00,43
25560.00,25740.00,H10W_out_2,37,740.00,3.22,32.00,31.88,5.00,37
25740.00,25920.00,H10W_out_2,50,1000.00,4.41,31.59,31.46,5.00,50
25920.00,26100.00,H10W_out_2,53,1060.00,4.57,32.33,32.24,5.00,53
26100.00,26280.00,H10W_out_2,41,820.00,3.45,33.04,32.99,5.00,41
26280.00,26460.00,H10W_out_2,55,1100.00,4.85,31.74,31.67,5.00,56
26460.00,26640.00,H10W_out_2,43,860.00,3.74,31.80,31.68,5.00,42
26640.00,26820.00,H10W_out_2,35,700.00,3.10,31.48,31.37,5.00,35
26820.00,27000.00,H10W_out_2,52,1040.00,4.57,31.72,31.62,5.00,52
27000.00,27180.00,H10W_out_2,47,940.00,4.01,32.68,32.55,5.00,47
27180.00,27360.00,H10W_out_2,48,960.00,4.18,31.98,31.89,5.00,48
27360.00,27540.00,H10W_out_2,40,800.00,3.50,31.80,31.71,5.00,40
27540.00,27720.00,H10W_out_2,52,1040.00,4.46,32.52,32.41,5.00,52
27720.00,27900.00,H10W_out_2,41,820.00,3.55,32.17,32.07,5.00,41
27900.00,28080.00,H10W_out_2,59,1180.00,5.14,32.03,31.90,5.00,59
28080.00,28260.00,H10W_out_2,47,940.00,4.14,31.65,31.55,5.00,47
28260.00,28440.00,H10W_out_2,39,780.00,3.85,31.75,28.10,5.00,39
28440.00,28620.00,H10W_out_2,56,1120.00,5.01,31.61,31.49,5.00,57
28620.00,28800.00,H10W_out_2,34,680.00,2.83,32.73,32.59,5.00,33
