begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15N_4_3,5,100.00,0.37,37.64,37.53,5.00,5
180.00,360.00,H15N_4_3,35,700.00,2.84,34.42,34.25,5.00,35
360.00,540.00,H15N_4_3,37,740.00,2.98,34.59,34.48,5.00,37
540.00,720.00,H15N_4_3,38,760.00,3.03,34.99,34.85,5.00,38
720.00,900.00,H15N_4_3,39,780.00,3.17,34.38,34.16,5.00,39
900.00,1080.00,H15N_4_3,39,780.00,3.31,33.62,33.48,5.00,40
1080.00,1260.00,H15N_4_3,34,680.00,2.76,34.41,34.20,5.00,34
1260.00,1440.00,H15N_4_3,45,900.00,3.74,33.46,33.38,5.00,45
1440.00,1620.00,H15N_4_3,44,880.00,3.49,35.10,35.00,5.00,44
1620.00,1800.00,H15N_4_3,40,800.00,3.34,33.67,33.56,5.00,41
1800.00,1980.00,H15N_4_3,42,840.00,3.37,34.43,34.31,5.00,41
1980.00,2160.00,H15N_4_3,26,520.00,2.04,35.56,35.36,5.00,26
2160.00,2340.00,H15N_4_3,39,780.00,3.16,34.44,34.28,5.00,39
2340.00,2520.00,H15N_4_3,43,860.00,3.53,34.01,33.85,5.00,43
2520.00,2700.00,H15N_4_3,38,760.00,3.07,34.55,34.43,5.00,38
2700.00,2880.00,H15N_4_3,39,780.00,3.14,34.66,34.50,5.00,39
2880.00,3060.00,H15N_4_3,35,700.00,2.81,34.75,34.63,5.00,35
3060.00,3240.00,H15N_4_3,37,740.00,3.01,34.34,34.17,5.00,37
3240.00,3420.00,H15N_4_3,46,920.00,3.76,34.05,33.94,5.00,46
3420.00,3600.00,H15N_4_3,33,660.00,2.67,34.46,34.37,5.00,33
3600.00,3780.00,H15N_4_3,40,800.00,3.32,33.54,33.46,5.00,40
3780.00,3960.00,H15N_4_3,35,700.00,2.86,34.18,34.02,5.00,35
3960.00,4140.00,H15N_4_3,28,560.00,2.22,35.19,34.99,5.00,28
4140.00,4320.00,H15N_4_3,28,560.00,2.25,34.69,34.57,5.00,28
4320.00,4500.00,H15N_4_3,41,820.00,3.33,34.39,34.19,5.00,41
4500.00,4680.00,H15N_4_3,34,680.00,2.76,34.36,34.22,5.00,34
4680.00,4860.00,H15N_4_3,38,760.00,3.07,34.46,34.34,5.00,38
4860.00,5040.00,H15N_4_3,41,820.00,3.34,34.23,34.13,5.00,41
5040.00,5220.00,H15N_4_3,36,720.00,3.41,34.28,29.29,5.00,36
5220.00,5400.00,H15N_4_3,32,640.00,2.64,33.72,33.61,5.00,32
5400.00,5580.00,H15N_4_3,47,940.00,3.90,33.56,33.45,5.00,47
5580.00,5760.00,H15N_4_3,40,800.00,3.31,33.84,33.61,5.00,40
5760.00,5940.00,H15N_4_3,50,1000.00,4.15,33.61,33.48,5.00,50
5940.00,6120.00,H15N_4_3,44,880.00,3.54,34.64,34.52,5.00,44
6120.00,6300.00,H15N_4_3,35,700.00,2.83,34.45,34.30,5.00,35
6300.00,6480.00,H15N_4_3,44,880.00,3.59,34.11,34.03,5.00,44
6480.00,6660.00,H15N_4_3,33,660.00,2.70,34.09,33.97,5.00,33
6660.00,6840.00,H15N_4_3,31,620.00,2.53,34.22,33.98,5.00,31
6840.00,7020.00,H15N_4_3,44,880.00,3.60,34.22,33.98,5.00,45
7020.00,7200.00,H15N_4_3,39,780.00,3.24,33.59,33.44,5.00,39
7200.00,7380.00,H15N_4_3,21,420.00,1.67,35.11,34.97,5.00,21
7380.00,7560.00,H15N_4_3,31,620.00,2.55,33.92,33.80,5.00,31
7560.00,7740.00,H15N_4_3,34,680.00,2.81,33.69,33.58,5.00,34
7740.00,7920.00,H15N_4_3,37,740.00,3.11,33.26,33.09,5.00,37
7920.00,8100.00,H15N_4_3,23,460.00,1.86,34.43,34.27,5.00,23
8100.00,8280.00,H15N_4_3,37,740.00,3.02,34.08,34.00,5.00,37
8280.00,8460.00,H15N_4_3,32,640.00,2.58,34.60,34.51,5.00,32
8460.00,8640.00,H15N_4_3,22,440.00,1.73,35.35,35.24,5.00,22
