begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15N_offRamp1,7,140.00,0.68,28.74,28.57,5.00,7
180.00,360.00,H15N_offRamp1,32,640.00,3.36,26.74,26.42,5.00,32
360.00,540.00,H15N_offRamp1,36,720.00,3.69,27.27,27.10,5.00,36
540.00,720.00,H15N_offRamp1,33,660.00,3.54,26.42,25.89,5.00,33
720.00,900.00,H15N_offRamp1,30,600.00,3.14,26.85,26.56,5.00,30
900.00,1080.00,H15N_offRamp1,31,620.00,3.22,27.08,26.73,5.00,31
1080.00,1260.00,H15N_offRamp1,33,660.00,3.51,26.36,26.11,5.00,33
1260.00,1440.00,H15N_offRamp1,29,580.00,2.90,27.99,27.78,5.00,29
1440.00,1620.00,H15N_offRamp1,33,660.00,3.39,27.35,27.01,5.00,33
1620.00,1800.00,H15N_offRamp1,32,640.00,3.38,26.68,26.32,5.00,32
1800.00,1980.00,H15N_offRamp1,36,720.00,3.91,26.12,25.57,5.00,36
1980.00,2160.00,H15N_offRamp1,31,620.00,3.33,26.20,25.86,5.00,31
2160.00,2340.00,H15N_offRamp1,29,580.00,2.95,27.67,27.28,5.00,29
2340.00,2520.00,H15N_offRamp1,37,740.00,3.84,27.03,26.76,5.00,37
2520.00,2700.00,H15N_offRamp1,31,620.00,3.47,25.38,24.84,5.00,31
2700.00,2880.00,H15N_offRamp1,34,680.00,3.38,28.15,27.92,5.00,34
2880.00,3060.00,H15N_offRamp1,35,700.00,3.48,28.06,27.90,5.00,35
3060.00,3240.00,H15N_offRamp1,26,520.00,2.67,27.43,27.08,5.00,26
3240.00,3420.00,H15N_offRamp1,40,800.00,4.16,26.93,26.71,5.00,40
3420.00,3600.00,H15N_offRamp1,37,740.00,3.86,26.89,26.59,5.00,37
3600.00,3780.00,H15N_offRamp1,29,580.00,2.91,27.88,27.64,5.00,29
3780.00,3960.00,H15N_offRamp1,29,580.00,3.29,25.49,25.01,5.00,30
3960.00,4140.00,H15N_offRamp1,36,720.00,3.44,28.68,28.44,5.00,35
4140.00,4320.00,H15N_offRamp1,32,640.00,3.19,28.13,27.85,5.00,32
4320.00,4500.00,H15N_offRamp1,36,720.00,3.70,27.28,27.01,5.00,36
4500.00,4680.00,H15N_offRamp1,32,640.00,3.41,26.37,26.09,5.00,32
4680.00,4860.00,H15N_offRamp1,28,560.00,2.91,27.00,26.76,5.00,28
4860.00,5040.00,H15N_offRamp1,32,640.00,3.35,26.75,26.50,5.00,32
5040.00,5220.00,H15N_offRamp1,19,380.00,1.98,26.86,26.63,5.00,19
5220.00,5400.00,H15N_offRamp1,37,740.00,3.78,27.45,27.22,5.00,37
5400.00,5580.00,H15N_offRamp1,30,600.00,3.14,26.94,26.55,5.00,30
5580.00,5760.00,H15N_offRamp1,33,660.00,3.52,26.31,26.07,5.00,33
5760.00,5940.00,H15N_offRamp1,33,660.00,3.45,27.02,26.57,5.00,33
5940.00,6120.00,H15N_offRamp1,33,660.00,3.31,27.91,27.71,5.00,33
6120.00,6300.00,H15N_offRamp1,30,600.00,3.10,27.11,26.89,5.00,30
