begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15N_out_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
180.00,360.00,H15N_out_3,37,740.00,2.95,34.90,34.82,5.00,37
360.00,540.00,H15N_out_3,50,1000.00,4.17,33.99,33.86,5.00,51
540.00,720.00,H15N_out_3,59,1180.00,4.73,34.28,34.16,5.00,58
720.00,900.00,H15N_out_3,49,980.00,3.87,35.30,35.17,5.00,49
900.00,1080.00,H15N_out_3,50,1000.00,4.18,33.34,33.21,5.00,50
1080.00,1260.00,H15N_out_3,48,960.00,3.95,33.90,33.77,5.00,48
1260.00,1440.00,H15N_out_3,48,960.00,3.98,33.63,33.48,5.00,48
1440.00,1620.00,H15N_out_3,43,860.00,3.40,35.19,35.13,5.00,43
1620.00,1800.00,H15N_out_3,46,920.00,3.71,34.51,34.42,5.00,46
1800.00,1980.00,H15N_out_3,50,1000.00,4.12,33.85,33.73,5.00,50
1980.00,2160.00,H15N_out_3,44,880.00,3.46,35.46,35.32,5.00,44
2160.00,2340.00,H15N_out_3,46,920.00,3.71,34.54,34.40,5.00,46
2340.00,2520.00,H15N_out_3,54,1080.00,4.46,33.73,33.61,5.00,54
2520.00,2700.00,H15N_out_3,45,900.00,3.59,35.02,34.84,5.00,45
2700.00,2880.00,H15N_out_3,51,1020.00,4.02,35.31,35.23,5.00,51
2880.00,3060.00,H15N_out_3,56,1120.00,4.62,33.82,33.66,5.00,56
3060.00,3240.00,H15N_out_3,58,1160.00,4.74,34.13,33.98,5.00,58
3240.00,3420.00,H15N_out_3,50,1000.00,4.09,34.10,33.94,5.00,50
3420.00,3600.00,H15N_out_3,51,1020.00,4.09,34.77,34.60,5.00,51
3600.00,3780.00,H15N_out_3,53,1060.00,4.28,34.47,34.36,5.00,53
3780.00,3960.00,H15N_out_3,44,880.00,3.62,33.92,33.80,5.00,44
3960.00,4140.00,H15N_out_3,45,900.00,4.14,34.14,30.16,5.00,45
4140.00,4320.00,H15N_out_3,44,880.00,3.60,34.06,33.98,5.00,44
4320.00,4500.00,H15N_out_3,49,980.00,3.86,35.40,35.27,5.00,49
4500.00,4680.00,H15N_out_3,53,1060.00,4.26,34.69,34.56,5.00,53
4680.00,4860.00,H15N_out_3,45,900.00,3.54,35.38,35.27,5.00,45
4860.00,5040.00,H15N_out_3,55,1100.00,4.42,34.63,34.55,5.00,55
5040.00,5220.00,H15N_out_3,47,940.00,3.83,34.26,34.13,5.00,47
5220.00,5400.00,H15N_out_3,40,800.00,3.28,33.95,33.83,5.00,40
5400.00,5580.00,H15N_out_3,42,840.00,3.47,33.67,33.59,5.00,42
5580.00,5760.00,H15N_out_3,45,900.00,3.68,34.19,34.01,5.00,45
5760.00,5940.00,H15N_out_3,50,1000.00,4.11,34.03,33.82,5.00,50
5940.00,6120.00,H15N_out_3,68,1360.00,5.72,33.14,33.01,5.00,68
6120.00,6300.00,H15N_out_3,54,1080.00,4.42,34.15,33.97,5.00,54
6300.00,6480.00,H15N_out_3,46,920.00,3.76,34.10,33.94,5.00,46
6480.00,6660.00,H15N_out_3,43,860.00,3.52,34.10,33.96,5.00,43
6660.00,6840.00,H15N_out_3,53,1060.00,4.26,34.75,34.55,5.00,53
6840.00,7020.00,H15N_out_3,38,760.00,3.11,34.29,33.99,5.00,38
7020.00,7200.00,H15N_out_3,64,1280.00,5.28,33.79,33.65,5.00,64
7200.00,7380.00,H15N_out_3,31,620.00,2.47,35.06,34.89,5.00,31
7380.00,7560.00,H15N_out_3,27,540.00,2.15,34.96,34.82,5.00,27
7560.00,7740.00,H15N_out_3,34,680.00,2.76,34.37,34.27,5.00,34
7740.00,7920.00,H15N_out_3,47,940.00,3.87,33.92,33.75,5.00,47
7920.00,8100.00,H15N_out_3,33,660.00,2.68,34.46,34.20,5.00,33
8100.00,8280.00,H15N_out_3,40,800.00,3.17,35.24,35.07,5.00,40
8280.00,8460.00,H15N_out_3,36,720.00,2.93,34.23,34.07,5.00,36
8460.00,8640.00,H15N_out_3,31,620.00,2.45,35.18,35.08,5.00,31
8640.00,8820.00,H15N_out_3,39,780.00,3.03,35.81,35.70,5.00,39
8820.00,9000.00,H15N_out_3,58,1160.00,4.74,34.10,33.98,5.00,58
9000.00,9180.00,H15N_out_3,78,1560.00,6.54,33.27,33.14,5.00,78
9180.00,9360.00,H15N_out_3,42,840.00,3.43,34.19,34.06,5.00,42
9360.00,9540.00,H15N_out_3,48,960.00,4.42,33.39,30.19,5.00,48
9540.00,9720.00,H15N_out_3,31,620.00,2.45,35.28,35.18,5.00,31
9720.00,9900.00,H15N_out_3,32,640.00,2.58,34.68,34.44,5.00,32
9900.00,10080.00,H15N_out_3,33,660.00,2.61,35.45,35.35,5.00,34
10080.00,10260.00,H15N_out_3,25,500.00,1.99,35.07,34.98,5.00,25
10260.00,10440.00,H15N_out_3,40,800.00,3.25,34.26,34.15,5.00,40
10440.00,10620.00,H15N_out_3,30,600.00,2.40,34.88,34.72,5.00,30
10620.00,10800.00,H15N_out_3,37,740.00,2.94,35.09,34.94,5.00,37
10800.00,10980.00,H15N_out_3,30,600.00,2.42,34.59,34.40,5.00,30
10980.00,11160.00,H15N_out_3,45,900.00,3.71,33.86,33.73,5.00,45
11160.00,11340.00,H15N_out_3,50,1000.00,4.06,34.27,34.17,5.00,50
11340.00,11520.00,H15N_out_3,50,1000.00,4.07,34.29,34.13,5.00,50
11520.00,11700.00,H15N_out_3,50,1000.00,3.99,34.92,34.82,5.00,50
11700.00,11880.00,H15N_out_3,40,800.00,3.20,34.86,34.75,5.00,40
11880.00,12060.00,H15N_out_3,34,680.00,2.71,35.10,34.89,5.00,34
12060.00,12240.00,H15N_out_3,36,720.00,3.43,33.38,29.18,5.00,36
12240.00,12420.00,H15N_out_3,38,760.00,3.03,34.91,34.80,5.00,38
12420.00,12600.00,H15N_out_3,29,580.00,2.37,34.20,33.97,5.00,29
12600.00,12780.00,H15N_out_3,47,940.00,4.00,33.11,32.65,5.00,47
12780.00,12960.00,H15N_out_3,53,1060.00,4.30,34.32,34.23,5.00,53
12960.00,13140.00,H15N_out_3,40,800.00,3.24,34.53,34.28,5.00,40
13140.00,13320.00,H15N_out_3,56,1120.00,4.56,34.23,34.12,5.00,56
13320.00,13500.00,H15N_out_3,58,1160.00,4.74,34.16,34.02,5.00,58
13500.00,13680.00,H15N_out_3,51,1020.00,4.26,33.47,33.23,5.00,51
13680.00,13860.00,H15N_out_3,56,1120.00,4.53,34.39,34.31,5.00,56
13860.00,14040.00,H15N_out_3,44,880.00,3.51,34.93,34.86,5.00,44
14040.00,14220.00,H15N_out_3,39,780.00,3.17,34.34,34.18,5.00,39
14220.00,14400.00,H15N_out_3,30,600.00,2.89,34.28,28.87,5.00,30
14400.00,14580.00,H15N_out_3,36,720.00,2.87,35.02,34.85,5.00,36
14580.00,14760.00,H15N_out_3,35,700.00,2.78,35.08,34.97,5.00,35
14760.00,14940.00,H15N_out_3,26,520.00,2.13,34.91,34.85,5.00,27
14940.00,15120.00,H15N_out_3,34,680.00,2.69,35.21,35.12,5.00,34
15120.00,15300.00,H15N_out_3,26,520.00,2.08,34.91,34.77,5.00,26
15300.00,15480.00,H15N_out_3,31,620.00,2.46,35.10,34.96,5.00,31
15480.00,15660.00,H15N_out_3,32,640.00,2.47,36.14,35.93,5.00,32
15660.00,15840.00,H15N_out_3,35,700.00,2.80,34.80,34.67,5.00,35
15840.00,16020.00,H15N_out_3,55,1100.00,4.43,34.56,34.47,5.00,55
16020.00,16200.00,H15N_out_3,52,1040.00,4.26,34.08,33.93,5.00,52
16200.00,16380.00,H15N_out_3,55,1100.00,4.43,34.61,34.46,5.00,55
16380.00,16560.00,H15N_out_3,39,780.00,3.19,34.08,33.94,5.00,39
16560.00,16740.00,H15N_out_3,45,900.00,3.61,34.71,34.59,5.00,45
16740.00,16920.00,H15N_out_3,33,660.00,2.57,35.82,35.72,5.00,33
16920.00,17100.00,H15N_out_3,28,560.00,2.18,35.92,35.72,5.00,28
17100.00,17280.00,H15N_out_3,19,380.00,1.52,34.92,34.80,5.00,19
17280.00,17460.00,H15N_out_3,35,700.00,2.84,34.37,34.25,5.00,35
17460.00,17640.00,H15N_out_3,46,920.00,3.75,34.24,34.11,5.00,46
17640.00,17820.00,H15N_out_3,34,680.00,2.70,35.13,34.96,5.00,34
17820.00,18000.00,H15N_out_3,27,540.00,2.17,34.74,34.62,5.00,27
18000.00,18180.00,H15N_out_3,30,600.00,2.92,34.38,28.62,5.00,31
18180.00,18360.00,H15N_out_3,19,380.00,1.56,34.00,33.79,5.00,19
18360.00,18540.00,H15N_out_3,48,960.00,3.80,35.24,35.08,5.00,48
18540.00,18720.00,H15N_out_3,46,920.00,3.76,34.13,33.95,5.00,46
18720.00,18900.00,H15N_out_3,39,780.00,3.17,34.27,34.15,5.00,39
18900.00,19080.00,H15N_out_3,38,760.00,3.06,34.56,34.47,5.00,38
19080.00,19260.00,H15N_out_3,23,460.00,1.81,35.34,35.25,5.00,23
19260.00,19440.00,H15N_out_3,36,720.00,2.82,35.58,35.49,5.00,36
19440.00,19620.00,H15N_out_3,42,840.00,3.36,34.90,34.75,5.00,42
19620.00,19800.00,H15N_out_3,31,620.00,2.45,35.23,35.10,5.00,31
19800.00,19980.00,H15N_out_3,43,860.00,3.50,34.29,34.15,5.00,43
19980.00,20160.00,H15N_out_3,37,740.00,2.98,34.64,34.47,5.00,37
20160.00,20340.00,H15N_out_3,27,540.00,2.16,34.93,34.72,5.00,27
20340.00,20520.00,H15N_out_3,37,740.00,2.98,34.88,34.80,5.00,38
20520.00,20700.00,H15N_out_3,43,860.00,3.92,34.16,30.31,5.00,42
20700.00,20880.00,H15N_out_3,46,920.00,3.75,34.24,34.10,5.00,46
20880.00,21060.00,H15N_out_3,46,920.00,3.77,34.00,33.88,5.00,46
21060.00,21240.00,H15N_out_3,39,780.00,3.09,35.17,35.10,5.00,39
21240.00,21420.00,H15N_out_3,28,560.00,2.24,34.84,34.77,5.00,28
21420.00,21600.00,H15N_out_3,27,540.00,2.14,35.11,34.98,5.00,27
21600.00,21780.00,H15N_out_3,26,520.00,2.05,35.34,35.29,5.00,26
21780.00,21960.00,H15N_out_3,30,600.00,2.33,35.84,35.74,5.00,30
21960.00,22140.00,H15N_out_3,31,620.00,2.93,34.97,29.43,5.00,31
22140.00,22320.00,H15N_out_3,56,1120.00,4.68,33.40,33.25,5.00,56
22320.00,22500.00,H15N_out_3,35,700.00,2.82,34.54,34.44,5.00,35
22500.00,22680.00,H15N_out_3,32,640.00,2.44,36.62,36.49,5.00,32
22680.00,22860.00,H15N_out_3,31,620.00,2.49,34.72,34.57,5.00,31
22860.00,23040.00,H15N_out_3,42,840.00,3.35,34.91,34.79,5.00,42
23040.00,23220.00,H15N_out_3,42,840.00,3.51,33.41,33.20,5.00,42
23220.00,23400.00,H15N_out_3,30,600.00,2.38,35.05,34.95,5.00,30
23400.00,23580.00,H15N_out_3,49,980.00,3.94,34.68,34.56,5.00,49
23580.00,23760.00,H15N_out_3,48,960.00,3.91,34.27,34.11,5.00,48
23760.00,23940.00,H15N_out_3,39,780.00,3.08,35.32,35.18,5.00,39
23940.00,24120.00,H15N_out_3,37,740.00,2.96,34.78,34.67,5.00,37
24120.00,24300.00,H15N_out_3,36,720.00,2.90,34.58,34.48,5.00,36
24300.00,24480.00,H15N_out_3,38,760.00,3.11,34.08,33.89,5.00,38
24480.00,24660.00,H15N_out_3,34,680.00,2.77,34.23,34.09,5.00,34
24660.00,24840.00,H15N_out_3,28,560.00,2.19,35.78,35.59,5.00,28
24840.00,25020.00,H15N_out_3,49,980.00,4.07,33.48,33.41,5.00,49
25020.00,25200.00,H15N_out_3,59,1180.00,4.79,34.31,34.20,5.00,59
25200.00,25380.00,H15N_out_3,37,740.00,2.96,34.84,34.70,5.00,37
25380.00,25560.00,H15N_out_3,28,560.00,2.13,36.66,36.54,5.00,28
25560.00,25740.00,H15N_out_3,43,860.00,3.42,35.06,34.96,5.00,43
25740.00,25920.00,H15N_out_3,39,780.00,3.21,33.87,33.76,5.00,39
25920.00,26100.00,H15N_out_3,44,880.00,3.50,35.14,34.91,5.00,44
26100.00,26280.00,H15N_out_3,28,560.00,2.19,35.69,35.53,5.00,28
26280.00,26460.00,H15N_out_3,27,540.00,2.09,35.93,35.83,5.00,27
26460.00,26640.00,H15N_out_3,37,740.00,2.96,34.83,34.75,5.00,37
26640.00,26820.00,H15N_out_3,46,920.00,3.73,34.37,34.29,5.00,46
26820.00,27000.00,H15N_out_3,51,1020.00,4.14,34.40,34.19,5.00,51
27000.00,27180.00,H15N_out_3,37,740.00,2.89,35.62,35.55,5.00,37
27180.00,27360.00,H15N_out_3,40,800.00,3.26,34.26,34.12,5.00,40
27360.00,27540.00,H15N_out_3,40,800.00,3.23,34.81,34.66,5.00,41
27540.00,27720.00,H15N_out_3,37,740.00,2.92,35.00,34.84,5.00,36
27720.00,27900.00,H15N_out_3,39,780.00,3.66,33.66,29.63,5.00,39
27900.00,28080.00,H15N_out_3,34,680.00,2.78,34.21,34.02,5.00,34
28080.00,28260.00,H15N_out_3,34,680.00,2.76,34.28,34.22,5.00,34
28260.00,28440.00,H15N_out_3,37,740.00,2.97,34.65,34.58,5.00,37
28440.00,28620.00,H15N_out_3,32,640.00,3.02,34.62,29.47,5.00,32
28620.00,28800.00,H15N_out_3,29,580.00,2.36,34.28,34.09,5.00,29
