begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15S_2_0,23,460.00,2.43,27.03,26.34,5.00,23
180.00,360.00,H15S_2_0,44,880.00,5.08,26.52,24.07,5.00,44
360.00,540.00,H15S_2_0,38,760.00,4.37,26.97,24.18,5.00,38
540.00,720.00,H15S_2_0,45,900.00,5.68,26.07,22.02,5.00,45
720.00,900.00,H15S_2_0,45,900.00,4.52,27.85,27.65,5.00,45
900.00,1080.00,H15S_2_0,38,760.00,4.86,26.29,21.73,5.00,38
1080.00,1260.00,H15S_2_0,41,820.00,4.35,26.33,26.18,5.00,41
1260.00,1440.00,H15S_2_0,41,820.00,4.73,26.62,24.06,5.00,41
1440.00,1620.00,H15S_2_0,40,800.00,4.13,27.26,26.93,5.00,40
1620.00,1800.00,H15S_2_0,58,1160.00,6.50,26.67,24.78,5.00,58
1800.00,1980.00,H15S_2_0,38,760.00,3.77,28.22,28.01,5.00,38
1980.00,2160.00,H15S_2_0,42,840.00,4.44,26.45,26.30,5.00,42
2160.00,2340.00,H15S_2_0,46,920.00,5.33,25.97,23.98,5.00,46
2340.00,2520.00,H15S_2_0,44,880.00,4.63,26.65,26.42,5.00,44
2520.00,2700.00,H15S_2_0,55,1100.00,5.60,27.62,27.28,5.00,55
2700.00,2880.00,H15S_2_0,45,900.00,5.01,27.10,24.94,5.00,45
2880.00,3060.00,H15S_2_0,47,940.00,4.64,28.29,28.13,5.00,47
3060.00,3240.00,H15S_2_0,44,880.00,5.24,25.85,23.34,5.00,44
3240.00,3420.00,H15S_2_0,38,760.00,3.97,26.79,26.61,5.00,38
3420.00,3600.00,H15S_2_0,50,1000.00,5.64,26.69,24.64,5.00,50
3600.00,3780.00,H15S_2_0,60,1200.00,6.31,26.73,26.40,5.00,60
3780.00,3960.00,H15S_2_0,61,1220.00,7.84,24.58,21.62,5.00,61
3960.00,4140.00,H15S_2_0,41,820.00,4.50,25.75,25.29,5.00,41
4140.00,4320.00,H15S_2_0,47,940.00,5.45,26.09,23.96,5.00,47
4320.00,4500.00,H15S_2_0,40,800.00,4.43,25.53,25.06,5.00,40
4500.00,4680.00,H15S_2_0,51,1020.00,5.57,25.71,25.44,5.00,51
4680.00,4860.00,H15S_2_0,86,1720.00,9.93,24.85,24.05,5.00,86
4860.00,5040.00,H15S_2_0,52,1040.00,42.85,7.13,3.37,5.00,52
5040.00,5220.00,H15S_2_0,40,800.00,49.05,6.21,2.27,5.00,40
