begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15S_offRamp1,4,80.00,0.39,28.66,28.61,5.00,4
180.00,360.00,H15S_offRamp1,9,180.00,0.90,28.41,27.86,5.00,9
360.00,540.00,H15S_offRamp1,8,160.00,0.88,25.63,25.32,5.00,8
540.00,720.00,H15S_offRamp1,8,160.00,0.80,28.05,27.89,5.00,8
720.00,900.00,H15S_offRamp1,5,100.00,0.49,28.47,28.16,5.00,5
900.00,1080.00,H15S_offRamp1,6,120.00,0.63,26.65,26.32,5.00,6
1080.00,1260.00,H15S_offRamp1,8,160.00,0.83,27.04,26.75,5.00,8
1260.00,1440.00,H15S_offRamp1,8,160.00,0.81,27.67,27.41,5.00,8
1440.00,1620.00,H15S_offRamp1,6,120.00,0.56,29.93,29.55,5.00,6
1620.00,1800.00,H15S_offRamp1,7,140.00,0.71,27.42,27.29,5.00,7
1800.00,1980.00,H15S_offRamp1,7,140.00,0.68,28.82,28.51,5.00,7
1980.00,2160.00,H15S_offRamp1,7,140.00,0.68,28.98,28.59,5.00,7
2160.00,2340.00,H15S_offRamp1,6,120.00,0.62,27.10,26.71,5.00,6
2340.00,2520.00,H15S_offRamp1,9,180.00,0.93,27.20,26.97,5.00,9
2520.00,2700.00,H15S_offRamp1,5,100.00,0.53,26.78,26.35,5.00,5
2700.00,2880.00,H15S_offRamp1,8,160.00,0.79,28.18,28.16,5.00,8
2880.00,3060.00,H15S_offRamp1,7,140.00,0.69,28.74,28.22,5.00,7
3060.00,3240.00,H15S_offRamp1,6,120.00,0.59,28.13,28.03,5.00,6
3240.00,3420.00,H15S_offRamp1,5,100.00,0.50,28.00,27.73,5.00,5
3420.00,3600.00,H15S_offRamp1,9,180.00,0.96,26.35,26.14,5.00,9
3600.00,3780.00,H15S_offRamp1,8,160.00,0.84,26.59,26.36,5.00,8
3780.00,3960.00,H15S_offRamp1,8,160.00,0.83,26.94,26.77,5.00,8
3960.00,4140.00,H15S_offRamp1,7,140.00,0.70,27.98,27.64,5.00,7
4140.00,4320.00,H15S_offRamp1,7,140.00,0.84,24.17,23.17,5.00,7
4320.00,4500.00,H15S_offRamp1,8,160.00,0.84,26.84,26.32,5.00,8
4500.00,4680.00,H15S_offRamp1,8,160.00,0.88,25.67,25.30,5.00,8
4680.00,4860.00,H15S_offRamp1,7,140.00,0.73,26.72,26.62,5.00,7
4860.00,5040.00,H15S_offRamp1,9,180.00,0.97,26.33,25.72,5.00,9
5040.00,5220.00,H15S_offRamp1,7,140.00,0.88,22.91,22.01,5.00,7
5220.00,5400.00,H15S_offRamp1,8,160.00,1.26,17.78,17.64,5.00,8
5400.00,5580.00,H15S_offRamp1,8,160.00,0.78,28.74,28.63,5.00,8
5580.00,5760.00,H15S_offRamp1,4,80.00,0.45,24.98,24.72,5.00,4
5760.00,5940.00,H15S_offRamp1,7,140.00,0.77,25.66,25.23,5.00,7
