begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20E_2_1,21,420.00,1.86,31.67,31.41,5.00,21
180.00,360.00,H20E_2_1,35,700.00,3.15,31.16,30.83,5.00,35
360.00,540.00,H20E_2_1,30,600.00,2.81,30.03,29.70,5.00,30
540.00,720.00,H20E_2_1,34,680.00,3.17,30.15,29.77,5.00,34
720.00,900.00,H20E_2_1,36,720.00,3.37,29.89,29.63,5.00,36
900.00,1080.00,H20E_2_1,39,780.00,3.64,30.27,29.76,5.00,39
1080.00,1260.00,H20E_2_1,29,580.00,2.69,30.20,29.99,5.00,29
1260.00,1440.00,H20E_2_1,33,660.00,3.47,30.65,26.43,5.00,33
1440.00,1620.00,H20E_2_1,35,700.00,3.36,29.31,28.98,5.00,35
1620.00,1800.00,H20E_2_1,31,620.00,2.84,30.56,30.37,5.00,31
1800.00,1980.00,H20E_2_1,36,720.00,3.30,30.46,30.26,5.00,36
1980.00,2160.00,H20E_2_1,38,760.00,3.54,30.11,29.85,5.00,38
2160.00,2340.00,H20E_2_1,40,800.00,3.63,30.86,30.62,5.00,40
2340.00,2520.00,H20E_2_1,34,680.00,3.05,31.16,30.99,5.00,34
2520.00,2700.00,H20E_2_1,40,800.00,3.71,30.23,30.01,5.00,41
2700.00,2880.00,H20E_2_1,38,760.00,3.57,29.72,29.52,5.00,37
2880.00,3060.00,H20E_2_1,35,700.00,3.18,30.96,30.56,5.00,35
3060.00,3240.00,H20E_2_1,42,840.00,3.81,30.87,30.66,5.00,42
3240.00,3420.00,H20E_2_1,36,720.00,3.23,31.31,30.95,5.00,36
3420.00,3600.00,H20E_2_1,36,720.00,3.34,30.31,29.95,5.00,36
3600.00,3780.00,H20E_2_1,34,680.00,3.28,29.27,28.81,5.00,34
3780.00,3960.00,H20E_2_1,33,660.00,3.01,30.69,30.46,5.00,33
3960.00,4140.00,H20E_2_1,39,780.00,3.55,30.68,30.49,5.00,39
4140.00,4320.00,H20E_2_1,39,780.00,3.52,31.05,30.82,5.00,39
4320.00,4500.00,H20E_2_1,40,800.00,3.67,30.58,30.29,5.00,40
4500.00,4680.00,H20E_2_1,41,820.00,4.17,30.84,27.28,5.00,41
4680.00,4860.00,H20E_2_1,57,1140.00,5.28,30.34,29.98,5.00,57
4860.00,5040.00,H20E_2_1,50,1000.00,8.61,23.42,16.14,5.00,50
5040.00,5220.00,H20E_2_1,39,780.00,12.75,26.10,12.61,5.00,40
5220.00,5400.00,H20E_2_1,30,600.00,2.82,30.11,29.56,5.00,30
5400.00,5580.00,H20E_2_1,8,160.00,0.77,29.42,28.93,5.00,8
5580.00,5760.00,H20E_2_1,24,480.00,2.11,31.78,31.60,5.00,24
5760.00,5940.00,H20E_2_1,37,740.00,3.32,31.20,30.98,5.00,37
5940.00,6120.00,H20E_2_1,35,700.00,3.17,31.03,30.62,5.00,35
6120.00,6300.00,H20E_2_1,32,640.00,2.82,31.79,31.51,5.00,32
6300.00,6480.00,H20E_2_1,35,700.00,3.24,30.71,30.08,5.00,36
6480.00,6660.00,H20E_2_1,56,1120.00,5.14,30.99,30.66,5.00,57
6660.00,6840.00,H20E_2_1,51,1020.00,55.40,22.37,2.55,5.00,50
6840.00,7020.00,H20E_2_1,34,680.00,3.82,26.27,25.15,5.00,35
7020.00,7200.00,H20E_2_1,40,800.00,3.53,31.75,31.47,5.00,40
7200.00,7380.00,H20E_2_1,18,360.00,1.69,29.90,29.56,5.00,18
7380.00,7560.00,H20E_2_1,23,460.00,2.07,31.24,30.92,5.00,23
7560.00,7740.00,H20E_2_1,17,340.00,1.44,32.96,32.77,5.00,17
7740.00,7920.00,H20E_2_1,29,580.00,2.61,31.15,30.85,5.00,29
7920.00,8100.00,H20E_2_1,40,800.00,3.76,29.93,29.59,5.00,40
8100.00,8280.00,H20E_2_1,34,680.00,3.11,30.52,30.34,5.00,34
8280.00,8460.00,H20E_2_1,36,720.00,3.46,29.51,29.30,5.00,37
8460.00,8640.00,H20E_2_1,39,780.00,3.76,29.41,28.80,5.00,39
8640.00,8820.00,H20E_2_1,53,1060.00,4.90,30.37,30.05,5.00,53
8820.00,9000.00,H20E_2_1,62,1240.00,5.73,30.21,30.04,5.00,62
9000.00,9180.00,H20E_2_1,48,960.00,4.59,29.55,29.04,5.00,48
9180.00,9360.00,H20E_2_1,40,800.00,3.70,30.32,30.06,5.00,40
9360.00,9540.00,H20E_2_1,39,780.00,3.36,32.52,32.19,5.00,39
9540.00,9720.00,H20E_2_1,30,600.00,2.63,32.02,31.70,5.00,30
9720.00,9900.00,H20E_2_1,41,820.00,3.89,29.67,29.29,5.00,41
