begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20E_out_1,5,100.00,0.42,33.31,33.04,5.00,5
180.00,360.00,H20E_out_1,38,760.00,3.35,32.31,32.21,5.00,39
360.00,540.00,H20E_out_1,38,760.00,3.46,30.86,30.75,5.00,39
540.00,720.00,H20E_out_1,35,700.00,3.21,31.03,30.82,5.00,36
720.00,900.00,H20E_out_1,33,660.00,2.97,31.07,30.91,5.00,33
900.00,1080.00,H20E_out_1,29,580.00,2.62,30.93,30.73,5.00,29
1080.00,1260.00,H20E_out_1,41,820.00,3.86,29.94,29.51,5.00,41
1260.00,1440.00,H20E_out_1,42,840.00,3.84,30.54,30.39,5.00,42
1440.00,1620.00,H20E_out_1,35,700.00,3.14,31.02,30.93,5.00,35
1620.00,1800.00,H20E_out_1,39,780.00,3.49,31.10,31.01,5.00,39
1800.00,1980.00,H20E_out_1,38,760.00,3.37,31.49,31.36,5.00,38
1980.00,2160.00,H20E_out_1,39,780.00,3.53,30.97,30.70,5.00,39
2160.00,2340.00,H20E_out_1,36,720.00,3.32,30.31,30.11,5.00,36
2340.00,2520.00,H20E_out_1,34,680.00,3.07,31.13,31.00,5.00,35
2520.00,2700.00,H20E_out_1,35,700.00,3.18,30.60,30.42,5.00,34
2700.00,2880.00,H20E_out_1,41,820.00,3.72,30.75,30.59,5.00,41
2880.00,3060.00,H20E_out_1,43,860.00,3.78,31.95,31.75,5.00,44
3060.00,3240.00,H20E_out_1,38,760.00,3.37,31.36,31.28,5.00,38
3240.00,3420.00,H20E_out_1,43,860.00,3.87,30.96,30.83,5.00,43
3420.00,3600.00,H20E_out_1,37,740.00,3.33,30.97,30.86,5.00,37
3600.00,3780.00,H20E_out_1,39,780.00,3.56,30.65,30.45,5.00,39
3780.00,3960.00,H20E_out_1,44,880.00,3.99,31.11,30.99,5.00,45
3960.00,4140.00,H20E_out_1,34,680.00,3.09,30.75,30.61,5.00,34
4140.00,4320.00,H20E_out_1,40,800.00,3.63,30.78,30.59,5.00,40
4320.00,4500.00,H20E_out_1,43,860.00,3.83,31.33,31.18,5.00,43
4500.00,4680.00,H20E_out_1,34,680.00,3.13,30.61,30.33,5.00,35
4680.00,4860.00,H20E_out_1,38,760.00,3.39,31.27,31.13,5.00,38
4860.00,5040.00,H20E_out_1,35,700.00,3.14,31.14,30.94,5.00,35
5040.00,5220.00,H20E_out_1,28,560.00,2.54,30.80,30.60,5.00,28
5220.00,5400.00,H20E_out_1,31,620.00,2.71,32.04,31.83,5.00,31
5400.00,5580.00,H20E_out_1,37,740.00,3.31,31.27,31.09,5.00,37
5580.00,5760.00,H20E_out_1,43,860.00,4.16,32.24,28.69,5.00,43
5760.00,5940.00,H20E_out_1,44,880.00,3.93,31.23,31.11,5.00,44
5940.00,6120.00,H20E_out_1,51,1020.00,4.72,30.18,30.02,5.00,51
6120.00,6300.00,H20E_out_1,45,900.00,4.07,31.38,31.21,5.00,46
6300.00,6480.00,H20E_out_1,37,740.00,3.33,31.00,30.90,5.00,37
6480.00,6660.00,H20E_out_1,33,660.00,3.11,30.30,30.12,5.00,34
6660.00,6840.00,H20E_out_1,23,460.00,2.05,31.45,31.23,5.00,23
6840.00,7020.00,H20E_out_1,26,520.00,2.37,30.88,30.48,5.00,26
7020.00,7200.00,H20E_out_1,25,500.00,2.20,31.69,31.51,5.00,25
7200.00,7380.00,H20E_out_1,30,600.00,2.74,30.54,30.43,5.00,30
7380.00,7560.00,H20E_out_1,38,760.00,3.30,32.19,31.97,5.00,38
7560.00,7740.00,H20E_out_1,33,660.00,2.85,32.52,32.20,5.00,33
7740.00,7920.00,H20E_out_1,42,840.00,3.73,31.46,31.30,5.00,42
7920.00,8100.00,H20E_out_1,25,500.00,2.42,30.01,29.83,5.00,26
8100.00,8280.00,H20E_out_1,39,780.00,3.73,29.23,29.07,5.00,39
8280.00,8460.00,H20E_out_1,36,720.00,3.28,30.63,30.47,5.00,36
8460.00,8640.00,H20E_out_1,32,640.00,2.90,30.69,30.60,5.00,32
8640.00,8820.00,H20E_out_1,31,620.00,2.77,31.24,31.09,5.00,31
8820.00,9000.00,H20E_out_1,29,580.00,2.55,31.71,31.53,5.00,29
9000.00,9180.00,H20E_out_1,29,580.00,2.64,30.62,30.46,5.00,29
9180.00,9360.00,H20E_out_1,33,660.00,2.98,30.89,30.75,5.00,33
9360.00,9540.00,H20E_out_1,32,640.00,2.76,32.33,32.21,5.00,32
9540.00,9720.00,H20E_out_1,29,580.00,2.55,31.77,31.64,5.00,29
9720.00,9900.00,H20E_out_1,41,820.00,3.66,31.31,31.12,5.00,41
9900.00,10080.00,H20E_out_1,37,740.00,3.28,31.48,31.29,5.00,37
10080.00,10260.00,H20E_out_1,30,600.00,2.66,31.46,31.33,5.00,30
10260.00,10440.00,H20E_out_1,32,640.00,2.86,31.22,31.11,5.00,32
10440.00,10620.00,H20E_out_1,41,820.00,3.70,30.95,30.78,5.00,41
10620.00,10800.00,H20E_out_1,41,820.00,3.67,31.12,30.99,5.00,41
10800.00,10980.00,H20E_out_1,44,880.00,3.88,31.65,31.48,5.00,44
10980.00,11160.00,H20E_out_1,34,680.00,3.02,31.44,31.27,5.00,34
11160.00,11340.00,H20E_out_1,30,600.00,2.79,30.14,29.88,5.00,30
11340.00,11520.00,H20E_out_1,24,480.00,2.05,32.69,32.48,5.00,24
11520.00,11700.00,H20E_out_1,26,520.00,2.27,32.13,31.85,5.00,26
11700.00,11880.00,H20E_out_1,34,680.00,2.92,32.47,32.31,5.00,34
11880.00,12060.00,H20E_out_1,38,760.00,3.38,31.45,31.26,5.00,38
12060.00,12240.00,H20E_out_1,37,740.00,3.33,31.79,31.56,5.00,38
12240.00,12420.00,H20E_out_1,38,760.00,3.25,31.93,31.76,5.00,37
12420.00,12600.00,H20E_out_1,45,900.00,3.87,32.49,32.31,5.00,45
12600.00,12780.00,H20E_out_1,58,1160.00,5.20,31.17,31.04,5.00,59
12780.00,12960.00,H20E_out_1,50,1000.00,4.97,30.75,27.91,5.00,49
12960.00,13140.00,H20E_out_1,53,1060.00,4.70,31.46,31.34,5.00,53
13140.00,13320.00,H20E_out_1,44,880.00,3.89,31.84,31.73,5.00,45
13320.00,13500.00,H20E_out_1,36,720.00,3.17,31.29,31.13,5.00,35
13500.00,13680.00,H20E_out_1,24,480.00,2.13,32.15,31.93,5.00,25
13680.00,13860.00,H20E_out_1,30,600.00,3.12,30.70,26.36,5.00,29
