begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20W_1_0,5,100.00,1.00,25.53,13.93,5.00,5
180.00,360.00,H20W_1_0,27,540.00,2.86,26.44,26.21,5.00,27
360.00,540.00,H20W_1_0,34,680.00,3.89,24.44,24.31,5.00,34
540.00,720.00,H20W_1_0,29,580.00,3.15,25.73,25.60,5.00,29
720.00,900.00,H20W_1_0,29,580.00,3.24,24.95,24.84,5.00,29
900.00,1080.00,H20W_1_0,40,800.00,4.51,24.76,24.65,5.00,40
1080.00,1260.00,H20W_1_0,18,360.00,1.99,25.63,25.18,5.00,18
1260.00,1440.00,H20W_1_0,22,440.00,2.30,27.12,26.54,5.00,22
1440.00,1620.00,H20W_1_0,24,480.00,2.52,26.81,26.47,5.00,24
1620.00,1800.00,H20W_1_0,23,460.00,2.28,28.43,28.25,5.00,24
1800.00,1980.00,H20W_1_0,28,560.00,2.80,28.34,27.98,5.00,28
1980.00,2160.00,H20W_1_0,30,600.00,2.77,29.95,29.71,5.00,29
2160.00,2340.00,H20W_1_0,24,480.00,2.33,28.93,28.65,5.00,24
2340.00,2520.00,H20W_1_0,22,440.00,2.06,29.95,29.72,5.00,22
2520.00,2700.00,H20W_1_0,22,440.00,2.02,30.40,30.23,5.00,22
2700.00,2880.00,H20W_1_0,25,500.00,2.58,27.27,26.93,5.00,25
2880.00,3060.00,H20W_1_0,25,500.00,3.17,25.31,21.92,5.00,25
3060.00,3240.00,H20W_1_0,28,560.00,3.36,23.55,23.13,5.00,28
3240.00,3420.00,H20W_1_0,29,580.00,3.59,22.66,22.42,5.00,29
3420.00,3600.00,H20W_1_0,30,600.00,2.99,28.13,27.84,5.00,30
3600.00,3780.00,H20W_1_0,24,480.00,2.37,28.38,28.12,5.00,24
3780.00,3960.00,H20W_1_0,24,480.00,2.21,30.27,30.13,5.00,24
3960.00,4140.00,H20W_1_0,25,500.00,3.16,23.08,21.95,5.00,25
4140.00,4320.00,H20W_1_0,25,500.00,3.99,18.09,17.39,5.00,25
4320.00,4500.00,H20W_1_0,22,440.00,3.21,19.96,19.04,5.00,22
4500.00,4680.00,H20W_1_0,23,460.00,3.33,20.43,19.19,5.00,23
4680.00,4860.00,H20W_1_0,32,640.00,6.04,14.95,14.71,5.00,32
4860.00,5040.00,H20W_1_0,32,640.00,5.76,15.62,15.44,5.00,32
5040.00,5220.00,H20W_1_0,16,320.00,2.43,19.86,18.26,5.00,16
5220.00,5400.00,H20W_1_0,10,200.00,0.94,30.03,29.41,5.00,10
5400.00,5580.00,H20W_1_0,54,1080.00,7.28,21.43,20.83,5.00,55
5580.00,5760.00,H20W_1_0,40,800.00,5.50,20.81,20.22,5.00,40
5760.00,5940.00,H20W_1_0,20,400.00,2.69,21.26,20.63,5.00,20
5940.00,6120.00,H20W_1_0,18,360.00,2.71,18.82,18.44,5.00,18
6120.00,6300.00,H20W_1_0,40,800.00,6.58,17.47,16.88,5.00,40
6300.00,6480.00,H20W_1_0,13,260.00,2.31,15.76,15.63,5.00,13
