begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20W_in_1,64,1280.00,6.11,29.48,29.10,5.00,64
180.00,360.00,H20W_in_1,76,1520.00,7.67,27.88,27.53,5.00,76
360.00,540.00,H20W_in_1,72,1440.00,9.31,26.63,21.47,5.00,72
540.00,720.00,H20W_in_1,74,1480.00,7.35,28.17,27.96,5.00,74
720.00,900.00,H20W_in_1,77,1540.00,8.48,27.70,27.25,5.00,80
900.00,1080.00,H20W_in_1,81,1620.00,8.95,26.56,23.68,5.00,80
1080.00,1260.00,H20W_in_1,68,1360.00,8.29,25.80,22.78,5.00,68
1260.00,1440.00,H20W_in_1,78,1560.00,8.36,27.83,26.14,5.00,79
1440.00,1620.00,H20W_in_1,73,1460.00,8.55,25.49,23.75,5.00,74
1620.00,1800.00,H20W_in_1,67,1340.00,8.11,24.39,22.92,5.00,66
1800.00,1980.00,H20W_in_1,60,1200.00,14.89,20.13,11.19,5.00,60
1980.00,2160.00,H20W_in_1,20,400.00,53.27,7.02,1.04,5.00,20
2160.00,2340.00,H20W_in_1,18,360.00,62.28,3.89,1.21,5.00,19
2340.00,2520.00,H20W_in_1,0,0.00,100.00,-1.00,-1.00,-1.00,0
2520.00,2700.00,H20W_in_1,12,240.00,79.14,6.31,0.17,5.00,11
2700.00,2880.00,H20W_in_1,92,1840.00,15.54,17.33,16.65,5.00,95
2880.00,3060.00,H20W_in_1,83,1660.00,26.45,10.45,8.83,5.00,84
3060.00,3240.00,H20W_in_1,40,800.00,53.89,6.20,2.06,5.00,40
3240.00,3420.00,H20W_in_1,27,540.00,50.23,6.22,1.49,5.00,27
3420.00,3600.00,H20W_in_1,26,520.00,36.80,7.05,1.96,5.00,26
3600.00,3780.00,H20W_in_1,1,20.00,31.62,0.09,0.09,5.00,1
3780.00,3960.00,H20W_in_1,50,1000.00,15.93,14.32,8.72,5.00,50
3960.00,4140.00,H20W_in_1,84,1680.00,17.78,14.92,13.67,5.00,88
4140.00,4320.00,H20W_in_1,81,1620.00,23.52,11.57,9.56,5.00,81
4320.00,4500.00,H20W_in_1,83,1660.00,20.16,12.28,11.44,5.00,83
4500.00,4680.00,H20W_in_1,22,440.00,40.62,9.07,3.87,5.00,23
4680.00,4860.00,H20W_in_1,33,660.00,42.79,4.43,1.36,5.00,32
4860.00,5040.00,H20W_in_1,1,20.00,75.40,0.04,0.04,5.00,1
5040.00,5220.00,H20W_in_1,0,0.00,0.00,-1.00,-1.00,-1.00,0
5220.00,5400.00,H20W_in_1,31,620.00,50.30,2.62,1.74,5.00,32
5400.00,5580.00,H20W_in_1,6,120.00,90.00,2.11,1.88,5.00,6
5580.00,5760.00,H20W_in_1,9,180.00,10.19,5.79,0.27,5.00,8
5760.00,5940.00,H20W_in_1,48,960.00,40.47,6.70,3.85,5.00,51
5940.00,6120.00,H20W_in_1,58,1160.00,39.55,8.85,3.59,5.00,57
6120.00,6300.00,H20W_in_1,73,1460.00,26.25,8.57,7.72,5.00,73
6300.00,6480.00,H20W_in_1,10,200.00,37.36,4.77,0.74,5.00,10
6480.00,6660.00,H20W_in_1,14,280.00,29.24,4.20,1.33,5.00,14
6660.00,6840.00,H20W_in_1,59,1180.00,37.64,6.86,4.35,5.00,59
6840.00,7020.00,H20W_in_1,6,120.00,51.77,4.47,1.11,5.00,7
7020.00,7200.00,H20W_in_1,0,0.00,100.00,-1.00,-1.00,-1.00,0
7200.00,7380.00,H20W_in_1,0,0.00,100.00,-1.00,-1.00,-1.00,0
7380.00,7560.00,H20W_in_1,6,120.00,80.16,0.30,0.05,5.00,5
7560.00,7740.00,H20W_in_1,2,40.00,32.32,0.76,0.76,5.00,3
7740.00,7920.00,H20W_in_1,0,0.00,100.00,-1.00,-1.00,-1.00,0
7920.00,8100.00,H20W_in_1,3,60.00,81.81,0.64,0.05,5.00,3
8100.00,8280.00,H20W_in_1,1,20.00,14.82,0.06,0.06,5.00,0
8280.00,8460.00,H20W_in_1,26,520.00,23.70,5.87,3.05,5.00,26
8460.00,8640.00,H20W_in_1,12,240.00,50.17,2.85,0.97,5.00,13
8640.00,8820.00,H20W_in_1,42,840.00,36.21,6.53,2.24,5.00,41
8820.00,9000.00,H20W_in_1,31,620.00,66.91,5.33,4.03,5.00,32
9000.00,9180.00,H20W_in_1,0,0.00,100.00,-1.00,-1.00,-1.00,0
9180.00,9360.00,H20W_in_1,0,0.00,100.00,-1.00,-1.00,-1.00,0
9360.00,9540.00,H20W_in_1,1,20.00,69.13,0.01,0.01,5.00,1
