begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20W_offRamp1,6,120.00,0.52,32.08,31.98,5.00,6
180.00,360.00,H20W_offRamp1,22,440.00,2.25,27.34,27.12,5.00,22
360.00,540.00,H20W_offRamp1,30,600.00,2.94,28.57,28.37,5.00,30
540.00,720.00,H20W_offRamp1,23,460.00,2.25,28.56,28.33,5.00,23
720.00,900.00,H20W_offRamp1,19,380.00,1.89,28.03,27.91,5.00,19
900.00,1080.00,H20W_offRamp1,31,620.00,3.16,27.53,27.28,5.00,31
1080.00,1260.00,H20W_offRamp1,24,480.00,2.47,27.29,27.04,5.00,24
1260.00,1440.00,H20W_offRamp1,24,480.00,2.66,25.71,25.09,5.00,24
1440.00,1620.00,H20W_offRamp1,25,500.00,2.52,27.88,27.58,5.00,25
1620.00,1800.00,H20W_offRamp1,24,480.00,2.45,27.47,27.16,5.00,24
1800.00,1980.00,H20W_offRamp1,22,440.00,2.16,28.52,28.34,5.00,22
1980.00,2160.00,H20W_offRamp1,26,520.00,2.52,28.85,28.65,5.00,26
2160.00,2340.00,H20W_offRamp1,25,500.00,2.59,27.37,26.85,5.00,25
2340.00,2520.00,H20W_offRamp1,21,420.00,2.23,26.77,26.16,5.00,21
2520.00,2700.00,H20W_offRamp1,21,420.00,2.11,27.83,27.60,5.00,21
2700.00,2880.00,H20W_offRamp1,22,440.00,2.33,26.36,26.21,5.00,22
2880.00,3060.00,H20W_offRamp1,26,520.00,2.70,27.25,26.78,5.00,26
3060.00,3240.00,H20W_offRamp1,27,540.00,2.89,26.25,25.97,5.00,27
3240.00,3420.00,H20W_offRamp1,26,520.00,2.49,29.40,29.04,5.00,26
3420.00,3600.00,H20W_offRamp1,26,520.00,2.71,26.84,26.66,5.00,26
3600.00,3780.00,H20W_offRamp1,22,440.00,2.32,26.50,26.33,5.00,22
3780.00,3960.00,H20W_offRamp1,27,540.00,2.73,27.84,27.52,5.00,27
3960.00,4140.00,H20W_offRamp1,18,360.00,1.81,27.75,27.58,5.00,18
4140.00,4320.00,H20W_offRamp1,25,500.00,2.67,26.34,26.05,5.00,25
4320.00,4500.00,H20W_offRamp1,19,380.00,2.01,27.33,26.27,5.00,19
4500.00,4680.00,H20W_offRamp1,17,340.00,1.89,26.09,24.96,5.00,17
4680.00,4860.00,H20W_offRamp1,28,560.00,4.17,20.66,18.67,5.00,28
4860.00,5040.00,H20W_offRamp1,35,700.00,4.80,22.53,20.26,5.00,35
5040.00,5220.00,H20W_offRamp1,22,440.00,2.24,27.45,27.27,5.00,22
5220.00,5400.00,H20W_offRamp1,20,400.00,2.12,26.65,26.26,5.00,20
5400.00,5580.00,H20W_offRamp1,23,460.00,2.56,25.66,24.99,5.00,23
5580.00,5760.00,H20W_offRamp1,22,440.00,2.34,26.43,26.10,5.00,22
5760.00,5940.00,H20W_offRamp1,14,280.00,1.41,27.75,27.60,5.00,14
5940.00,6120.00,H20W_offRamp1,19,380.00,2.08,25.94,25.36,5.00,19
6120.00,6300.00,H20W_offRamp1,27,540.00,3.05,24.99,24.57,5.00,27
6300.00,6480.00,H20W_offRamp1,21,420.00,2.07,28.44,28.17,5.00,21
6480.00,6660.00,H20W_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
6660.00,6840.00,H20W_offRamp1,30,600.00,3.05,27.70,27.36,5.00,30
6840.00,7020.00,H20W_offRamp1,20,400.00,2.00,28.11,27.84,5.00,20
7020.00,7200.00,H20W_offRamp1,36,720.00,5.30,19.74,18.87,5.00,36
7200.00,7380.00,H20W_offRamp1,18,360.00,2.16,24.16,23.19,5.00,18
7380.00,7560.00,H20W_offRamp1,16,320.00,1.66,27.52,26.75,5.00,16
7560.00,7740.00,H20W_offRamp1,16,320.00,1.92,24.73,23.12,5.00,16
7740.00,7920.00,H20W_offRamp1,22,440.00,2.76,24.25,22.12,5.00,22
7920.00,8100.00,H20W_offRamp1,18,360.00,1.82,27.72,27.40,5.00,18
8100.00,8280.00,H20W_offRamp1,11,220.00,1.05,29.29,29.09,5.00,11
8280.00,8460.00,H20W_offRamp1,16,320.00,1.53,29.16,28.98,5.00,16
