begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25N_in_3,76,1520.00,6.94,30.67,30.44,5.00,76
180.00,360.00,H25N_in_3,74,1480.00,6.82,30.39,30.12,5.00,74
360.00,540.00,H25N_in_3,71,1420.00,6.61,30.20,29.83,5.00,71
540.00,720.00,H25N_in_3,76,1520.00,7.74,29.29,27.29,5.00,76
720.00,900.00,H25N_in_3,75,1500.00,7.43,28.34,28.05,5.00,75
900.00,1080.00,H25N_in_3,73,1460.00,11.25,22.20,18.68,5.00,75
1080.00,1260.00,H25N_in_3,66,1320.00,15.45,12.27,11.97,5.00,68
1260.00,1440.00,H25N_in_3,74,1480.00,17.61,12.19,11.67,5.00,74
1440.00,1620.00,H25N_in_3,75,1500.00,17.61,12.47,11.99,5.00,78
1620.00,1800.00,H25N_in_3,70,1400.00,16.93,12.05,11.65,5.00,72
1800.00,1980.00,H25N_in_3,63,1260.00,15.47,11.80,11.45,5.00,65
1980.00,2160.00,H25N_in_3,69,1380.00,16.02,12.29,12.17,5.00,71
2160.00,2340.00,H25N_in_3,67,1340.00,17.85,11.43,10.81,5.00,70
2340.00,2520.00,H25N_in_3,74,1480.00,22.71,11.94,9.17,5.00,75
2520.00,2700.00,H25N_in_3,68,1360.00,16.32,12.04,11.36,5.00,67
2700.00,2880.00,H25N_in_3,71,1420.00,16.42,12.37,12.01,5.00,71
2880.00,3060.00,H25N_in_3,68,1360.00,14.37,13.22,13.15,5.00,69
3060.00,3240.00,H25N_in_3,68,1360.00,14.76,12.86,12.79,5.00,68
3240.00,3420.00,H25N_in_3,72,1440.00,21.66,11.72,9.23,5.00,72
3420.00,3600.00,H25N_in_3,78,1560.00,17.29,12.92,12.61,5.00,80
3600.00,3780.00,H25N_in_3,78,1560.00,18.54,12.70,11.76,5.00,79
3780.00,3960.00,H25N_in_3,65,1300.00,14.45,12.62,12.49,5.00,65
3960.00,4140.00,H25N_in_3,63,1260.00,14.26,12.67,12.29,5.00,64
4140.00,4320.00,H25N_in_3,69,1380.00,15.77,12.72,12.58,5.00,71
4320.00,4500.00,H25N_in_3,49,980.00,11.34,12.57,12.48,5.00,52
4500.00,4680.00,H25N_in_3,61,1220.00,13.56,14.02,12.84,5.00,63
4680.00,4860.00,H25N_in_3,62,1240.00,19.97,13.83,8.67,5.00,63
4860.00,5040.00,H25N_in_3,65,1300.00,19.55,10.77,9.33,5.00,66
5040.00,5220.00,H25N_in_3,54,1080.00,35.08,14.91,4.28,5.00,54
5220.00,5400.00,H25N_in_3,73,1460.00,16.05,13.06,12.72,5.00,75
5400.00,5580.00,H25N_in_3,69,1380.00,17.80,11.92,10.89,5.00,70
5580.00,5760.00,H25N_in_3,62,1240.00,19.45,10.58,9.06,5.00,65
5760.00,5940.00,H25N_in_3,71,1420.00,14.54,14.12,13.59,5.00,72
5940.00,6120.00,H25N_in_3,58,1160.00,12.51,14.00,13.05,5.00,60
6120.00,6300.00,H25N_in_3,64,1280.00,14.49,12.90,12.27,5.00,64
6300.00,6480.00,H25N_in_3,72,1440.00,14.43,16.40,14.45,5.00,75
6480.00,6660.00,H25N_in_3,33,660.00,37.05,13.22,2.48,5.00,34
6660.00,6840.00,H25N_in_3,64,1280.00,15.40,13.34,11.67,5.00,67
6840.00,7020.00,H25N_in_3,73,1460.00,17.22,13.68,11.84,5.00,74
7020.00,7200.00,H25N_in_3,49,980.00,36.16,9.97,3.76,5.00,49
7200.00,7380.00,H25N_in_3,75,1500.00,16.20,13.13,12.86,5.00,75
7380.00,7560.00,H25N_in_3,64,1280.00,20.63,16.23,8.66,5.00,65
7560.00,7740.00,H25N_in_3,77,1540.00,20.79,14.24,10.66,5.00,80
7740.00,7920.00,H25N_in_3,52,1040.00,30.75,10.46,4.67,5.00,52
7920.00,8100.00,H25N_in_3,45,900.00,44.96,14.54,2.78,5.00,45
8100.00,8280.00,H25N_in_3,63,1260.00,13.73,13.31,12.94,5.00,65
8280.00,8460.00,H25N_in_3,68,1360.00,14.29,13.73,13.22,5.00,68
8460.00,8640.00,H25N_in_3,42,840.00,58.93,17.31,12.29,5.00,46
8640.00,8820.00,H25N_in_3,61,1220.00,22.68,12.71,2.38,5.00,65
8820.00,9000.00,H25N_in_3,65,1300.00,13.34,14.41,13.74,5.00,66
9000.00,9180.00,H25N_in_3,72,1440.00,16.84,13.61,11.89,5.00,73
9180.00,9360.00,H25N_in_3,77,1540.00,19.15,12.13,11.16,5.00,76
9360.00,9540.00,H25N_in_3,67,1340.00,14.94,12.90,12.76,5.00,69
9540.00,9720.00,H25N_in_3,69,1380.00,17.84,11.72,10.89,5.00,70
9720.00,9900.00,H25N_in_3,71,1420.00,16.10,12.70,12.35,5.00,72
9900.00,10080.00,H25N_in_3,76,1520.00,17.84,12.53,11.83,5.00,76
10080.00,10260.00,H25N_in_3,67,1340.00,14.91,12.68,12.61,5.00,68
10260.00,10440.00,H25N_in_3,64,1280.00,15.08,12.75,12.26,5.00,68
10440.00,10620.00,H25N_in_3,67,1340.00,17.17,11.49,10.84,5.00,67
10620.00,10800.00,H25N_in_3,56,1120.00,11.59,14.51,13.84,5.00,58
10800.00,10980.00,H25N_in_3,58,1160.00,14.87,12.20,10.84,5.00,58
10980.00,11160.00,H25N_in_3,57,1140.00,30.83,11.95,5.14,5.00,57
11160.00,11340.00,H25N_in_3,67,1340.00,14.90,13.08,12.64,5.00,68
11340.00,11520.00,H25N_in_3,65,1300.00,14.00,13.43,12.90,5.00,65
11520.00,11700.00,H25N_in_3,73,1460.00,16.84,12.70,12.15,5.00,74
11700.00,11880.00,H25N_in_3,74,1480.00,19.40,12.77,10.70,5.00,75
11880.00,12060.00,H25N_in_3,76,1520.00,19.22,12.76,10.99,5.00,76
12060.00,12240.00,H25N_in_3,66,1320.00,14.92,12.82,12.73,5.00,68
12240.00,12420.00,H25N_in_3,68,1360.00,16.62,12.26,11.75,5.00,73
12420.00,12600.00,H25N_in_3,70,1400.00,16.33,12.29,11.91,5.00,71
12600.00,12780.00,H25N_in_3,68,1360.00,15.83,12.63,12.27,5.00,73
12780.00,12960.00,H25N_in_3,67,1340.00,13.89,14.44,13.40,5.00,67
12960.00,13140.00,H25N_in_3,74,1480.00,18.25,12.40,11.27,5.00,75
13140.00,13320.00,H25N_in_3,53,1060.00,25.84,10.57,5.86,5.00,56
13320.00,13500.00,H25N_in_3,68,1360.00,13.81,14.04,13.60,5.00,68
13500.00,13680.00,H25N_in_3,34,680.00,39.83,8.59,2.37,5.00,35
13680.00,13860.00,H25N_in_3,72,1440.00,13.90,15.23,14.51,5.00,73
13860.00,14040.00,H25N_in_3,53,1060.00,20.19,11.58,7.43,5.00,54
14040.00,14220.00,H25N_in_3,67,1340.00,12.65,15.85,14.92,5.00,69
