begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25S_out_3,1,20.00,0.07,37.21,37.21,5.00,1
180.00,360.00,H25S_out_3,38,760.00,2.98,35.51,35.43,5.00,38
360.00,540.00,H25S_out_3,79,1580.00,6.64,33.16,33.06,5.00,79
540.00,720.00,H25S_out_3,79,1580.00,7.16,32.97,30.64,5.00,79
720.00,900.00,H25S_out_3,80,1600.00,6.79,32.81,32.71,5.00,80
900.00,1080.00,H25S_out_3,88,1760.00,7.41,33.08,32.99,5.00,88
1080.00,1260.00,H25S_out_3,72,1440.00,6.15,32.67,32.50,5.00,72
1260.00,1440.00,H25S_out_3,70,1400.00,5.77,33.92,33.72,5.00,70
1440.00,1620.00,H25S_out_3,72,1440.00,6.23,32.19,32.11,5.00,72
1620.00,1800.00,H25S_out_3,69,1380.00,5.81,33.11,32.99,5.00,69
1800.00,1980.00,H25S_out_3,56,1120.00,4.71,33.09,33.01,5.00,56
1980.00,2160.00,H25S_out_3,93,1860.00,8.08,32.04,31.97,5.00,93
2160.00,2340.00,H25S_out_3,61,1220.00,5.34,32.01,31.76,5.00,61
2340.00,2520.00,H25S_out_3,77,1540.00,6.48,33.09,32.99,5.00,77
2520.00,2700.00,H25S_out_3,70,1400.00,5.94,32.93,32.85,5.00,71
2700.00,2880.00,H25S_out_3,64,1280.00,5.28,33.59,33.51,5.00,63
2880.00,3060.00,H25S_out_3,70,1400.00,5.95,32.88,32.71,5.00,70
3060.00,3240.00,H25S_out_3,92,1840.00,7.90,32.47,32.36,5.00,92
3240.00,3420.00,H25S_out_3,90,1800.00,7.65,32.87,32.69,5.00,90
3420.00,3600.00,H25S_out_3,77,1540.00,6.61,32.45,32.35,5.00,77
3600.00,3780.00,H25S_out_3,69,1380.00,5.78,33.34,33.17,5.00,69
3780.00,3960.00,H25S_out_3,57,1140.00,4.68,34.03,33.85,5.00,57
3960.00,4140.00,H25S_out_3,45,900.00,3.57,35.10,35.01,5.00,45
4140.00,4320.00,H25S_out_3,62,1240.00,5.07,34.58,34.43,5.00,63
4320.00,4500.00,H25S_out_3,67,1340.00,5.54,33.31,33.21,5.00,66
4500.00,4680.00,H25S_out_3,63,1260.00,5.26,33.49,33.30,5.00,63
4680.00,4860.00,H25S_out_3,77,1540.00,6.57,32.75,32.54,5.00,77
4860.00,5040.00,H25S_out_3,43,860.00,3.54,33.91,33.70,5.00,43
5040.00,5220.00,H25S_out_3,54,1080.00,4.40,34.24,34.12,5.00,54
5220.00,5400.00,H25S_out_3,53,1060.00,4.32,34.24,34.11,5.00,53
5400.00,5580.00,H25S_out_3,62,1240.00,5.12,33.90,33.81,5.00,63
5580.00,5760.00,H25S_out_3,47,940.00,3.75,34.92,34.79,5.00,47
5760.00,5940.00,H25S_out_3,32,640.00,2.54,35.04,34.98,5.00,32
5940.00,6120.00,H25S_out_3,51,1020.00,4.03,35.25,35.16,5.00,51
6120.00,6300.00,H25S_out_3,56,1120.00,4.56,34.27,34.08,5.00,56
6300.00,6480.00,H25S_out_3,69,1380.00,5.94,32.43,32.29,5.00,69
6480.00,6660.00,H25S_out_3,68,1360.00,6.03,31.95,31.69,5.00,69
6660.00,6840.00,H25S_out_3,52,1040.00,4.12,34.70,34.47,5.00,51
6840.00,7020.00,H25S_out_3,56,1120.00,4.55,34.38,34.22,5.00,56
7020.00,7200.00,H25S_out_3,45,900.00,3.64,34.41,34.30,5.00,45
7200.00,7380.00,H25S_out_3,53,1060.00,4.30,34.44,34.23,5.00,53
7380.00,7560.00,H25S_out_3,41,820.00,3.30,34.74,34.48,5.00,41
7560.00,7740.00,H25S_out_3,41,820.00,3.33,34.33,34.20,5.00,41
7740.00,7920.00,H25S_out_3,45,900.00,3.60,34.92,34.73,5.00,45
7920.00,8100.00,H25S_out_3,61,1220.00,4.92,34.60,34.47,5.00,61
8100.00,8280.00,H25S_out_3,53,1060.00,4.48,33.48,33.37,5.00,54
8280.00,8460.00,H25S_out_3,63,1260.00,5.25,33.16,32.91,5.00,62
8460.00,8640.00,H25S_out_3,82,1640.00,7.23,31.64,31.52,5.00,82
8640.00,8820.00,H25S_out_3,71,1420.00,5.90,33.54,33.42,5.00,71
8820.00,9000.00,H25S_out_3,56,1120.00,4.48,34.86,34.74,5.00,56
9000.00,9180.00,H25S_out_3,56,1120.00,4.56,34.25,34.12,5.00,56
9180.00,9360.00,H25S_out_3,62,1240.00,4.99,34.59,34.50,5.00,62
9360.00,9540.00,H25S_out_3,58,1160.00,4.83,33.51,33.35,5.00,58
9540.00,9720.00,H25S_out_3,57,1140.00,5.28,33.00,30.01,5.00,57
9720.00,9900.00,H25S_out_3,52,1040.00,4.18,34.76,34.59,5.00,52
9900.00,10080.00,H25S_out_3,58,1160.00,4.81,33.66,33.52,5.00,58
10080.00,10260.00,H25S_out_3,57,1140.00,4.66,34.06,34.00,5.00,57
10260.00,10440.00,H25S_out_3,57,1140.00,4.85,32.76,32.61,5.00,57
10440.00,10620.00,H25S_out_3,66,1320.00,5.41,33.99,33.86,5.00,66
10620.00,10800.00,H25S_out_3,67,1340.00,5.59,33.41,33.32,5.00,67
10800.00,10980.00,H25S_out_3,73,1460.00,6.06,33.59,33.47,5.00,73
10980.00,11160.00,H25S_out_3,66,1320.00,5.51,33.44,33.28,5.00,66
11160.00,11340.00,H25S_out_3,47,940.00,3.81,34.47,34.27,5.00,47
11340.00,11520.00,H25S_out_3,61,1220.00,5.08,33.48,33.34,5.00,61
11520.00,11700.00,H25S_out_3,63,1260.00,5.25,33.46,33.34,5.00,63
11700.00,11880.00,H25S_out_3,47,940.00,3.70,35.54,35.33,5.00,47
11880.00,12060.00,H25S_out_3,63,1260.00,5.31,33.08,32.98,5.00,63
12060.00,12240.00,H25S_out_3,56,1120.00,4.53,34.42,34.32,5.00,56
12240.00,12420.00,H25S_out_3,59,1180.00,4.85,33.88,33.77,5.00,59
12420.00,12600.00,H25S_out_3,51,1020.00,4.22,33.69,33.57,5.00,51
12600.00,12780.00,H25S_out_3,59,1180.00,4.96,33.17,33.05,5.00,59
12780.00,12960.00,H25S_out_3,57,1140.00,4.63,34.46,34.23,5.00,57
12960.00,13140.00,H25S_out_3,63,1260.00,5.37,32.69,32.57,5.00,63
13140.00,13320.00,H25S_out_3,61,1220.00,4.98,34.11,34.01,5.00,61
13320.00,13500.00,H25S_out_3,70,1400.00,5.78,33.78,33.67,5.00,70
13500.00,13680.00,H25S_out_3,53,1060.00,4.33,34.42,34.25,5.00,54
13680.00,13860.00,H25S_out_3,42,840.00,3.32,35.04,34.83,5.00,41
13860.00,14040.00,H25S_out_3,38,760.00,3.01,35.20,35.11,5.00,38
14040.00,14220.00,H25S_out_3,50,1000.00,4.12,33.83,33.70,5.00,50
14220.00,14400.00,H25S_out_3,56,1120.00,4.46,35.06,34.91,5.00,56
14400.00,14580.00,H25S_out_3,51,1020.00,4.24,33.55,33.38,5.00,51
14580.00,14760.00,H25S_out_3,49,980.00,4.01,34.08,33.95,5.00,49
14760.00,14940.00,H25S_out_3,58,1160.00,4.93,32.84,32.68,5.00,58
14940.00,15120.00,H25S_out_3,41,820.00,3.29,34.76,34.65,5.00,41
15120.00,15300.00,H25S_out_3,57,1140.00,4.71,33.74,33.62,5.00,57
15300.00,15480.00,H25S_out_3,61,1220.00,4.93,34.47,34.36,5.00,61
15480.00,15660.00,H25S_out_3,72,1440.00,5.85,34.26,34.17,5.00,72
15660.00,15840.00,H25S_out_3,61,1220.00,4.89,34.73,34.66,5.00,61
15840.00,16020.00,H25S_out_3,59,1180.00,4.85,33.99,33.82,5.00,59
16020.00,16200.00,H25S_out_3,50,1000.00,4.10,34.06,33.91,5.00,50
16200.00,16380.00,H25S_out_3,53,1060.00,4.40,33.63,33.49,5.00,53
16380.00,16560.00,H25S_out_3,68,1360.00,5.71,33.17,33.06,5.00,68
16560.00,16740.00,H25S_out_3,46,920.00,3.67,35.02,34.81,5.00,46
16740.00,16920.00,H25S_out_3,42,840.00,3.37,34.78,34.60,5.00,42
16920.00,17100.00,H25S_out_3,36,720.00,2.91,35.39,35.20,5.00,37
