begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_7_0,24,720.00,3.94,25.73,25.36,5.00,24
120.00,240.00,H10E_7_0,37,1110.00,6.61,23.75,23.32,5.00,37
240.00,360.00,H10E_7_0,35,1050.00,6.71,22.06,21.74,5.00,35
360.00,480.00,H10E_7_0,25,750.00,5.50,19.20,18.93,5.00,25
480.00,600.00,H10E_7_0,20,600.00,5.46,16.71,16.49,5.00,24
600.00,720.00,H10E_7_0,24,720.00,6.22,16.99,16.77,5.00,25
720.00,840.00,H10E_7_0,28,840.00,8.77,15.00,13.30,5.00,28
840.00,960.00,H10E_7_0,34,1020.00,8.65,16.47,16.39,5.00,34
960.00,1080.00,H10E_7_0,30,900.00,17.32,12.68,8.98,5.00,31
1080.00,1200.00,H10E_7_0,27,810.00,46.33,4.01,2.43,5.00,27
1200.00,1320.00,H10E_7_0,29,870.00,41.64,5.56,2.95,5.00,30
1320.00,1440.00,H10E_7_0,41,1230.00,39.93,9.78,4.21,5.00,40
1440.00,1560.00,H10E_7_0,31,930.00,44.08,6.91,2.93,5.00,31
1560.00,1680.00,H10E_7_0,31,930.00,29.87,7.47,4.84,5.00,32
1680.00,1800.00,H10E_7_0,4,120.00,1.36,12.98,12.24,5.00,4
1800.00,1920.00,H10E_7_0,22,660.00,5.94,16.53,16.40,5.00,24
1920.00,2040.00,H10E_7_0,34,1020.00,32.65,9.83,4.38,5.00,34
2040.00,2160.00,H10E_7_0,37,1110.00,31.31,9.06,4.92,5.00,37
2160.00,2280.00,H10E_7_0,30,900.00,41.55,5.94,3.01,5.00,30
2280.00,2400.00,H10E_7_0,25,750.00,43.94,4.71,2.37,5.00,25
2400.00,2520.00,H10E_7_0,45,1350.00,37.72,9.78,5.01,5.00,46
2520.00,2640.00,H10E_7_0,5,150.00,1.75,12.40,10.76,5.00,5
2640.00,2760.00,H10E_7_0,2,60.00,1.29,9.23,6.48,5.00,2
2760.00,2880.00,H10E_7_0,9,270.00,2.85,15.41,13.14,5.00,9
2880.00,3000.00,H10E_7_0,14,420.00,4.17,15.80,13.99,5.00,14
3000.00,3120.00,H10E_7_0,9,270.00,2.93,13.85,12.82,5.00,9
3120.00,3240.00,H10E_7_0,5,150.00,1.51,15.50,15.19,5.00,6
3240.00,3360.00,H10E_7_0,7,210.00,2.41,15.01,12.13,5.00,7
3360.00,3480.00,H10E_7_0,9,270.00,3.21,14.24,11.70,5.00,9
3480.00,3600.00,H10E_7_0,7,210.00,1.76,16.60,16.57,5.00,7
3600.00,3720.00,H10E_7_0,17,510.00,4.80,14.88,14.75,5.00,17
3720.00,3840.00,H10E_7_0,1,30.00,0.24,17.34,17.34,5.00,1
3840.00,3960.00,H10E_7_0,17,510.00,4.33,16.49,16.39,5.00,18
3960.00,4080.00,H10E_7_0,1,30.00,1.00,4.17,4.17,5.00,1
4080.00,4200.00,H10E_7_0,9,270.00,4.74,10.03,7.91,5.00,9
