begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_in_4,61,1830.00,9.55,26.80,26.61,5.00,61
120.00,240.00,H10E_in_4,60,1800.00,9.58,26.30,26.09,5.00,60
240.00,360.00,H10E_in_4,59,1770.00,9.45,26.24,26.02,5.00,59
360.00,480.00,H10E_in_4,59,1770.00,9.21,26.87,26.68,5.00,59
480.00,600.00,H10E_in_4,61,1830.00,9.65,26.52,26.33,5.00,61
600.00,720.00,H10E_in_4,57,1710.00,8.91,26.85,26.65,5.00,57
720.00,840.00,H10E_in_4,59,1770.00,9.30,26.63,26.42,5.00,59
840.00,960.00,H10E_in_4,63,1890.00,9.84,26.86,26.67,5.00,63
960.00,1080.00,H10E_in_4,62,1860.00,9.69,26.85,26.67,5.00,62
1080.00,1200.00,H10E_in_4,63,1890.00,9.89,26.74,26.55,5.00,63
1200.00,1320.00,H10E_in_4,60,1800.00,9.69,26.01,25.80,5.00,60
1320.00,1440.00,H10E_in_4,61,1830.00,9.48,27.05,26.80,5.00,61
1440.00,1560.00,H10E_in_4,61,1830.00,9.68,26.45,26.27,5.00,61
1560.00,1680.00,H10E_in_4,63,1890.00,9.94,26.66,26.42,5.00,63
1680.00,1800.00,H10E_in_4,62,1860.00,9.60,27.07,26.92,5.00,62
1800.00,1920.00,H10E_in_4,62,1860.00,9.87,26.39,26.16,5.00,62
1920.00,2040.00,H10E_in_4,60,1800.00,9.58,26.39,26.11,5.00,60
2040.00,2160.00,H10E_in_4,59,1770.00,9.36,26.48,26.28,5.00,59
2160.00,2280.00,H10E_in_4,59,1770.00,9.27,26.81,26.53,5.00,59
2280.00,2400.00,H10E_in_4,63,1890.00,9.89,26.79,26.55,5.00,63
2400.00,2520.00,H10E_in_4,58,1740.00,9.08,26.81,26.61,5.00,58
2520.00,2640.00,H10E_in_4,59,1770.00,9.24,26.82,26.60,5.00,59
2640.00,2760.00,H10E_in_4,62,1860.00,9.68,26.91,26.68,5.00,62
2760.00,2880.00,H10E_in_4,61,1830.00,9.52,26.93,26.69,5.00,61
2880.00,3000.00,H10E_in_4,61,1830.00,9.75,26.27,26.08,5.00,61
3000.00,3120.00,H10E_in_4,61,1830.00,9.47,27.10,26.83,5.00,61
3120.00,3240.00,H10E_in_4,62,1860.00,10.01,26.05,25.82,5.00,62
3240.00,3360.00,H10E_in_4,63,1890.00,9.93,26.69,26.44,5.00,63
3360.00,3480.00,H10E_in_4,62,1860.00,9.50,27.37,27.19,5.00,62
3480.00,3600.00,H10E_in_4,58,1740.00,9.79,24.95,24.69,5.00,58
