begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_out_2,2,60.00,0.26,32.60,32.60,5.00,2
120.00,240.00,H10E_out_2,13,390.00,2.02,27.03,26.82,5.00,13
240.00,360.00,H10E_out_2,29,870.00,4.69,25.79,25.75,5.00,29
360.00,480.00,H10E_out_2,28,840.00,4.54,25.77,25.69,5.00,28
480.00,600.00,H10E_out_2,31,930.00,5.07,25.56,25.49,5.00,31
600.00,720.00,H10E_out_2,38,1140.00,6.29,25.31,25.17,5.00,38
720.00,840.00,H10E_out_2,35,1050.00,6.00,24.42,24.32,5.00,35
840.00,960.00,H10E_out_2,44,1320.00,7.47,24.63,24.55,5.00,44
960.00,1080.00,H10E_out_2,40,1200.00,6.84,24.52,24.37,5.00,40
1080.00,1200.00,H10E_out_2,37,1110.00,6.39,24.25,24.11,5.00,37
1200.00,1320.00,H10E_out_2,32,960.00,5.52,24.27,24.16,5.00,32
1320.00,1440.00,H10E_out_2,42,1260.00,7.37,23.87,23.73,5.00,42
1440.00,1560.00,H10E_out_2,41,1230.00,7.22,23.81,23.66,5.00,41
1560.00,1680.00,H10E_out_2,37,1110.00,6.33,24.71,24.61,5.00,38
1680.00,1800.00,H10E_out_2,43,1290.00,7.33,24.72,24.60,5.00,43
1800.00,1920.00,H10E_out_2,40,1200.00,7.25,23.49,23.26,5.00,41
1920.00,2040.00,H10E_out_2,43,1290.00,7.71,23.33,23.24,5.00,43
2040.00,2160.00,H10E_out_2,42,1260.00,7.31,23.81,23.66,5.00,41
2160.00,2280.00,H10E_out_2,40,1200.00,6.86,24.36,24.30,5.00,40
2280.00,2400.00,H10E_out_2,46,1380.00,8.23,23.41,23.29,5.00,46
2400.00,2520.00,H10E_out_2,44,1320.00,7.71,23.85,23.77,5.00,44
2520.00,2640.00,H10E_out_2,42,1260.00,7.50,23.51,23.32,5.00,42
2640.00,2760.00,H10E_out_2,37,1110.00,6.51,23.90,23.68,5.00,37
2760.00,2880.00,H10E_out_2,44,1320.00,7.77,23.71,23.60,5.00,44
2880.00,3000.00,H10E_out_2,42,1260.00,7.41,23.76,23.61,5.00,42
3000.00,3120.00,H10E_out_2,41,1230.00,6.94,24.72,24.60,5.00,41
3120.00,3240.00,H10E_out_2,40,1200.00,7.19,23.38,23.19,5.00,40
3240.00,3360.00,H10E_out_2,34,1020.00,6.06,23.55,23.39,5.00,34
3360.00,3480.00,H10E_out_2,39,1170.00,6.77,24.12,24.01,5.00,39
3480.00,3600.00,H10E_out_2,38,1140.00,7.03,23.31,23.14,5.00,39
3600.00,3720.00,H10E_out_2,46,1380.00,8.12,23.74,23.61,5.00,46
3720.00,3840.00,H10E_out_2,40,1200.00,6.85,24.54,24.45,5.00,41
3840.00,3960.00,H10E_out_2,40,1200.00,7.10,23.63,23.48,5.00,40
3960.00,4080.00,H10E_out_2,41,1230.00,7.26,23.66,23.51,5.00,41
4080.00,4200.00,H10E_out_2,40,1200.00,6.98,24.07,23.87,5.00,40
4200.00,4320.00,H10E_out_2,46,1380.00,7.85,24.53,24.43,5.00,46
4320.00,4440.00,H10E_out_2,42,1260.00,7.32,23.97,23.90,5.00,42
4440.00,4560.00,H10E_out_2,46,1380.00,8.10,23.83,23.67,5.00,46
4560.00,4680.00,H10E_out_2,42,1260.00,7.31,24.13,23.95,5.00,42
4680.00,4800.00,H10E_out_2,39,1170.00,6.76,24.19,24.05,5.00,39
4800.00,4920.00,H10E_out_2,37,1110.00,6.77,22.98,22.77,5.00,37
4920.00,5040.00,H10E_out_2,42,1260.00,7.62,23.14,22.95,5.00,42
5040.00,5160.00,H10E_out_2,42,1260.00,7.33,24.00,23.89,5.00,42
5160.00,5280.00,H10E_out_2,43,1290.00,7.49,24.04,23.91,5.00,43
5280.00,5400.00,H10E_out_2,41,1230.00,7.43,23.13,22.99,5.00,41
5400.00,5520.00,H10E_out_2,43,1290.00,7.67,23.52,23.37,5.00,43
5520.00,5640.00,H10E_out_2,42,1260.00,7.45,23.64,23.49,5.00,42
