begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_7_5,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,240.00,H10E_7_5,4,120.00,0.52,31.81,31.81,5.00,4
240.00,360.00,H10E_7_5,42,1260.00,5.86,29.98,29.87,5.00,42
360.00,480.00,H10E_7_5,60,1800.00,8.77,28.57,28.49,5.00,60
480.00,600.00,H10E_7_5,65,1950.00,9.68,28.04,27.96,5.00,65
600.00,720.00,H10E_7_5,64,1920.00,10.18,27.97,26.20,5.00,64
720.00,840.00,H10E_7_5,69,2070.00,10.19,28.28,28.21,5.00,69
840.00,960.00,H10E_7_5,69,2070.00,10.24,28.17,28.08,5.00,69
960.00,1080.00,H10E_7_5,70,2100.00,11.08,27.84,26.32,5.00,70
1080.00,1200.00,H10E_7_5,70,2100.00,10.19,28.65,28.61,5.00,70
1200.00,1320.00,H10E_7_5,62,1860.00,8.88,29.19,29.09,5.00,62
1320.00,1440.00,H10E_7_5,60,1800.00,8.82,28.42,28.34,5.00,60
1440.00,1560.00,H10E_7_5,52,1560.00,7.29,29.77,29.72,5.00,52
1560.00,1680.00,H10E_7_5,65,1950.00,9.42,28.83,28.76,5.00,65
1680.00,1800.00,H10E_7_5,55,1650.00,7.66,29.98,29.91,5.00,55
1800.00,1920.00,H10E_7_5,70,2100.00,11.44,27.23,25.50,5.00,70
1920.00,2040.00,H10E_7_5,78,2340.00,12.00,27.14,27.09,5.00,78
2040.00,2160.00,H10E_7_5,72,2160.00,10.91,27.87,27.64,5.00,73
2160.00,2280.00,H10E_7_5,61,1830.00,9.12,27.86,27.69,5.00,60
2280.00,2400.00,H10E_7_5,56,1680.00,8.21,28.54,28.41,5.00,56
2400.00,2520.00,H10E_7_5,59,1770.00,8.38,29.40,29.34,5.00,59
2520.00,2640.00,H10E_7_5,68,2040.00,10.07,28.23,28.15,5.00,68
2640.00,2760.00,H10E_7_5,75,2250.00,11.29,27.72,27.69,5.00,75
2760.00,2880.00,H10E_7_5,76,2280.00,12.30,26.14,25.97,5.00,77
2880.00,3000.00,H10E_7_5,74,2220.00,10.99,27.85,27.78,5.00,73
3000.00,3120.00,H10E_7_5,74,2220.00,12.50,26.21,24.66,5.00,74
3120.00,3240.00,H10E_7_5,65,1950.00,9.56,28.42,28.33,5.00,65
3240.00,3360.00,H10E_7_5,67,2010.00,9.95,28.16,28.06,5.00,67
3360.00,3480.00,H10E_7_5,65,1950.00,9.91,27.50,27.33,5.00,65
3480.00,3600.00,H10E_7_5,67,2010.00,9.88,28.29,28.25,5.00,67
3600.00,3720.00,H10E_7_5,75,2250.00,12.54,25.10,24.93,5.00,75
3720.00,3840.00,H10E_7_5,73,2190.00,11.50,26.81,26.74,5.00,74
3840.00,3960.00,H10E_7_5,70,2100.00,14.76,21.07,19.72,5.00,70
3960.00,4080.00,H10E_7_5,78,2340.00,11.95,27.07,26.98,5.00,77
4080.00,4200.00,H10E_7_5,79,2370.00,13.26,24.96,24.82,5.00,79
4200.00,4320.00,H10E_7_5,79,2370.00,14.07,24.53,23.39,5.00,79
4320.00,4440.00,H10E_7_5,77,2310.00,12.16,26.53,26.39,5.00,77
4440.00,4560.00,H10E_7_5,75,2250.00,12.62,24.86,24.77,5.00,75
4560.00,4680.00,H10E_7_5,60,1800.00,8.53,29.37,29.30,5.00,60
4680.00,4800.00,H10E_7_5,67,2010.00,9.66,28.93,28.89,5.00,67
4800.00,4920.00,H10E_7_5,79,2370.00,14.25,24.71,23.09,5.00,79
4920.00,5040.00,H10E_7_5,77,2310.00,13.36,24.20,24.01,5.00,77
5040.00,5160.00,H10E_7_5,75,2250.00,13.13,24.04,23.81,5.00,75
5160.00,5280.00,H10E_7_5,75,2250.00,11.27,27.79,27.72,5.00,75
5280.00,5400.00,H10E_7_5,78,2340.00,11.98,27.19,27.13,5.00,78
5400.00,5520.00,H10E_7_5,79,2370.00,12.65,26.11,26.01,5.00,79
5520.00,5640.00,H10E_7_5,76,2280.00,11.85,26.84,26.76,5.00,77
5640.00,5760.00,H10E_7_5,75,2250.00,11.76,26.64,26.54,5.00,74
5760.00,5880.00,H10E_7_5,75,2250.00,12.37,25.67,25.27,5.00,75
5880.00,6000.00,H10E_7_5,73,2190.00,10.95,27.83,27.78,5.00,73
6000.00,6120.00,H10E_7_5,68,2040.00,10.23,27.72,27.69,5.00,68
6120.00,6240.00,H10E_7_5,74,2220.00,14.47,22.34,21.31,5.00,74
6240.00,6360.00,H10E_7_5,70,2100.00,10.76,27.28,27.11,5.00,70
6360.00,6480.00,H10E_7_5,76,2280.00,11.20,28.34,28.28,5.00,76
6480.00,6600.00,H10E_7_5,72,2160.00,11.21,26.82,26.76,5.00,72
6600.00,6720.00,H10E_7_5,64,1920.00,9.55,28.35,28.31,5.00,65
6720.00,6840.00,H10E_7_5,76,2280.00,11.46,27.44,27.32,5.00,75
6840.00,6960.00,H10E_7_5,73,2190.00,10.98,27.77,27.71,5.00,73
6960.00,7080.00,H10E_7_5,73,2190.00,11.29,27.10,26.94,5.00,73
7080.00,7200.00,H10E_7_5,77,2310.00,12.26,26.36,26.16,5.00,77
7200.00,7320.00,H10E_7_5,68,2040.00,10.45,27.19,27.10,5.00,68
7320.00,7440.00,H10E_7_5,59,1770.00,8.41,29.45,29.39,5.00,60
7440.00,7560.00,H10E_7_5,71,2130.00,10.71,27.53,27.50,5.00,70
7560.00,7680.00,H10E_7_5,77,2310.00,12.15,26.55,26.40,5.00,77
7680.00,7800.00,H10E_7_5,73,2190.00,11.21,27.19,27.13,5.00,73
7800.00,7920.00,H10E_7_5,76,2280.00,12.16,27.85,26.32,5.00,77
7920.00,8040.00,H10E_7_5,79,2370.00,12.06,27.04,27.01,5.00,78
8040.00,8160.00,H10E_7_5,70,2100.00,10.56,27.70,27.63,5.00,70
8160.00,8280.00,H10E_7_5,77,2310.00,11.79,27.31,27.21,5.00,77
8280.00,8400.00,H10E_7_5,79,2370.00,12.73,26.05,25.86,5.00,79
8400.00,8520.00,H10E_7_5,75,2250.00,11.45,27.38,27.30,5.00,75
8520.00,8640.00,H10E_7_5,79,2370.00,12.23,26.97,26.92,5.00,79
8640.00,8760.00,H10E_7_5,68,2040.00,10.34,27.58,27.39,5.00,68
8760.00,8880.00,H10E_7_5,67,2010.00,9.85,28.44,28.34,5.00,67
8880.00,9000.00,H10E_7_5,71,2130.00,10.50,28.25,28.18,5.00,71
9000.00,9120.00,H10E_7_5,75,2250.00,11.34,27.59,27.57,5.00,75
9120.00,9240.00,H10E_7_5,73,2190.00,11.33,26.91,26.85,5.00,73
9240.00,9360.00,H10E_7_5,76,2280.00,11.83,26.87,26.76,5.00,76
9360.00,9480.00,H10E_7_5,77,2310.00,11.80,27.24,27.18,5.00,77
9480.00,9600.00,H10E_7_5,74,2220.00,11.09,28.04,27.99,5.00,75
9600.00,9720.00,H10E_7_5,79,2370.00,12.01,27.28,27.25,5.00,78
9720.00,9840.00,H10E_7_5,69,2070.00,10.83,26.92,26.84,5.00,70
9840.00,9960.00,H10E_7_5,74,2220.00,11.11,27.62,27.54,5.00,74
9960.00,10080.00,H10E_7_5,69,2070.00,10.09,28.48,28.40,5.00,68
10080.00,10200.00,H10E_7_5,60,1800.00,8.59,29.16,29.10,5.00,60
10200.00,10320.00,H10E_7_5,65,1950.00,9.75,27.94,27.77,5.00,65
10320.00,10440.00,H10E_7_5,68,2040.00,10.15,28.25,28.14,5.00,69
10440.00,10560.00,H10E_7_5,66,1980.00,9.58,28.50,28.47,5.00,65
10560.00,10680.00,H10E_7_5,64,1920.00,9.44,28.31,28.25,5.00,64
10680.00,10800.00,H10E_7_5,61,1830.00,8.81,28.91,28.85,5.00,61
10800.00,10920.00,H10E_7_5,68,2040.00,10.72,26.81,26.42,5.00,68
10920.00,11040.00,H10E_7_5,61,1830.00,9.10,28.05,27.92,5.00,61
11040.00,11160.00,H10E_7_5,59,1770.00,8.40,29.31,29.27,5.00,59
11160.00,11280.00,H10E_7_5,76,2280.00,11.37,27.94,27.86,5.00,76
11280.00,11400.00,H10E_7_5,75,2250.00,11.76,26.91,26.56,5.00,75
11400.00,11520.00,H10E_7_5,79,2370.00,12.16,27.11,27.06,5.00,79
11520.00,11640.00,H10E_7_5,77,2310.00,11.96,26.97,26.85,5.00,78
11640.00,11760.00,H10E_7_5,74,2220.00,12.11,26.97,25.43,5.00,73
11760.00,11880.00,H10E_7_5,78,2340.00,13.63,25.02,23.85,5.00,78
11880.00,12000.00,H10E_7_5,72,2160.00,11.44,26.36,26.22,5.00,72
12000.00,12120.00,H10E_7_5,69,2070.00,10.31,28.05,28.00,5.00,70
12120.00,12240.00,H10E_7_5,64,1920.00,9.34,28.53,28.44,5.00,63
12240.00,12360.00,H10E_7_5,73,2190.00,10.85,28.10,28.03,5.00,73
12360.00,12480.00,H10E_7_5,74,2220.00,10.76,28.72,28.66,5.00,74
12480.00,12600.00,H10E_7_5,67,2010.00,9.61,29.10,29.04,5.00,67
12600.00,12720.00,H10E_7_5,69,2070.00,10.10,28.52,28.46,5.00,69
12720.00,12840.00,H10E_7_5,70,2100.00,11.41,26.04,25.57,5.00,70
12840.00,12960.00,H10E_7_5,68,2040.00,11.00,25.87,25.75,5.00,68
12960.00,13080.00,H10E_7_5,74,2220.00,11.15,27.72,27.65,5.00,74
13080.00,13200.00,H10E_7_5,67,2010.00,10.01,28.12,28.07,5.00,68
13200.00,13320.00,H10E_7_5,70,2100.00,10.48,27.81,27.68,5.00,69
13320.00,13440.00,H10E_7_5,57,1710.00,9.18,28.06,25.88,5.00,57
13440.00,13560.00,H10E_7_5,59,1770.00,8.83,28.14,27.84,5.00,59
13560.00,13680.00,H10E_7_5,69,2070.00,9.84,29.30,29.22,5.00,69
13680.00,13800.00,H10E_7_5,75,2250.00,11.46,27.33,27.27,5.00,75
13800.00,13920.00,H10E_7_5,69,2070.00,10.18,28.31,28.24,5.00,69
13920.00,14040.00,H10E_7_5,69,2070.00,10.51,27.61,27.49,5.00,70
14040.00,14160.00,H10E_7_5,75,2250.00,12.02,25.96,25.88,5.00,74
14160.00,14280.00,H10E_7_5,69,2070.00,10.37,27.83,27.71,5.00,69
14280.00,14400.00,H10E_7_5,73,2190.00,10.61,28.75,28.66,5.00,73
