begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_in_5,61,1830.00,9.48,27.02,26.82,5.00,61
120.00,240.00,H10E_in_5,61,1830.00,9.68,26.49,26.27,5.00,61
240.00,360.00,H10E_in_5,62,1860.00,10.17,25.74,25.40,5.00,62
360.00,480.00,H10E_in_5,64,1920.00,10.11,26.69,26.37,5.00,64
480.00,600.00,H10E_in_5,62,1860.00,9.65,26.94,26.77,5.00,62
600.00,720.00,H10E_in_5,66,1980.00,10.28,27.00,26.76,5.00,66
720.00,840.00,H10E_in_5,66,1980.00,10.10,27.40,27.24,5.00,66
840.00,960.00,H10E_in_5,62,1860.00,9.63,27.02,26.82,5.00,62
960.00,1080.00,H10E_in_5,63,1890.00,9.86,26.80,26.62,5.00,63
1080.00,1200.00,H10E_in_5,63,1890.00,9.89,26.72,26.55,5.00,63
1200.00,1320.00,H10E_in_5,62,1860.00,9.99,26.07,25.87,5.00,62
1320.00,1440.00,H10E_in_5,63,1890.00,9.93,26.62,26.43,5.00,63
1440.00,1560.00,H10E_in_5,63,1890.00,9.94,26.69,26.40,5.00,63
1560.00,1680.00,H10E_in_5,61,1830.00,9.47,27.18,26.85,5.00,61
1680.00,1800.00,H10E_in_5,63,1890.00,9.51,27.74,27.59,5.00,63
1800.00,1920.00,H10E_in_5,62,1860.00,9.65,27.00,26.78,5.00,62
1920.00,2040.00,H10E_in_5,60,1800.00,9.60,26.26,26.03,5.00,60
2040.00,2160.00,H10E_in_5,60,1800.00,9.32,27.03,26.81,5.00,60
2160.00,2280.00,H10E_in_5,61,1830.00,9.69,26.47,26.23,5.00,61
2280.00,2400.00,H10E_in_5,63,1890.00,9.71,27.19,27.04,5.00,63
2400.00,2520.00,H10E_in_5,61,1830.00,9.46,27.03,26.87,5.00,61
2520.00,2640.00,H10E_in_5,61,1830.00,9.71,26.49,26.17,5.00,61
2640.00,2760.00,H10E_in_5,59,1770.00,9.42,26.37,26.10,5.00,59
2760.00,2880.00,H10E_in_5,62,1860.00,9.74,26.71,26.51,5.00,62
2880.00,3000.00,H10E_in_5,61,1830.00,9.79,26.14,25.96,5.00,61
3000.00,3120.00,H10E_in_5,62,1860.00,9.57,27.19,27.01,5.00,62
3120.00,3240.00,H10E_in_5,63,1890.00,9.87,26.80,26.59,5.00,63
3240.00,3360.00,H10E_in_5,61,1830.00,9.52,26.97,26.69,5.00,61
3360.00,3480.00,H10E_in_5,61,1830.00,9.20,27.79,27.63,5.00,61
3480.00,3600.00,H10E_in_5,65,1950.00,10.33,26.41,26.21,5.00,65
3600.00,3720.00,H10E_in_5,63,1890.00,9.99,26.48,26.27,5.00,63
3720.00,3840.00,H10E_in_5,59,1770.00,9.37,26.55,26.25,5.00,59
3840.00,3960.00,H10E_in_5,63,1890.00,9.74,27.11,26.94,5.00,63
3960.00,4080.00,H10E_in_5,62,1860.00,9.68,26.85,26.68,5.00,62
4080.00,4200.00,H10E_in_5,58,1740.00,9.30,26.34,25.99,5.00,58
4200.00,4320.00,H10E_in_5,62,1860.00,9.75,26.81,26.49,5.00,62
4320.00,4440.00,H10E_in_5,65,1950.00,9.86,27.66,27.46,5.00,65
