begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_out_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,240.00,H10E_out_3,24,720.00,3.59,27.93,27.84,5.00,24
240.00,360.00,H10E_out_3,45,1350.00,6.99,26.89,26.81,5.00,45
360.00,480.00,H10E_out_3,60,1800.00,9.29,26.96,26.92,5.00,60
480.00,600.00,H10E_out_3,60,1800.00,9.61,26.13,26.02,5.00,60
600.00,720.00,H10E_out_3,70,2100.00,11.47,25.53,25.43,5.00,70
720.00,840.00,H10E_out_3,70,2100.00,12.13,24.13,24.04,5.00,70
840.00,960.00,H10E_out_3,75,2250.00,12.62,24.85,24.77,5.00,75
960.00,1080.00,H10E_out_3,73,2190.00,12.53,24.43,24.27,5.00,73
1080.00,1200.00,H10E_out_3,74,2220.00,12.65,24.44,24.38,5.00,74
1200.00,1320.00,H10E_out_3,75,2250.00,13.03,24.07,23.98,5.00,75
1320.00,1440.00,H10E_out_3,71,2130.00,12.20,24.35,24.25,5.00,71
1440.00,1560.00,H10E_out_3,74,2220.00,12.86,24.17,23.98,5.00,74
1560.00,1680.00,H10E_out_3,71,2130.00,11.96,24.83,24.73,5.00,71
1680.00,1800.00,H10E_out_3,73,2190.00,13.19,23.18,23.06,5.00,73
1800.00,1920.00,H10E_out_3,70,2100.00,12.14,24.14,24.02,5.00,70
1920.00,2040.00,H10E_out_3,71,2130.00,12.92,23.00,22.89,5.00,71
2040.00,2160.00,H10E_out_3,73,2190.00,12.68,24.10,23.98,5.00,73
2160.00,2280.00,H10E_out_3,73,2190.00,12.76,24.01,23.85,5.00,73
2280.00,2400.00,H10E_out_3,71,2130.00,12.40,24.01,23.87,5.00,71
2400.00,2520.00,H10E_out_3,68,2040.00,11.98,23.99,23.83,5.00,69
2520.00,2640.00,H10E_out_3,73,2190.00,12.27,24.69,24.61,5.00,72
2640.00,2760.00,H10E_out_3,69,2070.00,11.90,24.29,24.17,5.00,69
2760.00,2880.00,H10E_out_3,74,2220.00,12.56,24.61,24.55,5.00,74
2880.00,3000.00,H10E_out_3,70,2100.00,12.23,23.97,23.84,5.00,70
3000.00,3120.00,H10E_out_3,73,2190.00,12.33,24.77,24.67,5.00,73
3120.00,3240.00,H10E_out_3,72,2160.00,12.40,24.34,24.20,5.00,72
3240.00,3360.00,H10E_out_3,73,2190.00,13.35,22.91,22.78,5.00,73
3360.00,3480.00,H10E_out_3,74,2220.00,13.10,23.63,23.53,5.00,74
3480.00,3600.00,H10E_out_3,69,2070.00,12.45,23.40,23.28,5.00,70
3600.00,3720.00,H10E_out_3,73,2190.00,13.19,23.39,23.29,5.00,74
3720.00,3840.00,H10E_out_3,76,2280.00,13.69,23.04,22.91,5.00,75
3840.00,3960.00,H10E_out_3,72,2160.00,12.38,24.32,24.23,5.00,72
3960.00,4080.00,H10E_out_3,69,2070.00,12.10,23.87,23.76,5.00,69
4080.00,4200.00,H10E_out_3,74,2220.00,13.08,23.78,23.58,5.00,74
4200.00,4320.00,H10E_out_3,69,2070.00,12.74,22.80,22.57,5.00,69
4320.00,4440.00,H10E_out_3,72,2160.00,12.25,24.58,24.49,5.00,72
