begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_3_4,1,30.00,0.13,31.07,31.07,5.00,1
120.00,240.00,H10E_3_4,13,390.00,1.89,28.82,28.80,5.00,14
240.00,360.00,H10E_3_4,41,1230.00,6.27,27.30,27.26,5.00,41
360.00,480.00,H10E_3_4,43,1290.00,7.31,26.63,24.51,5.00,43
480.00,600.00,H10E_3_4,47,1410.00,7.35,26.75,26.64,5.00,47
600.00,720.00,H10E_3_4,46,1380.00,6.98,27.50,27.45,5.00,46
720.00,840.00,H10E_3_4,46,1380.00,7.35,26.23,26.09,5.00,46
840.00,960.00,H10E_3_4,46,1380.00,7.89,26.33,24.30,5.00,46
960.00,1080.00,H10E_3_4,48,1440.00,7.38,27.16,27.10,5.00,48
1080.00,1200.00,H10E_3_4,49,1470.00,7.57,27.05,26.97,5.00,49
1200.00,1320.00,H10E_3_4,46,1380.00,6.95,27.63,27.59,5.00,46
1320.00,1440.00,H10E_3_4,47,1410.00,8.28,25.80,23.66,5.00,47
1440.00,1560.00,H10E_3_4,49,1470.00,7.70,26.59,26.51,5.00,49
1560.00,1680.00,H10E_3_4,51,1530.00,8.01,26.96,26.89,5.00,52
1680.00,1800.00,H10E_3_4,43,1290.00,6.47,27.29,27.23,5.00,42
1800.00,1920.00,H10E_3_4,47,1410.00,7.35,26.73,26.66,5.00,47
1920.00,2040.00,H10E_3_4,52,1560.00,8.24,26.80,26.68,5.00,53
2040.00,2160.00,H10E_3_4,44,1320.00,7.39,26.50,24.41,5.00,43
2160.00,2280.00,H10E_3_4,49,1470.00,7.70,26.64,26.51,5.00,49
2280.00,2400.00,H10E_3_4,48,1440.00,7.50,26.78,26.68,5.00,48
2400.00,2520.00,H10E_3_4,42,1260.00,6.37,28.00,27.96,5.00,43
2520.00,2640.00,H10E_3_4,48,1440.00,8.30,25.96,24.10,5.00,48
2640.00,2760.00,H10E_3_4,49,1470.00,7.56,27.12,27.01,5.00,49
2760.00,2880.00,H10E_3_4,49,1470.00,7.45,27.44,27.40,5.00,49
2880.00,3000.00,H10E_3_4,45,1350.00,7.23,26.17,25.98,5.00,46
3000.00,3120.00,H10E_3_4,46,1380.00,7.11,26.99,26.96,5.00,46
3120.00,3240.00,H10E_3_4,45,1350.00,6.91,27.17,27.12,5.00,45
3240.00,3360.00,H10E_3_4,51,1530.00,7.87,27.04,26.99,5.00,51
3360.00,3480.00,H10E_3_4,43,1290.00,6.72,26.75,26.66,5.00,43
3480.00,3600.00,H10E_3_4,48,1440.00,7.51,26.68,26.62,5.00,48
3600.00,3720.00,H10E_3_4,44,1320.00,6.53,28.11,28.07,5.00,44
3720.00,3840.00,H10E_3_4,50,1500.00,7.91,26.43,26.33,5.00,50
3840.00,3960.00,H10E_3_4,46,1380.00,7.92,26.31,24.21,5.00,46
3960.00,4080.00,H10E_3_4,55,1650.00,8.55,26.89,26.80,5.00,55
4080.00,4200.00,H10E_3_4,45,1350.00,7.01,26.79,26.73,5.00,45
4200.00,4320.00,H10E_3_4,44,1320.00,6.74,27.25,27.21,5.00,44
4320.00,4440.00,H10E_3_4,46,1380.00,6.97,27.57,27.52,5.00,46
4440.00,4560.00,H10E_3_4,47,1410.00,7.20,27.32,27.21,5.00,47
4560.00,4680.00,H10E_3_4,49,1470.00,8.62,24.02,23.68,5.00,49
4680.00,4800.00,H10E_3_4,46,1380.00,11.96,17.52,16.31,5.00,47
4800.00,4920.00,H10E_3_4,50,1500.00,12.31,18.97,17.75,5.00,52
4920.00,5040.00,H10E_3_4,49,1470.00,30.74,7.87,6.54,5.00,48
5040.00,5160.00,H10E_3_4,47,1410.00,32.44,7.18,6.04,5.00,47
5160.00,5280.00,H10E_3_4,38,1140.00,36.90,5.46,4.29,5.00,38
5280.00,5400.00,H10E_3_4,52,1560.00,30.99,8.33,7.02,5.00,53
5400.00,5520.00,H10E_3_4,52,1560.00,28.61,9.28,7.62,5.00,52
5520.00,5640.00,H10E_3_4,53,1590.00,31.85,7.14,6.87,5.00,52
5640.00,5760.00,H10E_3_4,49,1470.00,33.06,6.91,6.29,5.00,50
5760.00,5880.00,H10E_3_4,38,1140.00,40.53,4.20,3.91,5.00,38
5880.00,6000.00,H10E_3_4,42,1260.00,36.83,5.31,4.68,5.00,42
6000.00,6120.00,H10E_3_4,38,1140.00,41.31,4.99,3.82,5.00,37
6120.00,6240.00,H10E_3_4,48,1440.00,33.34,6.92,6.04,5.00,49
6240.00,6360.00,H10E_3_4,38,1140.00,39.96,5.13,3.94,5.00,37
6360.00,6480.00,H10E_3_4,45,1350.00,36.35,5.80,5.16,5.00,45
6480.00,6600.00,H10E_3_4,58,1740.00,27.45,9.63,8.80,5.00,58
6600.00,6720.00,H10E_3_4,41,1230.00,38.90,5.92,4.54,5.00,42
6720.00,6840.00,H10E_3_4,49,1470.00,32.94,6.76,5.96,5.00,48
6840.00,6960.00,H10E_3_4,52,1560.00,31.28,7.55,7.03,5.00,53
6960.00,7080.00,H10E_3_4,52,1560.00,32.12,7.35,6.65,5.00,51
7080.00,7200.00,H10E_3_4,45,1350.00,35.36,5.96,5.30,5.00,45
7200.00,7320.00,H10E_3_4,49,1470.00,33.04,7.45,6.18,5.00,49
7320.00,7440.00,H10E_3_4,49,1470.00,33.62,6.68,6.07,5.00,49
7440.00,7560.00,H10E_3_4,49,1470.00,33.33,6.69,6.13,5.00,49
7560.00,7680.00,H10E_3_4,44,1320.00,36.74,5.57,4.99,5.00,44
7680.00,7800.00,H10E_3_4,41,1230.00,39.31,5.35,4.36,5.00,42
7800.00,7920.00,H10E_3_4,50,1500.00,32.74,6.88,6.34,5.00,49
7920.00,8040.00,H10E_3_4,44,1320.00,36.77,5.80,4.99,5.00,44
8040.00,8160.00,H10E_3_4,48,1440.00,33.51,7.09,5.97,5.00,48
8160.00,8280.00,H10E_3_4,38,1140.00,40.02,4.18,3.96,5.00,38
8280.00,8400.00,H10E_3_4,50,1500.00,33.25,6.81,6.27,5.00,50
8400.00,8520.00,H10E_3_4,44,1320.00,33.86,6.17,5.42,5.00,44
8520.00,8640.00,H10E_3_4,46,1380.00,35.14,6.32,5.48,5.00,47
8640.00,8760.00,H10E_3_4,51,1530.00,32.46,7.74,6.54,5.00,51
8760.00,8880.00,H10E_3_4,43,1290.00,37.25,6.06,4.79,5.00,42
8880.00,9000.00,H10E_3_4,30,900.00,45.47,3.60,2.75,5.00,30
9000.00,9120.00,H10E_3_4,49,1470.00,32.60,6.93,6.47,5.00,50
9120.00,9240.00,H10E_3_4,40,1200.00,39.35,4.42,4.16,5.00,40
9240.00,9360.00,H10E_3_4,48,1440.00,35.05,7.21,5.65,5.00,47
9360.00,9480.00,H10E_3_4,44,1320.00,37.26,5.76,4.92,5.00,44
9480.00,9600.00,H10E_3_4,55,1650.00,28.66,8.39,8.11,5.00,56
9600.00,9720.00,H10E_3_4,39,1170.00,40.45,4.91,4.02,5.00,39
9720.00,9840.00,H10E_3_4,51,1530.00,32.51,7.59,6.46,5.00,50
9840.00,9960.00,H10E_3_4,48,1440.00,33.96,6.89,5.94,5.00,49
9960.00,10080.00,H10E_3_4,46,1380.00,33.98,6.97,5.59,5.00,45
10080.00,10200.00,H10E_3_4,35,1050.00,41.78,4.27,3.49,5.00,35
10200.00,10320.00,H10E_3_4,43,1290.00,38.32,5.36,4.68,5.00,43
10320.00,10440.00,H10E_3_4,50,1500.00,32.83,7.23,6.35,5.00,50
10440.00,10560.00,H10E_3_4,49,1470.00,33.19,6.78,6.15,5.00,49
10560.00,10680.00,H10E_3_4,38,1140.00,41.07,5.47,3.85,5.00,38
10680.00,10800.00,H10E_3_4,47,1410.00,33.54,6.82,5.97,5.00,48
10800.00,10920.00,H10E_3_4,48,1440.00,34.27,6.31,5.71,5.00,47
10920.00,11040.00,H10E_3_4,45,1350.00,35.58,5.75,5.27,5.00,45
11040.00,11160.00,H10E_3_4,44,1320.00,35.76,6.40,5.17,5.00,45
11160.00,11280.00,H10E_3_4,51,1530.00,32.38,8.04,6.56,5.00,51
11280.00,11400.00,H10E_3_4,44,1320.00,36.63,5.38,5.08,5.00,45
11400.00,11520.00,H10E_3_4,44,1320.00,37.06,5.31,4.88,5.00,43
11520.00,11640.00,H10E_3_4,44,1320.00,36.81,5.89,4.98,5.00,44
11640.00,11760.00,H10E_3_4,45,1350.00,34.25,6.31,5.68,5.00,46
11760.00,11880.00,H10E_3_4,50,1500.00,33.25,6.85,6.04,5.00,49
11880.00,12000.00,H10E_3_4,52,1560.00,32.19,7.21,6.78,5.00,53
12000.00,12120.00,H10E_3_4,48,1440.00,34.92,6.95,5.69,5.00,47
12120.00,12240.00,H10E_3_4,51,1530.00,32.03,7.66,6.64,5.00,51
12240.00,12360.00,H10E_3_4,37,1110.00,42.21,4.32,3.74,5.00,38
12360.00,12480.00,H10E_3_4,49,1470.00,33.91,6.50,5.98,5.00,49
12480.00,12600.00,H10E_3_4,36,1080.00,42.52,4.17,3.58,5.00,36
12600.00,12720.00,H10E_3_4,46,1380.00,35.38,6.51,5.38,5.00,46
12720.00,12840.00,H10E_3_4,37,1110.00,40.02,4.58,3.75,5.00,36
12840.00,12960.00,H10E_3_4,45,1350.00,35.10,5.53,5.34,5.00,45
12960.00,13080.00,H10E_3_4,49,1470.00,33.68,6.99,6.07,5.00,50
13080.00,13200.00,H10E_3_4,44,1320.00,38.03,5.31,4.82,5.00,43
13200.00,13320.00,H10E_3_4,56,1680.00,28.18,8.88,8.28,5.00,56
13320.00,13440.00,H10E_3_4,35,1050.00,42.84,4.00,3.40,5.00,35
13440.00,13560.00,H10E_3_4,50,1500.00,32.66,6.84,6.38,5.00,50
13560.00,13680.00,H10E_3_4,39,1170.00,39.16,4.75,4.18,5.00,40
13680.00,13800.00,H10E_3_4,42,1260.00,38.57,4.89,4.51,5.00,41
13800.00,13920.00,H10E_3_4,39,1170.00,40.22,5.33,4.04,5.00,39
13920.00,14040.00,H10E_3_4,36,1080.00,40.57,4.24,3.71,5.00,37
14040.00,14160.00,H10E_3_4,47,1410.00,34.87,6.07,5.60,5.00,46
14160.00,14280.00,H10E_3_4,43,1290.00,36.79,5.92,4.88,5.00,44
14280.00,14400.00,H10E_3_4,43,1290.00,38.63,5.71,4.63,5.00,42
