begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_in_3,59,1770.00,9.29,26.73,26.47,5.00,59
120.00,240.00,H10E_in_3,63,1890.00,10.24,25.90,25.63,5.00,63
240.00,360.00,H10E_in_3,62,1860.00,9.85,26.40,26.23,5.00,62
360.00,480.00,H10E_in_3,59,1770.00,9.10,27.16,27.01,5.00,59
480.00,600.00,H10E_in_3,60,1800.00,9.52,26.40,26.25,5.00,60
600.00,720.00,H10E_in_3,60,1800.00,9.48,26.56,26.36,5.00,60
720.00,840.00,H10E_in_3,59,1770.00,9.61,25.83,25.59,5.00,59
840.00,960.00,H10E_in_3,58,1740.00,9.24,26.34,26.16,5.00,58
960.00,1080.00,H10E_in_3,59,1770.00,9.40,26.39,26.16,5.00,59
1080.00,1200.00,H10E_in_3,61,1830.00,9.66,26.53,26.32,5.00,61
1200.00,1320.00,H10E_in_3,60,1800.00,9.52,26.45,26.25,5.00,60
1320.00,1440.00,H10E_in_3,62,1860.00,9.59,27.16,26.95,5.00,62
1440.00,1560.00,H10E_in_3,63,1890.00,9.94,26.67,26.42,5.00,63
1560.00,1680.00,H10E_in_3,63,1890.00,9.93,26.61,26.45,5.00,63
1680.00,1800.00,H10E_in_3,60,1800.00,9.50,26.49,26.32,5.00,60
1800.00,1920.00,H10E_in_3,61,1830.00,9.73,26.36,26.13,5.00,61
1920.00,2040.00,H10E_in_3,60,1800.00,9.54,26.44,26.21,5.00,60
2040.00,2160.00,H10E_in_3,60,1800.00,9.51,26.40,26.28,5.00,60
2160.00,2280.00,H10E_in_3,61,1830.00,9.38,27.33,27.10,5.00,61
2280.00,2400.00,H10E_in_3,61,1830.00,9.60,26.72,26.47,5.00,61
2400.00,2520.00,H10E_in_3,63,1890.00,9.65,27.37,27.21,5.00,63
2520.00,2640.00,H10E_in_3,59,1770.00,9.19,26.97,26.76,5.00,59
2640.00,2760.00,H10E_in_3,59,1770.00,9.52,26.07,25.81,5.00,59
2760.00,2880.00,H10E_in_3,63,1890.00,9.74,27.14,26.94,5.00,63
2880.00,3000.00,H10E_in_3,59,1770.00,9.46,26.13,25.98,5.00,59
3000.00,3120.00,H10E_in_3,58,1740.00,9.12,26.63,26.50,5.00,58
3120.00,3240.00,H10E_in_3,62,1860.00,9.94,26.16,26.00,5.00,62
3240.00,3360.00,H10E_in_3,60,1800.00,9.72,25.92,25.73,5.00,60
3360.00,3480.00,H10E_in_3,60,1800.00,9.21,27.36,27.14,5.00,60
3480.00,3600.00,H10E_in_3,60,1800.00,10.02,25.17,24.95,5.00,60
3600.00,3720.00,H10E_in_3,61,1830.00,9.45,27.06,26.88,5.00,61
3720.00,3840.00,H10E_in_3,60,1800.00,9.44,26.69,26.47,5.00,60
3840.00,3960.00,H10E_in_3,60,1800.00,9.64,26.14,25.94,5.00,60
3960.00,4080.00,H10E_in_3,57,1710.00,9.13,26.25,26.02,5.00,57
4080.00,4200.00,H10E_in_3,62,1860.00,9.64,27.00,26.79,5.00,62
4200.00,4320.00,H10E_in_3,62,1860.00,9.90,26.32,26.10,5.00,62
4320.00,4440.00,H10E_in_3,59,1770.00,9.36,26.47,26.26,5.00,59
4440.00,4560.00,H10E_in_3,63,1890.00,10.12,26.15,25.94,5.00,63
4560.00,4680.00,H10E_in_3,61,1830.00,9.39,27.22,27.07,5.00,61
4680.00,4800.00,H10E_in_3,59,1770.00,9.51,26.12,25.85,5.00,59
4800.00,4920.00,H10E_in_3,59,1770.00,9.14,27.10,26.90,5.00,59
4920.00,5040.00,H10E_in_3,61,1830.00,9.68,26.45,26.25,5.00,61
5040.00,5160.00,H10E_in_3,60,1800.00,9.43,26.70,26.52,5.00,60
5160.00,5280.00,H10E_in_3,60,1800.00,9.54,26.40,26.20,5.00,60
5280.00,5400.00,H10E_in_3,60,1800.00,9.62,26.15,26.00,5.00,60
5400.00,5520.00,H10E_in_3,61,1830.00,9.39,27.22,27.06,5.00,61
